edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632186480.857365, 13.9
edge1, 1632186483.867743, 23.9
edge1, 1632186486.8804874, 23.1
edge1, 1632186489.890493, 24.6
edge1, 1632186492.8991444, 21.4
edge1, 1632186495.909621, 24.2
edge1, 1632186498.9212532, 23.2
edge1, 1632186501.930177, 24.6
edge1, 1632186504.9395893, 23.3
edge1, 1632186507.947959, 23.6
edge1, 1632186510.957776, 24.2
edge1, 1632186513.9702928, 23.4
edge1, 1632186516.980551, 24.2
edge1, 1632186519.9906201, 23.2
edge1, 1632186522.9990656, 23.7
edge1, 1632186526.0101264, 15.3
edge1, 1632186529.0223947, 23.0
edge1, 1632186532.0321076, 22.0
edge1, 1632186535.0414057, 22.2
edge1, 1632186538.0482917, 22.9
edge1, 1632186541.0580685, 21.5
edge1, 1632186544.0677307, 23.0
edge1, 1632186547.0783532, 23.3
edge1, 1632186550.0896063, 25.3
edge1, 1632186553.1006155, 25.4
edge1, 1632186556.1111913, 19.1
edge1, 1632186559.1201386, 0.8
edge1, 1632186562.1317441, 0.5
edge1, 1632186565.1433477, 2.0
