edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632185469.1023605, 23.5
edge1, 1632185472.1140182, 26.9
edge1, 1632185475.1266298, 25.1
edge1, 1632185478.1524832, 25.3
edge1, 1632185481.1624792, 25.4
edge1, 1632185484.173986, 26.4
edge1, 1632185487.1851792, 25.3
edge1, 1632185490.2839437, 25.9
edge1, 1632185493.2945948, 26.3
edge1, 1632185496.3165982, 24.2
edge1, 1632185499.3272386, 25.1
edge1, 1632185502.3373947, 25.0
edge1, 1632185505.3462317, 25.1
edge1, 1632185508.371261, 25.4
edge1, 1632185511.3910992, 26.2
edge1, 1632185514.401715, 26.6
edge1, 1632185517.4140894, 25.7
edge1, 1632185520.4261887, 24.6
edge1, 1632185523.436793, 26.1
edge1, 1632185526.4463124, 23.5
edge1, 1632185529.4554794, 23.0
edge1, 1632185532.4672494, 26.1
edge1, 1632185535.4793088, 25.1
edge1, 1632185538.4913542, 25.4
edge1, 1632185541.5201151, 25.1
edge1, 1632185544.530216, 0.5
edge1, 1632185547.5414648, 0.5
edge1, 1632185550.552548, 1.0
edge1, 1632185553.5626886, 1.5
edge1, 1632185556.5739305, 0.8
edge1, 1632185559.5848055, 0.3
