edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632184872.9751854, 25.1
edge1, 1632184876.0001862, 25.3
edge1, 1632184879.0138855, 26.4
edge1, 1632184882.0253267, 25.8
edge1, 1632184885.0353615, 24.6
edge1, 1632184888.0488522, 23.6
edge1, 1632184891.0628216, 23.0
edge1, 1632184894.0724611, 25.1
edge1, 1632184897.100203, 24.4
edge1, 1632184900.1127093, 25.0
edge1, 1632184903.1251023, 25.2
edge1, 1632184906.13545, 25.3
edge1, 1632184909.1483717, 25.0
edge1, 1632184912.4042108, 23.7
edge1, 1632184915.4158394, 25.6
edge1, 1632184918.4266143, 24.2
edge1, 1632184921.4374502, 25.3
edge1, 1632184924.452395, 25.3
edge1, 1632184927.4645143, 25.3
edge1, 1632184930.475049, 25.4
edge1, 1632184933.4887621, 26.1
edge1, 1632184936.5158935, 26.2
edge1, 1632184939.5270169, 25.1
edge1, 1632184942.5381238, 25.2
edge1, 1632184945.553108, 26.8
edge1, 1632184948.5642574, 0.5
