edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632185123.6198525, 25.1
edge1, 1632185126.629879, 26.5
edge1, 1632185129.641303, 25.6
edge1, 1632185132.6526651, 25.1
edge1, 1632185135.6647754, 25.1
edge1, 1632185138.6777718, 25.6
edge1, 1632185141.7092133, 25.8
edge1, 1632185144.7208092, 25.1
edge1, 1632185147.7328942, 26.5
edge1, 1632185150.7435555, 25.4
edge1, 1632185153.7548575, 26.5
edge1, 1632185156.7662432, 24.7
edge1, 1632185159.776939, 26.5
edge1, 1632185162.791611, 26.7
edge1, 1632185165.8040009, 28.0
edge1, 1632185168.8158286, 26.8
edge1, 1632185171.8324692, 25.7
edge1, 1632185174.8465345, 25.3
edge1, 1632185177.859071, 25.1
edge1, 1632185180.8709767, 26.7
edge1, 1632185183.8836179, 25.4
edge1, 1632185186.9142163, 25.2
edge1, 1632185189.927944, 25.5
edge1, 1632185192.936674, 25.2
edge1, 1632185195.9489574, 25.3
edge1, 1632185198.9588807, 0.3
edge1, 1632185201.969599, 0.8
