edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632185354.8181465, 24.9
edge1, 1632185357.8273094, 25.2
edge1, 1632185360.8386738, 25.0
edge1, 1632185363.8491347, 25.3
edge1, 1632185366.8608248, 24.5
edge1, 1632185369.872897, 25.5
edge1, 1632185372.8840537, 24.6
edge1, 1632185375.902406, 27.5
edge1, 1632185378.9164076, 26.1
edge1, 1632185381.9285247, 25.3
edge1, 1632185384.938259, 26.2
edge1, 1632185387.949474, 24.6
edge1, 1632185390.9592571, 25.3
edge1, 1632185393.970467, 25.1
edge1, 1632185396.9858873, 25.2
edge1, 1632185399.99648, 26.4
edge1, 1632185403.0095842, 24.9
edge1, 1632185406.0224674, 25.5
edge1, 1632185409.0329444, 26.8
edge1, 1632185412.04543, 25.7
edge1, 1632185415.0570066, 24.3
edge1, 1632185418.0680373, 25.8
edge1, 1632185421.0819495, 26.2
edge1, 1632185424.0914462, 25.8
edge1, 1632185427.1028557, 25.4
edge1, 1632185430.1131399, 0.8
edge1, 1632185433.1269002, 1.0
edge1, 1632185436.138775, 0.8
edge1, 1632185439.1561582, 1.0
