Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.77,MBytes,23.2,Mbits/sec,2003
1.00-2.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
2.00-3.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
3.00-4.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
4.00-5.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
5.00-6.00,sec,1.85,MBytes,15.5,Mbits/sec,1339
6.00-7.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
7.00-8.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
8.00-9.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
9.00-10.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
10.00-11.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
11.00-12.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
12.00-13.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
13.00-14.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
14.00-15.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
15.00-16.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
16.00-17.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
17.00-18.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
18.00-19.00,sec,1.9,MBytes,16,Mbits/sec,1378
19.00-20.00,sec,1.74,MBytes,14.6,Mbits/sec,1261
20.00-21.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
21.00-22.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
22.00-23.00,sec,1.9,MBytes,16,Mbits/sec,1378
23.00-24.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
24.00-25.00,sec,1.88,MBytes,15.8,Mbits/sec,1361
25.00-26.00,sec,1.93,MBytes,16.2,Mbits/sec,1395
26.00-27.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
27.00-28.00,sec,1.92,MBytes,16.1,Mbits/sec,1390
28.00-29.00,sec,1.93,MBytes,16.2,Mbits/sec,1399
29.00-30.00,sec,1.93,MBytes,16.2,Mbits/sec,1397
30.00-31.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
31.00-32.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
32.00-33.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
33.00-34.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
34.00-35.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
35.00-36.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
36.00-37.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
37.00-38.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
38.00-39.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
39.00-40.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
40.00-41.00,sec,1.9,MBytes,16,Mbits/sec,1378
41.00-42.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
42.00-43.00,sec,1.81,MBytes,15.2,Mbits/sec,1313
43.00-44.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
44.00-45.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
45.00-46.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
46.00-47.00,sec,1.8,MBytes,15.1,Mbits/sec,1300
47.00-48.00,sec,1.8,MBytes,15.1,Mbits/sec,1301
48.00-49.00,sec,1.72,MBytes,14.4,Mbits/sec,1247
49.00-50.00,sec,1.67,MBytes,14,Mbits/sec,1209
50.00-51.00,sec,1.49,MBytes,12.5,Mbits/sec,1079
51.00-52.00,sec,1.63,MBytes,13.7,Mbits/sec,1183
52.00-53.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
53.00-54.00,sec,1.58,MBytes,13.3,Mbits/sec,1144
54.00-55.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
55.00-56.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
56.00-57.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
57.00-58.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
58.00-59.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
59.00-60.00,sec,1.49,MBytes,12.5,Mbits/sec,1080
60.00-61.00,sec,1.38,MBytes,11.6,Mbits/sec,1000
61.00-62.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
62.00-63.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
63.00-64.00,sec,1.38,MBytes,11.6,Mbits/sec,1001
64.00-65.00,sec,1.51,MBytes,12.6,Mbits/sec,1092
65.00-66.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
66.00-67.00,sec,1.39,MBytes,11.6,Mbits/sec,1004
67.00-68.00,sec,1.38,MBytes,11.6,Mbits/sec,998
68.00-69.00,sec,1.36,MBytes,11.4,Mbits/sec,988
69.00-70.00,sec,1.31,MBytes,11,Mbits/sec,951
70.00-71.00,sec,1.44,MBytes,12.1,Mbits/sec,1044
71.00-72.00,sec,1.37,MBytes,11.5,Mbits/sec,995
72.00-73.00,sec,1.33,MBytes,11.1,Mbits/sec,962
73.00-74.00,sec,1.31,MBytes,11,Mbits/sec,949
74.00-75.00,sec,1.36,MBytes,11.4,Mbits/sec,988
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,132,MBytes,14.8,Mbits/sec,0.000 ms  0/95577 (0%)  sender
0.00-75.08,sec,132,MBytes,14.7,Mbits/sec,1.560 ms  0/95575 (0%)  receiver
,,,,,,
Done.,,,,,,
