Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,1.91,MBytes,16,Mbits/sec,1380
1.00-2.00,sec,1.91,MBytes,16,Mbits/sec,1382
2.00-3.00,sec,1.91,MBytes,16,Mbits/sec,1381
3.00-4.00,sec,1.91,MBytes,16,Mbits/sec,1381
4.00-5.00,sec,1.91,MBytes,16,Mbits/sec,1381
5.00-6.00,sec,1.91,MBytes,16,Mbits/sec,1382
6.00-7.00,sec,1.91,MBytes,16,Mbits/sec,1381
7.00-8.00,sec,1.91,MBytes,16,Mbits/sec,1381
8.00-9.00,sec,1.91,MBytes,16,Mbits/sec,1381
9.00-10.00,sec,1.91,MBytes,16,Mbits/sec,1381
10.00-11.00,sec,1.91,MBytes,16,Mbits/sec,1382
11.00-12.00,sec,1.91,MBytes,16,Mbits/sec,1381
12.00-13.00,sec,1.91,MBytes,16,Mbits/sec,1381
13.00-14.00,sec,1.91,MBytes,16,Mbits/sec,1381
14.00-15.00,sec,1.91,MBytes,16,Mbits/sec,1382
15.00-16.00,sec,1.91,MBytes,16,Mbits/sec,1381
16.00-17.00,sec,1.91,MBytes,16,Mbits/sec,1381
17.00-18.00,sec,1.91,MBytes,16,Mbits/sec,1381
18.00-19.00,sec,1.91,MBytes,16,Mbits/sec,1381
19.00-20.00,sec,1.91,MBytes,16,Mbits/sec,1382
20.00-21.00,sec,1.91,MBytes,16,Mbits/sec,1381
21.00-22.00,sec,1.91,MBytes,16,Mbits/sec,1381
22.00-23.00,sec,1.91,MBytes,16,Mbits/sec,1381
23.00-24.00,sec,1.91,MBytes,16,Mbits/sec,1381
24.00-25.00,sec,1.91,MBytes,16,Mbits/sec,1382
25.00-26.00,sec,1.91,MBytes,16,Mbits/sec,1381
26.00-27.00,sec,1.91,MBytes,16,Mbits/sec,1381
27.00-28.00,sec,1.91,MBytes,16,Mbits/sec,1381
28.00-29.00,sec,1.91,MBytes,16,Mbits/sec,1382
29.00-30.00,sec,1.91,MBytes,16,Mbits/sec,1381
30.00-31.00,sec,1.91,MBytes,16,Mbits/sec,1381
31.00-32.00,sec,1.91,MBytes,16,Mbits/sec,1381
32.00-33.00,sec,1.91,MBytes,16,Mbits/sec,1381
33.00-34.00,sec,1.91,MBytes,16,Mbits/sec,1382
34.00-35.00,sec,1.91,MBytes,16,Mbits/sec,1381
35.00-36.00,sec,1.91,MBytes,16,Mbits/sec,1381
36.00-37.00,sec,1.91,MBytes,16,Mbits/sec,1381
37.00-38.00,sec,1.91,MBytes,16,Mbits/sec,1381
38.00-39.00,sec,1.91,MBytes,16,Mbits/sec,1382
39.00-40.00,sec,1.91,MBytes,16,Mbits/sec,1381
40.00-41.00,sec,1.91,MBytes,16,Mbits/sec,1381
41.00-42.00,sec,1.91,MBytes,16,Mbits/sec,1381
42.00-43.00,sec,1.91,MBytes,16,Mbits/sec,1382
43.00-44.00,sec,1.91,MBytes,16,Mbits/sec,1381
44.00-45.00,sec,1.91,MBytes,16,Mbits/sec,1381
45.00-46.00,sec,1.91,MBytes,16,Mbits/sec,1381
46.00-47.00,sec,1.91,MBytes,16,Mbits/sec,1381
47.00-48.00,sec,1.91,MBytes,16,Mbits/sec,1382
48.00-49.00,sec,1.91,MBytes,16,Mbits/sec,1381
49.00-50.00,sec,1.91,MBytes,16,Mbits/sec,1381
50.00-51.00,sec,1.91,MBytes,16,Mbits/sec,1381
51.00-52.00,sec,1.91,MBytes,16,Mbits/sec,1381
52.00-53.00,sec,1.91,MBytes,16,Mbits/sec,1382
53.00-54.00,sec,1.91,MBytes,16,Mbits/sec,1381
54.00-55.00,sec,1.91,MBytes,16,Mbits/sec,1381
55.00-56.00,sec,1.91,MBytes,16,Mbits/sec,1381
56.00-57.00,sec,1.91,MBytes,16,Mbits/sec,1382
57.00-58.00,sec,1.91,MBytes,16,Mbits/sec,1381
58.00-59.00,sec,1.91,MBytes,16,Mbits/sec,1381
59.00-60.00,sec,1.91,MBytes,16,Mbits/sec,1381
60.00-61.00,sec,1.91,MBytes,16,Mbits/sec,1381
61.00-62.00,sec,1.91,MBytes,16,Mbits/sec,1382
62.00-63.00,sec,1.91,MBytes,16,Mbits/sec,1381
63.00-64.00,sec,1.91,MBytes,16,Mbits/sec,1381
64.00-65.00,sec,1.91,MBytes,16,Mbits/sec,1381
65.00-66.00,sec,1.91,MBytes,16,Mbits/sec,1381
66.00-67.00,sec,1.91,MBytes,16,Mbits/sec,1382
67.00-68.00,sec,1.91,MBytes,16,Mbits/sec,1381
68.00-69.00,sec,1.91,MBytes,16,Mbits/sec,1381
69.00-70.00,sec,1.91,MBytes,16,Mbits/sec,1381
70.00-71.00,sec,1.91,MBytes,16,Mbits/sec,1382
71.00-72.00,sec,1.91,MBytes,16,Mbits/sec,1381
72.00-73.00,sec,1.91,MBytes,16,Mbits/sec,1381
73.00-74.00,sec,1.91,MBytes,16,Mbits/sec,1381
74.00-75.00,sec,1.91,MBytes,16,Mbits/sec,1381
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,143,MBytes,16,Mbits/sec,0.000 ms  0/103590 (0%)  sender
0.00-75.00,sec,143,MBytes,16,Mbits/sec,0.848 ms  0/103589 (0%)  receiver
,,,,,,
Done.,,,,,,
