edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631657456.233363,10.2
edge1,1631657459.2405832,13.4
edge1,1631657462.2468214,15.3
edge1,1631657465.2532048,13.1
edge1,1631657468.2606277,13.1
edge1,1631657471.2708657,11.8
edge1,1631657474.2773902,13.1
edge1,1631657477.2844343,12.4
edge1,1631657480.2908912,13.4
edge1,1631657483.2970707,11.8
edge1,1631657486.3034167,12.2
edge1,1631657489.3098702,12.1
edge1,1631657492.3174813,8.2
edge1,1631657495.3238554,7.4
edge1,1631657498.3337889,7.4
edge1,1631657501.3411593,9.4
edge1,1631657504.3476963,10.4
edge1,1631657507.359248,8.5
edge1,1631657510.3650556,11.5
edge1,1631657513.3732908,13.6
edge1,1631657516.3809748,12.0
edge1,1631657519.3887153,13.1
edge1,1631657522.3953323,13.9
edge1,1631657525.4018915,10.3
edge1,1631657528.4087517,13.3
edge1,1631657531.4166052,4.3
edge1,1631657534.4239523,1.8
edge1,1631657537.4382567,2.5
edge1,1631657540.4464643,1.0
