edge_name,unix_timestamp,percentage_cpu_utilisation
edge2, 1631484358.5577388, 26.7
edge2, 1631484361.5688267, 27.3
edge2, 1631484364.581628, 26.5
edge2, 1631484367.5924537, 27.3
edge2, 1631484370.6034539, 25.7
edge2, 1631484373.6143389, 27.0
edge2, 1631484376.6257777, 28.1
edge2, 1631484379.6391885, 27.4
edge2, 1631484382.6522205, 27.0
edge2, 1631484385.6680145, 26.5
edge2, 1631484388.6795325, 27.2
edge2, 1631484391.694572, 26.9
edge2, 1631484394.7050915, 26.9
edge2, 1631484397.7163427, 27.2
edge2, 1631484400.7266874, 28.9
edge2, 1631484403.7392128, 26.9
edge2, 1631484406.7506974, 27.9
edge2, 1631484409.7654953, 27.5
edge2, 1631484412.7779307, 27.4
edge2, 1631484415.7915227, 26.7
edge2, 1631484418.8029933, 26.6
edge2, 1631484421.8201094, 27.6
edge2, 1631484424.8304796, 27.7
edge2, 1631484427.8417332, 28.4
edge2, 1631484430.8515382, 29.1
edge2, 1631484433.8608174, 0.8
edge2, 1631484436.8707154, 1.3
edge2, 1631484439.8803, 0.0
