------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.4 port 5001 connected with 192.168.2.1 port 59131
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 50.0-51.0 sec   511 KBytes  4.19 Mbits/sec   0.715 ms    0/  356 (0%)
[  3] 51.0-52.0 sec   512 KBytes  4.20 Mbits/sec   0.452 ms    0/  357 (0%)
[  3] 52.0-53.0 sec   512 KBytes  4.20 Mbits/sec   0.760 ms    0/  357 (0%)
[  3] 53.0-54.0 sec   511 KBytes  4.19 Mbits/sec   0.636 ms    0/  356 (0%)
[  3] 54.0-55.0 sec   512 KBytes  4.20 Mbits/sec   0.655 ms    0/  357 (0%)
[  3] 55.0-56.0 sec   512 KBytes  4.20 Mbits/sec   0.501 ms    0/  357 (0%)
[  3] 56.0-57.0 sec   511 KBytes  4.19 Mbits/sec   1.106 ms    0/  356 (0%)
[  3] 57.0-58.0 sec   512 KBytes  4.20 Mbits/sec   0.608 ms    0/  357 (0%)
[  3] 58.0-59.0 sec   512 KBytes  4.20 Mbits/sec   0.709 ms    0/  357 (0%)
[  3] 59.0-60.0 sec   512 KBytes  4.20 Mbits/sec   0.668 ms    0/  357 (0%)
[  3] 60.0-61.0 sec   511 KBytes  4.19 Mbits/sec   0.227 ms    0/  356 (0%)
[  3] 61.0-62.0 sec   512 KBytes  4.20 Mbits/sec   0.206 ms    0/  357 (0%)
[  3] 62.0-63.0 sec   512 KBytes  4.20 Mbits/sec   0.791 ms    0/  357 (0%)
[  3] 63.0-64.0 sec   511 KBytes  4.19 Mbits/sec   1.350 ms    0/  356 (0%)
[  3] 64.0-65.0 sec   512 KBytes  4.20 Mbits/sec   0.101 ms    0/  357 (0%)
[  3] 65.0-66.0 sec   512 KBytes  4.20 Mbits/sec   0.289 ms    0/  357 (0%)
[  3] 66.0-67.0 sec   511 KBytes  4.19 Mbits/sec   0.511 ms    0/  356 (0%)
[  3] 67.0-68.0 sec   512 KBytes  4.20 Mbits/sec   0.492 ms    0/  357 (0%)
[  3] 68.0-69.0 sec   512 KBytes  4.20 Mbits/sec   0.533 ms    0/  357 (0%)
[  3] 69.0-70.0 sec   511 KBytes  4.19 Mbits/sec   0.255 ms    0/  356 (0%)
[  3] 70.0-71.0 sec   512 KBytes  4.20 Mbits/sec   0.289 ms    0/  357 (0%)
[  3] 71.0-72.0 sec   512 KBytes  4.20 Mbits/sec   0.518 ms    0/  357 (0%)
[  3] 72.0-73.0 sec   511 KBytes  4.19 Mbits/sec   0.625 ms    0/  356 (0%)
[  3] 73.0-74.0 sec   512 KBytes  4.20 Mbits/sec   0.427 ms    0/  357 (0%)
[  3]  0.0-75.0 sec  37.5 MBytes  4.19 Mbits/sec   0.768 ms    0/26750 (0%)
