------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.4 port 5001 connected with 192.168.2.1 port 37507
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  1.00 MBytes  8.41 Mbits/sec   1.316 ms    0/  715 (0%)
[  3]  1.0- 2.0 sec  1024 KBytes  8.38 Mbits/sec   0.425 ms    0/  713 (0%)
[  3]  2.0- 3.0 sec  1024 KBytes  8.38 Mbits/sec   0.394 ms    0/  713 (0%)
[  3]  3.0- 4.0 sec  1.00 MBytes  8.40 Mbits/sec   0.213 ms    0/  714 (0%)
[  3]  4.0- 5.0 sec  1024 KBytes  8.38 Mbits/sec   0.406 ms    0/  713 (0%)
[  3]  5.0- 6.0 sec  1024 KBytes  8.38 Mbits/sec   0.270 ms    0/  713 (0%)
[  3]  6.0- 7.0 sec  1.00 MBytes  8.40 Mbits/sec   0.190 ms    0/  714 (0%)
[  3]  7.0- 8.0 sec  1024 KBytes  8.38 Mbits/sec   0.276 ms    0/  713 (0%)
[  3]  8.0- 9.0 sec  1024 KBytes  8.38 Mbits/sec   0.364 ms    0/  713 (0%)
[  3]  9.0-10.0 sec  1.00 MBytes  8.40 Mbits/sec   0.270 ms    0/  714 (0%)
[  3] 10.0-11.0 sec  1021 KBytes  8.36 Mbits/sec   0.224 ms    0/  711 (0%)
[  3] 11.0-12.0 sec  1.00 MBytes  8.41 Mbits/sec   0.192 ms    0/  715 (0%)
[  3] 12.0-13.0 sec  1.00 MBytes  8.40 Mbits/sec   0.245 ms    0/  714 (0%)
[  3] 13.0-14.0 sec  1024 KBytes  8.38 Mbits/sec   0.233 ms    0/  713 (0%)
[  3] 14.0-15.0 sec  1024 KBytes  8.38 Mbits/sec   0.202 ms    0/  713 (0%)
[  3] 15.0-16.0 sec  1021 KBytes  8.36 Mbits/sec   1.631 ms    0/  711 (0%)
[  3] 16.0-17.0 sec  1.00 MBytes  8.42 Mbits/sec   0.314 ms    0/  716 (0%)
[  3] 17.0-18.0 sec  1024 KBytes  8.38 Mbits/sec   0.307 ms    0/  713 (0%)
[  3] 18.0-19.0 sec  1024 KBytes  8.38 Mbits/sec   0.274 ms    0/  713 (0%)
[  3] 19.0-20.0 sec  1.00 MBytes  8.40 Mbits/sec   0.279 ms    0/  714 (0%)
[  3] 20.0-21.0 sec  1.00 MBytes  8.40 Mbits/sec   0.974 ms    0/  714 (0%)
[  3] 21.0-22.0 sec  1022 KBytes  8.37 Mbits/sec   0.352 ms    0/  712 (0%)
[  3] 22.0-23.0 sec  1.00 MBytes  8.40 Mbits/sec   0.260 ms    0/  714 (0%)
[  3] 23.0-24.0 sec  1024 KBytes  8.38 Mbits/sec   0.764 ms    0/  713 (0%)
[  3] 24.0-25.0 sec  1024 KBytes  8.38 Mbits/sec   0.771 ms    0/  713 (0%)
[  3] 25.0-26.0 sec  1015 KBytes  8.31 Mbits/sec   2.205 ms    0/  707 (0%)
[  3] 26.0-27.0 sec  1.01 MBytes  8.47 Mbits/sec   0.784 ms    0/  720 (0%)
[  3] 27.0-28.0 sec  1015 KBytes  8.31 Mbits/sec   1.275 ms    0/  707 (0%)
[  3] 28.0-29.0 sec  1.01 MBytes  8.47 Mbits/sec   0.225 ms    0/  720 (0%)
[  3] 29.0-30.0 sec  1024 KBytes  8.38 Mbits/sec   1.032 ms    0/  713 (0%)
[  3] 30.0-31.0 sec  1024 KBytes  8.38 Mbits/sec   0.935 ms    0/  713 (0%)
[  3] 31.0-32.0 sec  1.00 MBytes  8.40 Mbits/sec   0.752 ms    0/  714 (0%)
[  3] 32.0-33.0 sec  1024 KBytes  8.38 Mbits/sec   0.712 ms    0/  713 (0%)
[  3] 33.0-34.0 sec  1022 KBytes  8.37 Mbits/sec   1.064 ms    0/  712 (0%)
[  3] 34.0-35.0 sec  1.00 MBytes  8.41 Mbits/sec   0.429 ms    0/  715 (0%)
[  3] 35.0-36.0 sec  1024 KBytes  8.38 Mbits/sec   0.362 ms    0/  713 (0%)
[  3] 36.0-37.0 sec  1024 KBytes  8.38 Mbits/sec   0.309 ms    0/  713 (0%)
[  3] 37.0-38.0 sec  1.00 MBytes  8.40 Mbits/sec   0.456 ms    0/  714 (0%)
[  3] 38.0-39.0 sec  1022 KBytes  8.37 Mbits/sec   0.516 ms    0/  712 (0%)
[  3] 39.0-40.0 sec  1.00 MBytes  8.40 Mbits/sec   0.622 ms    0/  714 (0%)
[  3] 40.0-41.0 sec  1024 KBytes  8.38 Mbits/sec   1.747 ms    0/  713 (0%)
[  3] 41.0-42.0 sec  1.00 MBytes  8.40 Mbits/sec   0.227 ms    0/  714 (0%)
[  3] 42.0-43.0 sec  1024 KBytes  8.38 Mbits/sec   0.255 ms    0/  713 (0%)
[  3] 43.0-44.0 sec  1.00 MBytes  8.40 Mbits/sec   0.669 ms    0/  714 (0%)
[  3] 44.0-45.0 sec  1024 KBytes  8.38 Mbits/sec   0.220 ms    0/  713 (0%)
[  3] 45.0-46.0 sec  1024 KBytes  8.38 Mbits/sec   0.239 ms    0/  713 (0%)
[  3] 46.0-47.0 sec  1024 KBytes  8.38 Mbits/sec   1.133 ms    0/  713 (0%)
[  3] 47.0-48.0 sec  1.00 MBytes  8.40 Mbits/sec   0.448 ms    0/  714 (0%)
[  3] 48.0-49.0 sec  1024 KBytes  8.38 Mbits/sec   0.455 ms    0/  713 (0%)
[  3] 49.0-50.0 sec  1024 KBytes  8.38 Mbits/sec   0.088 ms    0/  713 (0%)
[  3] 50.0-51.0 sec  1.00 MBytes  8.40 Mbits/sec   0.382 ms    0/  714 (0%)
[  3] 51.0-52.0 sec  1024 KBytes  8.38 Mbits/sec   0.643 ms    0/  713 (0%)
[  3] 52.0-53.0 sec  1024 KBytes  8.38 Mbits/sec   1.250 ms    0/  713 (0%)
[  3] 53.0-54.0 sec  1.00 MBytes  8.40 Mbits/sec   0.188 ms    0/  714 (0%)
[  3] 54.0-55.0 sec  1024 KBytes  8.38 Mbits/sec   0.188 ms    0/  713 (0%)
[  3] 55.0-56.0 sec  1024 KBytes  8.38 Mbits/sec   0.522 ms    0/  713 (0%)
[  3] 56.0-57.0 sec  1024 KBytes  8.38 Mbits/sec   0.364 ms    0/  713 (0%)
[  3] 57.0-58.0 sec  1.00 MBytes  8.40 Mbits/sec   0.398 ms    0/  714 (0%)
[  3] 58.0-59.0 sec  1024 KBytes  8.38 Mbits/sec   0.733 ms    0/  713 (0%)
[  3] 59.0-60.0 sec  1.00 MBytes  8.40 Mbits/sec   0.590 ms    0/  714 (0%)
[  3] 60.0-61.0 sec  1024 KBytes  8.38 Mbits/sec   1.007 ms    0/  713 (0%)
[  3] 61.0-62.0 sec  1022 KBytes  8.37 Mbits/sec   1.074 ms    0/  712 (0%)
[  3] 62.0-63.0 sec  1.00 MBytes  8.41 Mbits/sec   0.801 ms    0/  715 (0%)
[  3] 63.0-64.0 sec  1024 KBytes  8.38 Mbits/sec   0.942 ms    0/  713 (0%)
[  3] 64.0-65.0 sec  1024 KBytes  8.38 Mbits/sec   1.040 ms    0/  713 (0%)
[  3] 65.0-66.0 sec  1024 KBytes  8.38 Mbits/sec   0.940 ms    0/  713 (0%)
[  3] 66.0-67.0 sec  1.00 MBytes  8.40 Mbits/sec   0.141 ms    0/  714 (0%)
[  3] 67.0-68.0 sec  1024 KBytes  8.38 Mbits/sec   1.180 ms    0/  713 (0%)
[  3] 68.0-69.0 sec  1.00 MBytes  8.40 Mbits/sec   1.113 ms    0/  714 (0%)
[  3] 69.0-70.0 sec  1024 KBytes  8.38 Mbits/sec   0.998 ms    0/  713 (0%)
[  3] 70.0-71.0 sec  1022 KBytes  8.37 Mbits/sec   0.959 ms    0/  712 (0%)
[  3] 71.0-72.0 sec  1.00 MBytes  8.40 Mbits/sec   0.236 ms    0/  714 (0%)
[  3] 72.0-73.0 sec  1.00 MBytes  8.40 Mbits/sec   1.312 ms    0/  714 (0%)
[  3] 73.0-74.0 sec  1022 KBytes  8.37 Mbits/sec   0.769 ms    0/  712 (0%)
[  3]  0.0-75.0 sec  75.0 MBytes  8.39 Mbits/sec   0.251 ms    0/53499 (0%)
