-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 53494
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 47380
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  3.00 MBytes  25.2 Mbits/sec  1.061 ms  0/2174 (0%)  
[  5]   1.00-2.00   sec  1.99 MBytes  16.7 Mbits/sec  1.197 ms  0/1440 (0%)  
[  5]   2.00-3.00   sec  1.96 MBytes  16.4 Mbits/sec  0.986 ms  0/1420 (0%)  
[  5]   3.00-4.00   sec  1.99 MBytes  16.7 Mbits/sec  1.274 ms  0/1438 (0%)  
[  5]   4.00-5.00   sec  1.96 MBytes  16.4 Mbits/sec  1.356 ms  0/1416 (0%)  
[  5]   5.00-6.00   sec  1.97 MBytes  16.6 Mbits/sec  1.260 ms  0/1429 (0%)  
[  5]   6.00-7.00   sec  1.97 MBytes  16.5 Mbits/sec  1.645 ms  0/1427 (0%)  
[  5]   7.00-8.00   sec  1.95 MBytes  16.4 Mbits/sec  1.049 ms  0/1413 (0%)  
[  5]   8.00-9.00   sec  1.98 MBytes  16.6 Mbits/sec  1.031 ms  0/1431 (0%)  
[  5]   9.00-10.00  sec  1.98 MBytes  16.6 Mbits/sec  1.391 ms  0/1436 (0%)  
[  5]  10.00-11.00  sec  1.97 MBytes  16.5 Mbits/sec  1.028 ms  0/1424 (0%)  
[  5]  11.00-12.00  sec  1.98 MBytes  16.6 Mbits/sec  1.438 ms  0/1437 (0%)  
[  5]  12.00-13.00  sec  1.95 MBytes  16.4 Mbits/sec  1.664 ms  0/1413 (0%)  
[  5]  13.00-14.00  sec  1.99 MBytes  16.7 Mbits/sec  1.067 ms  0/1440 (0%)  
[  5]  14.00-15.00  sec  1.97 MBytes  16.6 Mbits/sec  0.983 ms  0/1430 (0%)  
[  5]  15.00-16.00  sec  1.96 MBytes  16.4 Mbits/sec  1.053 ms  0/1417 (0%)  
[  5]  16.00-17.00  sec  1.99 MBytes  16.7 Mbits/sec  0.941 ms  0/1443 (0%)  
[  5]  17.00-18.00  sec  1.99 MBytes  16.7 Mbits/sec  1.063 ms  0/1443 (0%)  
[  5]  18.00-19.00  sec  1.95 MBytes  16.4 Mbits/sec  1.126 ms  0/1413 (0%)  
[  5]  19.00-20.00  sec  1.82 MBytes  15.3 Mbits/sec  2.430 ms  0/1319 (0%)  
[  5]  20.00-21.00  sec  1.95 MBytes  16.4 Mbits/sec  1.245 ms  0/1412 (0%)  
[  5]  21.00-22.00  sec  1.98 MBytes  16.6 Mbits/sec  1.039 ms  0/1433 (0%)  
[  5]  22.00-23.00  sec  1.98 MBytes  16.6 Mbits/sec  1.562 ms  0/1433 (0%)  
[  5]  23.00-24.00  sec  1.97 MBytes  16.5 Mbits/sec  1.240 ms  0/1427 (0%)  
[  5]  24.00-25.00  sec  1.97 MBytes  16.5 Mbits/sec  1.312 ms  0/1425 (0%)  
[  5]  25.00-26.00  sec  1.98 MBytes  16.6 Mbits/sec  1.111 ms  0/1435 (0%)  
[  5]  26.00-27.00  sec  1.98 MBytes  16.6 Mbits/sec  1.354 ms  0/1436 (0%)  
[  5]  27.00-28.00  sec  1.98 MBytes  16.6 Mbits/sec  1.033 ms  0/1437 (0%)  
[  5]  28.00-29.00  sec  1.96 MBytes  16.4 Mbits/sec  1.015 ms  0/1417 (0%)  
[  5]  29.00-30.00  sec  1.95 MBytes  16.3 Mbits/sec  1.411 ms  0/1410 (0%)  
[  5]  30.00-31.00  sec  1.97 MBytes  16.6 Mbits/sec  1.539 ms  0/1430 (0%)  
[  5]  31.00-32.00  sec  1.84 MBytes  15.4 Mbits/sec  0.938 ms  0/1333 (0%)  
[  5]  32.00-33.00  sec  1.94 MBytes  16.3 Mbits/sec  1.596 ms  0/1408 (0%)  
[  5]  33.00-34.00  sec  1.99 MBytes  16.7 Mbits/sec  1.011 ms  0/1439 (0%)  
[  5]  34.00-35.00  sec  1.99 MBytes  16.7 Mbits/sec  1.076 ms  0/1443 (0%)  
[  5]  35.00-36.00  sec  1.97 MBytes  16.6 Mbits/sec  1.020 ms  0/1430 (0%)  
[  5]  36.00-37.00  sec  1.99 MBytes  16.7 Mbits/sec  1.040 ms  0/1443 (0%)  
[  5]  37.00-38.00  sec  1.92 MBytes  16.1 Mbits/sec  0.953 ms  0/1391 (0%)  
[  5]  38.00-39.00  sec  1.80 MBytes  15.1 Mbits/sec  2.880 ms  0/1303 (0%)  
[  5]  39.00-40.00  sec  1.74 MBytes  14.6 Mbits/sec  1.046 ms  0/1258 (0%)  
