-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 52522
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 53974
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]  55.00-56.00  sec  1.71 MBytes  14.4 Mbits/sec  1.101 ms  0/1239 (0%)  
[  5]  56.00-57.00  sec  1.83 MBytes  15.3 Mbits/sec  1.230 ms  0/1324 (0%)  
[  5]  57.00-58.00  sec  1.78 MBytes  14.9 Mbits/sec  1.862 ms  0/1289 (0%)  
[  5]  58.00-59.00  sec  1.72 MBytes  14.5 Mbits/sec  1.209 ms  0/1249 (0%)  
[  5]  59.00-60.00  sec  1.72 MBytes  14.4 Mbits/sec  1.305 ms  0/1243 (0%)  
[  5]  60.00-61.00  sec  1.69 MBytes  14.2 Mbits/sec  2.210 ms  0/1226 (0%)  
[  5]  61.00-62.00  sec  1.70 MBytes  14.2 Mbits/sec  1.619 ms  0/1228 (0%)  
[  5]  62.00-63.00  sec  1.71 MBytes  14.3 Mbits/sec  1.458 ms  0/1237 (0%)  
[  5]  63.00-64.00  sec  1.66 MBytes  13.9 Mbits/sec  1.025 ms  0/1201 (0%)  
[  5]  64.00-65.00  sec  1.64 MBytes  13.7 Mbits/sec  1.345 ms  0/1185 (0%)  
[  5]  65.00-66.00  sec  1.70 MBytes  14.2 Mbits/sec  1.337 ms  0/1228 (0%)  
[  5]  66.00-67.00  sec  1.60 MBytes  13.4 Mbits/sec  1.575 ms  0/1157 (0%)  
[  5]  67.00-68.00  sec  1.46 MBytes  12.2 Mbits/sec  1.121 ms  0/1057 (0%)  
[  5]  68.00-69.00  sec  1.65 MBytes  13.9 Mbits/sec  1.130 ms  0/1197 (0%)  
[  5]  69.00-70.00  sec  1.49 MBytes  12.5 Mbits/sec  1.299 ms  0/1076 (0%)  
[  5]  70.00-71.00  sec  1.48 MBytes  12.4 Mbits/sec  3.148 ms  0/1071 (0%)  
[  5]  71.00-72.00  sec  1.68 MBytes  14.1 Mbits/sec  1.118 ms  0/1219 (0%)  
[  5]  72.00-73.00  sec  1.49 MBytes  12.5 Mbits/sec  1.547 ms  0/1081 (0%)  
[  5]  73.00-74.00  sec  1.56 MBytes  13.1 Mbits/sec  1.186 ms  0/1130 (0%)  
[  5]  74.00-75.00  sec  1.56 MBytes  13.1 Mbits/sec  1.180 ms  0/1131 (0%)  
[  5]  75.00-75.16  sec   132 KBytes  6.59 Mbits/sec  2.788 ms  0/93 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.16  sec   143 MBytes  16.0 Mbits/sec  2.788 ms  0/103584 (0%)  receiver
