Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,3.1,MBytes,26,Mbits/sec,2243
1.00-2.00,sec,3.1,MBytes,26,Mbits/sec,2245
2.00-3.00,sec,3.1,MBytes,26,Mbits/sec,2244
3.00-4.00,sec,3.1,MBytes,26,Mbits/sec,2245
4.00-5.00,sec,3.1,MBytes,26,Mbits/sec,2244
5.00-6.00,sec,3.1,MBytes,26,Mbits/sec,2244
6.00-7.00,sec,3.1,MBytes,26,Mbits/sec,2245
7.00-8.00,sec,3.1,MBytes,26,Mbits/sec,2244
8.00-9.00,sec,3.1,MBytes,26,Mbits/sec,2245
9.00-10.00,sec,3.1,MBytes,26,Mbits/sec,2244
10.00-11.00,sec,3.1,MBytes,26,Mbits/sec,2245
11.00-12.00,sec,3.1,MBytes,26,Mbits/sec,2244
12.00-13.00,sec,3.1,MBytes,26,Mbits/sec,2245
13.00-14.00,sec,3.1,MBytes,26,Mbits/sec,2244
14.00-15.00,sec,3.08,MBytes,25.9,Mbits/sec,2234
15.00-16.00,sec,3.11,MBytes,26.1,Mbits/sec,2255
16.00-17.00,sec,3.1,MBytes,26,Mbits/sec,2245
17.00-18.00,sec,3.1,MBytes,26,Mbits/sec,2244
18.00-19.00,sec,2.98,MBytes,25,Mbits/sec,2160
19.00-20.00,sec,3.16,MBytes,26.5,Mbits/sec,2288
20.00-21.00,sec,3.16,MBytes,26.5,Mbits/sec,2286
21.00-22.00,sec,3.1,MBytes,26,Mbits/sec,2244
22.00-23.00,sec,3.1,MBytes,26,Mbits/sec,2245
23.00-24.00,sec,3.1,MBytes,26,Mbits/sec,2244
24.00-25.00,sec,3.1,MBytes,26,Mbits/sec,2245
25.00-26.00,sec,3.1,MBytes,26,Mbits/sec,2244
26.00-27.00,sec,3.1,MBytes,26,Mbits/sec,2244
27.00-28.00,sec,3.1,MBytes,26,Mbits/sec,2245
28.00-29.00,sec,3.1,MBytes,26,Mbits/sec,2244
29.00-30.00,sec,3.1,MBytes,26,Mbits/sec,2245
30.00-31.00,sec,3.1,MBytes,26,Mbits/sec,2244
31.00-32.00,sec,3.1,MBytes,26,Mbits/sec,2245
32.00-33.00,sec,3.1,MBytes,26,Mbits/sec,2244
33.00-34.00,sec,3.1,MBytes,26,Mbits/sec,2245
34.00-35.00,sec,3.1,MBytes,26,Mbits/sec,2244
35.00-36.00,sec,3.1,MBytes,26,Mbits/sec,2245
36.00-37.00,sec,3.1,MBytes,26,Mbits/sec,2244
37.00-38.00,sec,3.1,MBytes,26,Mbits/sec,2245
38.00-39.00,sec,3.09,MBytes,25.9,Mbits/sec,2238
39.00-40.00,sec,3.11,MBytes,26.1,Mbits/sec,2251
40.00-41.00,sec,3.1,MBytes,26,Mbits/sec,2244
41.00-42.00,sec,3.1,MBytes,26,Mbits/sec,2245
42.00-43.00,sec,3.1,MBytes,26,Mbits/sec,2244
43.00-44.00,sec,3.1,MBytes,26,Mbits/sec,2245
44.00-45.00,sec,3.1,MBytes,26,Mbits/sec,2244
45.00-46.00,sec,3.1,MBytes,26,Mbits/sec,2245
46.00-47.00,sec,3.1,MBytes,26,Mbits/sec,2244
47.00-48.00,sec,3.1,MBytes,26,Mbits/sec,2244
48.00-49.00,sec,3.1,MBytes,26,Mbits/sec,2245
49.00-50.00,sec,3.1,MBytes,26,Mbits/sec,2244
50.00-51.00,sec,3.1,MBytes,26,Mbits/sec,2245
51.00-52.00,sec,3.1,MBytes,26,Mbits/sec,2244
52.00-53.00,sec,3.1,MBytes,26,Mbits/sec,2245
53.00-54.00,sec,3.1,MBytes,26,Mbits/sec,2244
54.00-55.00,sec,3.1,MBytes,26,Mbits/sec,2245
55.00-56.00,sec,3.1,MBytes,26,Mbits/sec,2244
56.00-57.00,sec,3.1,MBytes,26,Mbits/sec,2245
57.00-58.00,sec,3.1,MBytes,26,Mbits/sec,2244
58.00-59.00,sec,3.1,MBytes,26,Mbits/sec,2245
59.00-60.00,sec,3.1,MBytes,26,Mbits/sec,2244
60.00-61.00,sec,3.1,MBytes,26,Mbits/sec,2244
61.00-62.00,sec,2.76,MBytes,23.2,Mbits/sec,2002
62.00-63.00,sec,3.21,MBytes,27,Mbits/sec,2327
63.00-64.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
64.00-65.00,sec,3.23,MBytes,27.1,Mbits/sec,2336
65.00-66.00,sec,3.1,MBytes,26,Mbits/sec,2244
66.00-67.00,sec,3.1,MBytes,26,Mbits/sec,2244
67.00-68.00,sec,3.1,MBytes,26,Mbits/sec,2245
68.00-69.00,sec,3.1,MBytes,26,Mbits/sec,2244
69.00-70.00,sec,3.1,MBytes,26,Mbits/sec,2245
70.00-71.00,sec,3.1,MBytes,26,Mbits/sec,2244
71.00-72.00,sec,3.1,MBytes,26,Mbits/sec,2245
72.00-73.00,sec,3.1,MBytes,26,Mbits/sec,2244
73.00-74.00,sec,3.1,MBytes,26,Mbits/sec,2245
74.00-75.00,sec,3.1,MBytes,26,Mbits/sec,2244
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,232,MBytes,26,Mbits/sec,0.000 ms  0/168334 (0%)  sender
0.00-75.04,sec,232,MBytes,26,Mbits/sec,0.448 ms  0/168334 (0%)  receiver
,,,,,,
Done.,,,,,,
