Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,3.11,MBytes,26.1,Mbits/sec,2251
1.00-2.00,sec,3.12,MBytes,26.2,Mbits/sec,2258
2.00-3.00,sec,3.61,MBytes,30.3,Mbits/sec,2613
3.00-4.00,sec,3.48,MBytes,29.2,Mbits/sec,2523
4.00-5.00,sec,3.7,MBytes,31,Mbits/sec,2677
5.00-6.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
6.00-7.00,sec,3.7,MBytes,31,Mbits/sec,2678
7.00-8.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
8.00-9.00,sec,3.57,MBytes,30,Mbits/sec,2588
9.00-10.00,sec,3.7,MBytes,31,Mbits/sec,2678
10.00-11.00,sec,3.55,MBytes,29.8,Mbits/sec,2573
11.00-12.00,sec,3.68,MBytes,30.9,Mbits/sec,2665
12.00-13.00,sec,3.51,MBytes,29.4,Mbits/sec,2541
13.00-14.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
14.00-15.00,sec,3.49,MBytes,29.3,Mbits/sec,2529
15.00-16.00,sec,3.57,MBytes,30,Mbits/sec,2587
16.00-17.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
17.00-18.00,sec,3.57,MBytes,30,Mbits/sec,2587
18.00-19.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
19.00-20.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
20.00-21.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
21.00-22.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
22.00-23.00,sec,3.49,MBytes,29.3,Mbits/sec,2528
23.00-24.00,sec,3.64,MBytes,30.5,Mbits/sec,2633
24.00-25.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
25.00-26.00,sec,3.37,MBytes,28.3,Mbits/sec,2439
26.00-27.00,sec,3.54,MBytes,29.7,Mbits/sec,2566
27.00-28.00,sec,3.52,MBytes,29.5,Mbits/sec,2549
28.00-29.00,sec,3.43,MBytes,28.8,Mbits/sec,2482
29.00-30.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
30.00-31.00,sec,3.43,MBytes,28.8,Mbits/sec,2486
31.00-32.00,sec,3.39,MBytes,28.4,Mbits/sec,2454
32.00-33.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
33.00-34.00,sec,3.21,MBytes,27,Mbits/sec,2327
34.00-35.00,sec,3.55,MBytes,29.8,Mbits/sec,2574
35.00-36.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
36.00-37.00,sec,3.63,MBytes,30.4,Mbits/sec,2626
37.00-38.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
38.00-39.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
39.00-40.00,sec,3.18,MBytes,26.7,Mbits/sec,2301
40.00-41.00,sec,2.69,MBytes,22.6,Mbits/sec,1950
41.00-42.00,sec,3.09,MBytes,25.9,Mbits/sec,2236
42.00-43.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
43.00-44.00,sec,3.61,MBytes,30.3,Mbits/sec,2613
44.00-45.00,sec,3.68,MBytes,30.9,Mbits/sec,2665
45.00-46.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
46.00-47.00,sec,3.46,MBytes,29.1,Mbits/sec,2509
47.00-48.00,sec,3.46,MBytes,29.1,Mbits/sec,2509
48.00-49.00,sec,3.66,MBytes,30.7,Mbits/sec,2652
49.00-50.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
50.00-51.00,sec,2.78,MBytes,23.3,Mbits/sec,2015
51.00-52.00,sec,3.18,MBytes,26.7,Mbits/sec,2301
52.00-53.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
53.00-54.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
54.00-55.00,sec,3.25,MBytes,27.2,Mbits/sec,2351
55.00-56.00,sec,3.18,MBytes,26.7,Mbits/sec,2303
56.00-57.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
57.00-58.00,sec,3.28,MBytes,27.5,Mbits/sec,2375
58.00-59.00,sec,3.49,MBytes,29.3,Mbits/sec,2526
59.00-60.00,sec,3,MBytes,25.1,Mbits/sec,2171
60.00-61.00,sec,3.34,MBytes,28,Mbits/sec,2418
61.00-62.00,sec,3.16,MBytes,26.5,Mbits/sec,2289
62.00-63.00,sec,3.36,MBytes,28.2,Mbits/sec,2430
63.00-64.00,sec,3.5,MBytes,29.4,Mbits/sec,2534
64.00-65.00,sec,3.02,MBytes,25.3,Mbits/sec,2185
65.00-66.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
66.00-67.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
67.00-68.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
68.00-69.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
69.00-70.00,sec,3.42,MBytes,28.7,Mbits/sec,2479
70.00-71.00,sec,3.51,MBytes,29.4,Mbits/sec,2539
71.00-72.00,sec,3.46,MBytes,29,Mbits/sec,2502
72.00-73.00,sec,3.5,MBytes,29.4,Mbits/sec,2536
73.00-74.00,sec,3.37,MBytes,28.2,Mbits/sec,2437
74.00-75.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,255,MBytes,28.6,Mbits/sec,0.000 ms  0/185001 (0%)  sender
0.00-75.04,sec,255,MBytes,28.6,Mbits/sec,0.477 ms  0/185000 (0%)  receiver
,,,,,,
Done.,,,,,,
