Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,2.14,MBytes,18,Mbits/sec,1553
1.00-2.00,sec,2.15,MBytes,18,Mbits/sec,1554
2.00-3.00,sec,2.15,MBytes,18,Mbits/sec,1554
3.00-4.00,sec,2.15,MBytes,18,Mbits/sec,1554
4.00-5.00,sec,2.14,MBytes,18,Mbits/sec,1553
5.00-6.00,sec,2.15,MBytes,18,Mbits/sec,1554
6.00-7.00,sec,2.15,MBytes,18,Mbits/sec,1554
7.00-8.00,sec,2.15,MBytes,18,Mbits/sec,1554
8.00-9.00,sec,2.15,MBytes,18,Mbits/sec,1554
9.00-10.00,sec,2.15,MBytes,18,Mbits/sec,1554
10.00-11.00,sec,2.15,MBytes,18,Mbits/sec,1554
11.00-12.00,sec,2.15,MBytes,18,Mbits/sec,1554
12.00-13.00,sec,2.14,MBytes,18,Mbits/sec,1553
13.00-14.00,sec,2.15,MBytes,18,Mbits/sec,1554
14.00-15.00,sec,2.15,MBytes,18,Mbits/sec,1554
15.00-16.00,sec,2.15,MBytes,18,Mbits/sec,1554
16.00-17.00,sec,2.15,MBytes,18,Mbits/sec,1554
17.00-18.00,sec,2.15,MBytes,18,Mbits/sec,1554
18.00-19.00,sec,2.15,MBytes,18,Mbits/sec,1554
19.00-20.00,sec,2.14,MBytes,18,Mbits/sec,1553
20.00-21.00,sec,2.15,MBytes,18,Mbits/sec,1554
21.00-22.00,sec,2.15,MBytes,18,Mbits/sec,1554
22.00-23.00,sec,2.15,MBytes,18,Mbits/sec,1554
23.00-24.00,sec,2.15,MBytes,18,Mbits/sec,1554
24.00-25.00,sec,2.15,MBytes,18,Mbits/sec,1554
25.00-26.00,sec,2.15,MBytes,18,Mbits/sec,1554
26.00-27.00,sec,2.15,MBytes,18,Mbits/sec,1554
27.00-28.00,sec,2.14,MBytes,18,Mbits/sec,1553
28.00-29.00,sec,2.15,MBytes,18,Mbits/sec,1554
29.00-30.00,sec,2.15,MBytes,18,Mbits/sec,1554
30.00-31.00,sec,2.15,MBytes,18,Mbits/sec,1554
31.00-32.00,sec,2.15,MBytes,18,Mbits/sec,1554
32.00-33.00,sec,2.15,MBytes,18,Mbits/sec,1554
33.00-34.00,sec,2.15,MBytes,18,Mbits/sec,1554
34.00-35.00,sec,2.14,MBytes,18,Mbits/sec,1553
35.00-36.00,sec,2.15,MBytes,18,Mbits/sec,1554
36.00-37.00,sec,2.15,MBytes,18,Mbits/sec,1554
37.00-38.00,sec,2.15,MBytes,18,Mbits/sec,1554
38.00-39.00,sec,2.15,MBytes,18,Mbits/sec,1554
39.00-40.00,sec,2.15,MBytes,18,Mbits/sec,1554
40.00-41.00,sec,2.15,MBytes,18,Mbits/sec,1554
41.00-42.00,sec,2.15,MBytes,18,Mbits/sec,1554
42.00-43.00,sec,2.14,MBytes,18,Mbits/sec,1553
43.00-44.00,sec,2.15,MBytes,18,Mbits/sec,1554
44.00-45.00,sec,2.15,MBytes,18,Mbits/sec,1554
45.00-46.00,sec,2.15,MBytes,18,Mbits/sec,1554
46.00-47.00,sec,2.15,MBytes,18,Mbits/sec,1554
47.00-48.00,sec,2.14,MBytes,18,Mbits/sec,1552
48.00-49.00,sec,2.15,MBytes,18,Mbits/sec,1556
49.00-50.00,sec,2.14,MBytes,18,Mbits/sec,1553
50.00-51.00,sec,2.15,MBytes,18,Mbits/sec,1554
51.00-52.00,sec,2.15,MBytes,18,Mbits/sec,1554
52.00-53.00,sec,2.15,MBytes,18,Mbits/sec,1554
53.00-54.00,sec,2.15,MBytes,18,Mbits/sec,1554
54.00-55.00,sec,2.15,MBytes,18,Mbits/sec,1554
55.00-56.00,sec,2.15,MBytes,18,Mbits/sec,1554
56.00-57.00,sec,2.15,MBytes,18,Mbits/sec,1554
57.00-58.00,sec,2.14,MBytes,18,Mbits/sec,1553
58.00-59.00,sec,2.15,MBytes,18,Mbits/sec,1554
59.00-60.00,sec,2.15,MBytes,18,Mbits/sec,1554
60.00-61.00,sec,2.15,MBytes,18,Mbits/sec,1554
61.00-62.00,sec,2.15,MBytes,18,Mbits/sec,1554
62.00-63.00,sec,2.15,MBytes,18,Mbits/sec,1554
63.00-64.00,sec,2.15,MBytes,18,Mbits/sec,1554
64.00-65.00,sec,2.14,MBytes,18,Mbits/sec,1553
65.00-66.00,sec,2.15,MBytes,18,Mbits/sec,1554
66.00-67.00,sec,2.15,MBytes,18,Mbits/sec,1554
67.00-68.00,sec,2.15,MBytes,18,Mbits/sec,1554
68.00-69.00,sec,2.15,MBytes,18,Mbits/sec,1554
69.00-70.00,sec,2.15,MBytes,18,Mbits/sec,1554
70.00-71.00,sec,2.15,MBytes,18,Mbits/sec,1554
71.00-72.00,sec,2.15,MBytes,18,Mbits/sec,1554
72.00-73.00,sec,2.14,MBytes,18,Mbits/sec,1553
73.00-74.00,sec,2.15,MBytes,18,Mbits/sec,1554
74.00-75.00,sec,2.15,MBytes,18,Mbits/sec,1554
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,161,MBytes,18,Mbits/sec,0.000 ms  0/116539 (0%)  sender
0.00-75.01,sec,161,MBytes,18,Mbits/sec,0.804 ms  0/116538 (0%)  receiver
,,,,,,
Done.,,,,,,
