Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,1.19,MBytes,10,Mbits/sec,863
1.00-2.00,sec,1.19,MBytes,10,Mbits/sec,863
2.00-3.00,sec,1.19,MBytes,10,Mbits/sec,863
3.00-4.00,sec,1.19,MBytes,10,Mbits/sec,864
4.00-5.00,sec,1.19,MBytes,10,Mbits/sec,863
5.00-6.00,sec,1.19,MBytes,10,Mbits/sec,863
6.00-7.00,sec,1.19,MBytes,10,Mbits/sec,864
7.00-8.00,sec,1.19,MBytes,10,Mbits/sec,863
8.00-9.00,sec,1.19,MBytes,10,Mbits/sec,863
9.00-10.00,sec,1.19,MBytes,10,Mbits/sec,863
10.00-11.00,sec,1.19,MBytes,10,Mbits/sec,864
11.00-12.00,sec,1.19,MBytes,10,Mbits/sec,863
12.00-13.00,sec,1.19,MBytes,10,Mbits/sec,863
13.00-14.00,sec,1.19,MBytes,10,Mbits/sec,863
14.00-15.00,sec,1.19,MBytes,10,Mbits/sec,864
15.00-16.00,sec,1.19,MBytes,10,Mbits/sec,863
16.00-17.00,sec,1.19,MBytes,10,Mbits/sec,863
17.00-18.00,sec,1.19,MBytes,10,Mbits/sec,863
18.00-19.00,sec,1.19,MBytes,10,Mbits/sec,864
19.00-20.00,sec,1.19,MBytes,10,Mbits/sec,863
20.00-21.00,sec,1.19,MBytes,10,Mbits/sec,863
21.00-22.00,sec,1.19,MBytes,10,Mbits/sec,863
22.00-23.00,sec,1.19,MBytes,10,Mbits/sec,864
23.00-24.00,sec,1.19,MBytes,10,Mbits/sec,863
24.00-25.00,sec,1.19,MBytes,10,Mbits/sec,863
25.00-26.00,sec,1.19,MBytes,10,Mbits/sec,863
26.00-27.00,sec,1.19,MBytes,10,Mbits/sec,864
27.00-28.00,sec,1.19,MBytes,10,Mbits/sec,863
28.00-29.00,sec,1.19,MBytes,10,Mbits/sec,863
29.00-30.00,sec,1.19,MBytes,10,Mbits/sec,864
30.00-31.00,sec,1.19,MBytes,10,Mbits/sec,863
31.00-32.00,sec,1.19,MBytes,10,Mbits/sec,863
32.00-33.00,sec,1.19,MBytes,10,Mbits/sec,863
33.00-34.00,sec,1.19,MBytes,10,Mbits/sec,864
34.00-35.00,sec,1.19,MBytes,10,Mbits/sec,863
35.00-36.00,sec,1.19,MBytes,10,Mbits/sec,863
36.00-37.00,sec,1.19,MBytes,10,Mbits/sec,863
37.00-38.00,sec,1.19,MBytes,10,Mbits/sec,864
38.00-39.00,sec,1.19,MBytes,10,Mbits/sec,863
39.00-40.00,sec,1.19,MBytes,10,Mbits/sec,863
40.00-41.00,sec,1.19,MBytes,10,Mbits/sec,863
41.00-42.00,sec,1.19,MBytes,10,Mbits/sec,864
42.00-43.00,sec,1.19,MBytes,10,Mbits/sec,863
43.00-44.00,sec,1.19,MBytes,10,Mbits/sec,863
44.00-45.00,sec,1.19,MBytes,10,Mbits/sec,863
45.00-46.00,sec,1.19,MBytes,10,Mbits/sec,864
46.00-47.00,sec,1.19,MBytes,10,Mbits/sec,863
47.00-48.00,sec,1.19,MBytes,10,Mbits/sec,863
48.00-49.00,sec,1.19,MBytes,10,Mbits/sec,863
49.00-50.00,sec,1.19,MBytes,10,Mbits/sec,864
50.00-51.00,sec,1.19,MBytes,10,Mbits/sec,863
51.00-52.00,sec,1.19,MBytes,10,Mbits/sec,863
52.00-53.00,sec,1.19,MBytes,10,Mbits/sec,863
53.00-54.00,sec,1.19,MBytes,10,Mbits/sec,864
54.00-55.00,sec,1.19,MBytes,10,Mbits/sec,863
55.00-56.00,sec,1.19,MBytes,10,Mbits/sec,863
56.00-57.00,sec,1.19,MBytes,10,Mbits/sec,864
57.00-58.00,sec,1.19,MBytes,10,Mbits/sec,863
58.00-59.00,sec,1.19,MBytes,10,Mbits/sec,863
59.00-60.00,sec,1.19,MBytes,10,Mbits/sec,863
60.00-61.00,sec,1.19,MBytes,10,Mbits/sec,864
61.00-62.00,sec,1.19,MBytes,10,Mbits/sec,863
62.00-63.00,sec,1.19,MBytes,10,Mbits/sec,863
63.00-64.00,sec,1.19,MBytes,10,Mbits/sec,863
64.00-65.00,sec,1.19,MBytes,10,Mbits/sec,864
65.00-66.00,sec,1.19,MBytes,10,Mbits/sec,863
66.00-67.00,sec,1.19,MBytes,10,Mbits/sec,863
67.00-68.00,sec,1.19,MBytes,9.98,Mbits/sec,863
68.00-69.00,sec,1.19,MBytes,10,Mbits/sec,864
69.00-70.00,sec,1.19,MBytes,10,Mbits/sec,863
70.00-71.00,sec,1.19,MBytes,10,Mbits/sec,863
71.00-72.00,sec,1.19,MBytes,10,Mbits/sec,863
72.00-73.00,sec,1.19,MBytes,10,Mbits/sec,864
73.00-74.00,sec,1.19,MBytes,10,Mbits/sec,863
74.00-75.00,sec,1.19,MBytes,10,Mbits/sec,863
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,89.4,MBytes,10,Mbits/sec,0.000 ms  0/64744 (0%)  sender
0.00-75.01,sec,89.4,MBytes,10,Mbits/sec,0.942 ms  0/64743 (0%)  receiver
,,,,,,
Done.,,,,,,
