Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,245,KBytes,2,Mbits/sec,173
1.00-2.00,sec,245,KBytes,2,Mbits/sec,173
2.00-3.00,sec,243,KBytes,1.99,Mbits/sec,172
3.00-4.00,sec,245,KBytes,2,Mbits/sec,173
4.00-5.00,sec,245,KBytes,2,Mbits/sec,173
5.00-6.00,sec,243,KBytes,1.99,Mbits/sec,172
6.00-7.00,sec,245,KBytes,2,Mbits/sec,173
7.00-8.00,sec,245,KBytes,2,Mbits/sec,173
8.00-9.00,sec,243,KBytes,1.99,Mbits/sec,172
9.00-10.00,sec,245,KBytes,2,Mbits/sec,173
10.00-11.00,sec,245,KBytes,2,Mbits/sec,173
11.00-12.00,sec,243,KBytes,1.99,Mbits/sec,172
12.00-13.00,sec,245,KBytes,2,Mbits/sec,173
13.00-14.00,sec,243,KBytes,1.99,Mbits/sec,172
14.00-15.00,sec,245,KBytes,2,Mbits/sec,173
15.00-16.00,sec,245,KBytes,2,Mbits/sec,173
16.00-17.00,sec,243,KBytes,1.99,Mbits/sec,172
17.00-18.00,sec,245,KBytes,2,Mbits/sec,173
18.00-19.00,sec,245,KBytes,2,Mbits/sec,173
19.00-20.00,sec,243,KBytes,1.99,Mbits/sec,172
20.00-21.00,sec,245,KBytes,2,Mbits/sec,173
21.00-22.00,sec,245,KBytes,2,Mbits/sec,173
22.00-23.00,sec,243,KBytes,1.99,Mbits/sec,172
23.00-24.00,sec,245,KBytes,2,Mbits/sec,173
24.00-25.00,sec,245,KBytes,2,Mbits/sec,173
25.00-26.00,sec,243,KBytes,1.99,Mbits/sec,172
26.00-27.00,sec,245,KBytes,2,Mbits/sec,173
27.00-28.00,sec,245,KBytes,2,Mbits/sec,173
28.00-29.00,sec,243,KBytes,1.99,Mbits/sec,172
29.00-30.00,sec,245,KBytes,2,Mbits/sec,173
30.00-31.00,sec,245,KBytes,2,Mbits/sec,173
31.00-32.00,sec,243,KBytes,1.99,Mbits/sec,172
32.00-33.00,sec,245,KBytes,2,Mbits/sec,173
33.00-34.00,sec,245,KBytes,2,Mbits/sec,173
34.00-35.00,sec,243,KBytes,1.99,Mbits/sec,172
35.00-36.00,sec,245,KBytes,2,Mbits/sec,173
36.00-37.00,sec,243,KBytes,1.99,Mbits/sec,172
37.00-38.00,sec,245,KBytes,2,Mbits/sec,173
38.00-39.00,sec,245,KBytes,2,Mbits/sec,173
39.00-40.00,sec,243,KBytes,1.99,Mbits/sec,172
40.00-41.00,sec,245,KBytes,2,Mbits/sec,173
41.00-42.00,sec,245,KBytes,2,Mbits/sec,173
42.00-43.00,sec,243,KBytes,1.99,Mbits/sec,172
43.00-44.00,sec,245,KBytes,2,Mbits/sec,173
44.00-45.00,sec,245,KBytes,2,Mbits/sec,173
45.00-46.00,sec,243,KBytes,1.99,Mbits/sec,172
46.00-47.00,sec,245,KBytes,2,Mbits/sec,173
47.00-48.00,sec,245,KBytes,2,Mbits/sec,173
48.00-49.00,sec,243,KBytes,1.99,Mbits/sec,172
49.00-50.00,sec,245,KBytes,2,Mbits/sec,173
50.00-51.00,sec,245,KBytes,2,Mbits/sec,173
51.00-52.00,sec,243,KBytes,1.99,Mbits/sec,172
52.00-53.00,sec,245,KBytes,2,Mbits/sec,173
53.00-54.00,sec,245,KBytes,2,Mbits/sec,173
54.00-55.00,sec,243,KBytes,1.99,Mbits/sec,172
55.00-56.00,sec,245,KBytes,2,Mbits/sec,173
56.00-57.00,sec,245,KBytes,2,Mbits/sec,173
57.00-58.00,sec,243,KBytes,1.99,Mbits/sec,172
58.00-59.00,sec,245,KBytes,2,Mbits/sec,173
59.00-60.00,sec,243,KBytes,1.99,Mbits/sec,172
60.00-61.00,sec,245,KBytes,2,Mbits/sec,173
61.00-62.00,sec,245,KBytes,2,Mbits/sec,173
62.00-63.00,sec,243,KBytes,1.99,Mbits/sec,172
63.00-64.00,sec,245,KBytes,2,Mbits/sec,173
64.00-65.00,sec,245,KBytes,2,Mbits/sec,173
65.00-66.00,sec,243,KBytes,1.99,Mbits/sec,172
66.00-67.00,sec,245,KBytes,2,Mbits/sec,173
67.00-68.00,sec,245,KBytes,2,Mbits/sec,173
68.00-69.00,sec,243,KBytes,1.99,Mbits/sec,172
69.00-70.00,sec,245,KBytes,2,Mbits/sec,173
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-70.00,sec,16.7,MBytes,2,Mbits/sec,0.000 ms  0/12086 (0%)  sender
0.00-70.00,sec,16.7,MBytes,2,Mbits/sec,0.362 ms  0/12086 (0%)  receiver
,,,,,,
Done.,,,,,,
