Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,3.21,MBytes,26.9,Mbits/sec,2322
1.00-2.00,sec,3.03,MBytes,25.5,Mbits/sec,2197
2.00-3.00,sec,2.93,MBytes,24.5,Mbits/sec,2119
3.00-4.00,sec,3.16,MBytes,26.5,Mbits/sec,2288
4.00-5.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
5.00-6.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
6.00-7.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
7.00-8.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
8.00-9.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
9.00-10.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
10.00-11.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
11.00-12.00,sec,3.42,MBytes,28.7,Mbits/sec,2476
12.00-13.00,sec,3.34,MBytes,28,Mbits/sec,2417
13.00-14.00,sec,3.34,MBytes,28,Mbits/sec,2417
14.00-15.00,sec,3.34,MBytes,28,Mbits/sec,2418
15.00-16.00,sec,3.34,MBytes,28,Mbits/sec,2417
16.00-17.00,sec,3.34,MBytes,28,Mbits/sec,2417
17.00-18.00,sec,3.34,MBytes,28,Mbits/sec,2417
18.00-19.00,sec,3.34,MBytes,28,Mbits/sec,2417
19.00-20.00,sec,3.34,MBytes,28,Mbits/sec,2417
20.00-21.00,sec,3.34,MBytes,28,Mbits/sec,2417
21.00-22.00,sec,3.34,MBytes,28,Mbits/sec,2417
22.00-23.00,sec,3.33,MBytes,27.9,Mbits/sec,2409
23.00-24.00,sec,3.35,MBytes,28.1,Mbits/sec,2426
24.00-25.00,sec,3.34,MBytes,28,Mbits/sec,2417
25.00-26.00,sec,3.34,MBytes,28,Mbits/sec,2417
26.00-27.00,sec,3.34,MBytes,28,Mbits/sec,2417
27.00-28.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
28.00-29.00,sec,3.39,MBytes,28.4,Mbits/sec,2455
29.00-30.00,sec,3.34,MBytes,28,Mbits/sec,2417
30.00-31.00,sec,3.34,MBytes,28,Mbits/sec,2417
31.00-32.00,sec,3.34,MBytes,28,Mbits/sec,2418
32.00-33.00,sec,3.34,MBytes,28,Mbits/sec,2417
33.00-34.00,sec,3.34,MBytes,28,Mbits/sec,2417
34.00-35.00,sec,3.27,MBytes,27.4,Mbits/sec,2367
35.00-36.00,sec,3.41,MBytes,28.6,Mbits/sec,2467
36.00-37.00,sec,3.34,MBytes,28,Mbits/sec,2417
37.00-38.00,sec,3.33,MBytes,27.9,Mbits/sec,2411
38.00-39.00,sec,3.2,MBytes,26.8,Mbits/sec,2315
39.00-40.00,sec,3.18,MBytes,26.7,Mbits/sec,2301
40.00-41.00,sec,3.51,MBytes,29.4,Mbits/sec,2541
41.00-42.00,sec,2.97,MBytes,24.9,Mbits/sec,2152
42.00-43.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
43.00-44.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
44.00-45.00,sec,3.13,MBytes,26.2,Mbits/sec,2263
45.00-46.00,sec,3.62,MBytes,30.4,Mbits/sec,2625
46.00-47.00,sec,3.24,MBytes,27.2,Mbits/sec,2347
47.00-48.00,sec,3.26,MBytes,27.3,Mbits/sec,2360
48.00-49.00,sec,3.5,MBytes,29.4,Mbits/sec,2534
49.00-50.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
50.00-51.00,sec,3.55,MBytes,29.8,Mbits/sec,2569
51.00-52.00,sec,3.37,MBytes,28.3,Mbits/sec,2442
52.00-53.00,sec,3.32,MBytes,27.8,Mbits/sec,2404
53.00-54.00,sec,3.36,MBytes,28.1,Mbits/sec,2430
54.00-55.00,sec,3.34,MBytes,28,Mbits/sec,2418
55.00-56.00,sec,3.34,MBytes,28,Mbits/sec,2417
56.00-57.00,sec,3.34,MBytes,28,Mbits/sec,2417
57.00-58.00,sec,3.34,MBytes,28,Mbits/sec,2417
58.00-59.00,sec,3.34,MBytes,28,Mbits/sec,2417
59.00-60.00,sec,3.34,MBytes,28,Mbits/sec,2417
60.00-61.00,sec,3.34,MBytes,28,Mbits/sec,2418
61.00-62.00,sec,3.34,MBytes,28,Mbits/sec,2416
62.00-63.00,sec,3.34,MBytes,28,Mbits/sec,2418
63.00-64.00,sec,3.34,MBytes,28,Mbits/sec,2417
64.00-65.00,sec,3.34,MBytes,28,Mbits/sec,2417
65.00-66.00,sec,3.34,MBytes,28,Mbits/sec,2417
66.00-67.00,sec,3.34,MBytes,28,Mbits/sec,2417
67.00-68.00,sec,3.34,MBytes,28,Mbits/sec,2417
68.00-69.00,sec,3.34,MBytes,28,Mbits/sec,2417
69.00-70.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
70.00-71.00,sec,3.39,MBytes,28.4,Mbits/sec,2456
71.00-72.00,sec,3.34,MBytes,28,Mbits/sec,2417
72.00-73.00,sec,3.34,MBytes,28,Mbits/sec,2417
73.00-74.00,sec,3.34,MBytes,28,Mbits/sec,2417
74.00-75.00,sec,3.34,MBytes,28,Mbits/sec,2418
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,250,MBytes,28,Mbits/sec,0.000 ms  0/181284 (0%)  sender
0.00-75.05,sec,250,MBytes,28,Mbits/sec,0.538 ms  0/181282 (0%)  receiver
,,,,,,
Done.,,,,,,
