Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,2.86,MBytes,24,Mbits/sec,2070
1.00-2.00,sec,2.86,MBytes,24,Mbits/sec,2072
2.00-3.00,sec,2.82,MBytes,23.6,Mbits/sec,2040
3.00-4.00,sec,2.91,MBytes,24.4,Mbits/sec,2104
4.00-5.00,sec,2.86,MBytes,24,Mbits/sec,2072
5.00-6.00,sec,2.86,MBytes,24,Mbits/sec,2072
6.00-7.00,sec,2.86,MBytes,24,Mbits/sec,2071
7.00-8.00,sec,2.86,MBytes,24,Mbits/sec,2072
8.00-9.00,sec,2.86,MBytes,24,Mbits/sec,2072
9.00-10.00,sec,2.86,MBytes,24,Mbits/sec,2072
10.00-11.00,sec,2.86,MBytes,24,Mbits/sec,2072
11.00-12.00,sec,2.86,MBytes,24,Mbits/sec,2072
12.00-13.00,sec,2.86,MBytes,24,Mbits/sec,2072
13.00-14.00,sec,2.86,MBytes,24,Mbits/sec,2071
14.00-15.00,sec,2.86,MBytes,24,Mbits/sec,2072
15.00-16.00,sec,2.86,MBytes,24,Mbits/sec,2072
16.00-17.00,sec,2.86,MBytes,24,Mbits/sec,2072
17.00-18.00,sec,2.86,MBytes,24,Mbits/sec,2072
18.00-19.00,sec,2.86,MBytes,24,Mbits/sec,2071
19.00-20.00,sec,2.86,MBytes,24,Mbits/sec,2072
20.00-21.00,sec,2.86,MBytes,24,Mbits/sec,2072
21.00-22.00,sec,2.86,MBytes,24,Mbits/sec,2072
22.00-23.00,sec,2.86,MBytes,24,Mbits/sec,2072
23.00-24.00,sec,2.86,MBytes,24,Mbits/sec,2072
24.00-25.00,sec,2.86,MBytes,24,Mbits/sec,2071
25.00-26.00,sec,2.86,MBytes,24,Mbits/sec,2072
26.00-27.00,sec,2.86,MBytes,24,Mbits/sec,2072
27.00-28.00,sec,2.86,MBytes,24,Mbits/sec,2072
28.00-29.00,sec,2.86,MBytes,24,Mbits/sec,2072
29.00-30.00,sec,2.86,MBytes,24,Mbits/sec,2072
30.00-31.00,sec,2.86,MBytes,24,Mbits/sec,2071
31.00-32.00,sec,2.86,MBytes,24,Mbits/sec,2072
32.00-33.00,sec,2.86,MBytes,24,Mbits/sec,2072
33.00-34.00,sec,2.86,MBytes,24,Mbits/sec,2072
34.00-35.00,sec,2.86,MBytes,24,Mbits/sec,2071
35.00-36.00,sec,2.86,MBytes,24,Mbits/sec,2072
36.00-37.00,sec,2.86,MBytes,24,Mbits/sec,2072
37.00-38.00,sec,2.86,MBytes,24,Mbits/sec,2072
38.00-39.00,sec,2.86,MBytes,24,Mbits/sec,2072
39.00-40.00,sec,2.86,MBytes,24,Mbits/sec,2072
40.00-41.00,sec,2.86,MBytes,24,Mbits/sec,2072
41.00-42.00,sec,2.86,MBytes,24,Mbits/sec,2071
42.00-43.00,sec,2.86,MBytes,24,Mbits/sec,2072
43.00-44.00,sec,2.86,MBytes,24,Mbits/sec,2072
44.00-45.00,sec,2.86,MBytes,24,Mbits/sec,2072
45.00-46.00,sec,2.86,MBytes,24,Mbits/sec,2072
46.00-47.00,sec,2.86,MBytes,24,Mbits/sec,2071
47.00-48.00,sec,2.86,MBytes,24,Mbits/sec,2072
48.00-49.00,sec,2.86,MBytes,24,Mbits/sec,2072
49.00-50.00,sec,2.86,MBytes,24,Mbits/sec,2072
50.00-51.00,sec,2.86,MBytes,24,Mbits/sec,2072
51.00-52.00,sec,2.86,MBytes,24,Mbits/sec,2072
52.00-53.00,sec,2.86,MBytes,24,Mbits/sec,2069
53.00-54.00,sec,2.86,MBytes,24,Mbits/sec,2074
54.00-55.00,sec,2.86,MBytes,24,Mbits/sec,2072
55.00-56.00,sec,2.86,MBytes,24,Mbits/sec,2072
56.00-57.00,sec,2.86,MBytes,24,Mbits/sec,2072
57.00-58.00,sec,2.86,MBytes,24,Mbits/sec,2072
58.00-59.00,sec,2.86,MBytes,24,Mbits/sec,2071
59.00-60.00,sec,2.86,MBytes,24,Mbits/sec,2072
60.00-61.00,sec,2.86,MBytes,24,Mbits/sec,2072
61.00-62.00,sec,2.86,MBytes,24,Mbits/sec,2072
62.00-63.00,sec,2.86,MBytes,24,Mbits/sec,2072
63.00-64.00,sec,2.86,MBytes,24,Mbits/sec,2071
64.00-65.00,sec,2.86,MBytes,24,Mbits/sec,2072
65.00-66.00,sec,2.86,MBytes,24,Mbits/sec,2072
66.00-67.00,sec,2.86,MBytes,24,Mbits/sec,2072
67.00-68.00,sec,2.86,MBytes,24,Mbits/sec,2072
68.00-69.00,sec,2.86,MBytes,24,Mbits/sec,2072
69.00-70.00,sec,2.86,MBytes,24,Mbits/sec,2071
70.00-71.00,sec,2.86,MBytes,24,Mbits/sec,2072
71.00-72.00,sec,2.86,MBytes,24,Mbits/sec,2072
72.00-73.00,sec,2.86,MBytes,24,Mbits/sec,2072
73.00-74.00,sec,2.86,MBytes,24,Mbits/sec,2072
74.00-75.00,sec,2.86,MBytes,24,Mbits/sec,2071
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,215,MBytes,24,Mbits/sec,0.000 ms  0/155385 (0%)  sender
0.00-75.00,sec,215,MBytes,24,Mbits/sec,0.274 ms  0/155383 (0%)  receiver
,,,,,,
Done.,,,,,,
