Interval,,Transfer,,Bitrate,,Total Datagrams
0.00-1.00,sec,1.43,MBytes,12,Mbits/sec,1036
1.00-2.00,sec,1.43,MBytes,12,Mbits/sec,1035
2.00-3.00,sec,1.43,MBytes,12,Mbits/sec,1036
3.00-4.00,sec,1.43,MBytes,12,Mbits/sec,1036
4.00-5.00,sec,1.43,MBytes,12,Mbits/sec,1036
5.00-6.00,sec,1.43,MBytes,12,Mbits/sec,1036
6.00-7.00,sec,1.43,MBytes,12,Mbits/sec,1036
7.00-8.00,sec,1.43,MBytes,12,Mbits/sec,1036
8.00-9.00,sec,1.43,MBytes,12,Mbits/sec,1036
9.00-10.00,sec,1.43,MBytes,12,Mbits/sec,1036
10.00-11.00,sec,1.43,MBytes,12,Mbits/sec,1036
11.00-12.00,sec,1.43,MBytes,12,Mbits/sec,1036
12.00-13.00,sec,1.43,MBytes,12,Mbits/sec,1035
13.00-14.00,sec,1.43,MBytes,12,Mbits/sec,1036
14.00-15.00,sec,1.43,MBytes,12,Mbits/sec,1036
15.00-16.00,sec,1.43,MBytes,12,Mbits/sec,1036
16.00-17.00,sec,1.43,MBytes,12,Mbits/sec,1036
17.00-18.00,sec,1.43,MBytes,12,Mbits/sec,1036
18.00-19.00,sec,1.43,MBytes,12,Mbits/sec,1036
19.00-20.00,sec,1.43,MBytes,12,Mbits/sec,1036
20.00-21.00,sec,1.43,MBytes,12,Mbits/sec,1036
21.00-22.00,sec,1.43,MBytes,12,Mbits/sec,1036
22.00-23.00,sec,1.43,MBytes,12,Mbits/sec,1036
23.00-24.00,sec,1.43,MBytes,12,Mbits/sec,1035
24.00-25.00,sec,1.43,MBytes,12,Mbits/sec,1036
25.00-26.00,sec,1.43,MBytes,12,Mbits/sec,1036
26.00-27.00,sec,1.43,MBytes,12,Mbits/sec,1036
27.00-28.00,sec,1.43,MBytes,12,Mbits/sec,1036
28.00-29.00,sec,1.43,MBytes,12,Mbits/sec,1036
29.00-30.00,sec,1.43,MBytes,12,Mbits/sec,1036
30.00-31.00,sec,1.43,MBytes,12,Mbits/sec,1036
31.00-32.00,sec,1.43,MBytes,12,Mbits/sec,1036
32.00-33.00,sec,1.43,MBytes,12,Mbits/sec,1036
33.00-34.00,sec,1.43,MBytes,12,Mbits/sec,1036
34.00-35.00,sec,1.43,MBytes,12,Mbits/sec,1035
35.00-36.00,sec,1.43,MBytes,12,Mbits/sec,1036
36.00-37.00,sec,1.43,MBytes,12,Mbits/sec,1036
37.00-38.00,sec,1.43,MBytes,12,Mbits/sec,1036
38.00-39.00,sec,1.43,MBytes,12,Mbits/sec,1036
39.00-40.00,sec,1.43,MBytes,12,Mbits/sec,1036
40.00-41.00,sec,1.43,MBytes,12,Mbits/sec,1036
41.00-42.00,sec,1.43,MBytes,12,Mbits/sec,1036
42.00-43.00,sec,1.43,MBytes,12,Mbits/sec,1036
43.00-44.00,sec,1.43,MBytes,12,Mbits/sec,1036
44.00-45.00,sec,1.43,MBytes,12,Mbits/sec,1036
45.00-46.00,sec,1.43,MBytes,12,Mbits/sec,1036
46.00-47.00,sec,1.43,MBytes,12,Mbits/sec,1035
47.00-48.00,sec,1.43,MBytes,12,Mbits/sec,1036
48.00-49.00,sec,1.43,MBytes,12,Mbits/sec,1036
49.00-50.00,sec,1.43,MBytes,12,Mbits/sec,1036
50.00-51.00,sec,1.43,MBytes,12,Mbits/sec,1036
51.00-52.00,sec,1.43,MBytes,12,Mbits/sec,1036
52.00-53.00,sec,1.43,MBytes,12,Mbits/sec,1036
53.00-54.00,sec,1.43,MBytes,12,Mbits/sec,1036
54.00-55.00,sec,1.43,MBytes,12,Mbits/sec,1036
55.00-56.00,sec,1.43,MBytes,12,Mbits/sec,1036
56.00-57.00,sec,1.43,MBytes,12,Mbits/sec,1036
57.00-58.00,sec,1.43,MBytes,12,Mbits/sec,1035
58.00-59.00,sec,1.43,MBytes,12,Mbits/sec,1036
59.00-60.00,sec,1.43,MBytes,12,Mbits/sec,1036
60.00-61.00,sec,1.43,MBytes,12,Mbits/sec,1036
61.00-62.00,sec,1.43,MBytes,12,Mbits/sec,1036
62.00-63.00,sec,1.43,MBytes,12,Mbits/sec,1036
63.00-64.00,sec,1.43,MBytes,12,Mbits/sec,1036
64.00-65.00,sec,1.43,MBytes,12,Mbits/sec,1036
65.00-66.00,sec,1.43,MBytes,12,Mbits/sec,1036
66.00-67.00,sec,1.43,MBytes,12,Mbits/sec,1036
67.00-68.00,sec,1.43,MBytes,12,Mbits/sec,1036
68.00-69.00,sec,1.43,MBytes,12,Mbits/sec,1035
69.00-70.00,sec,1.43,MBytes,12,Mbits/sec,1036
70.00-71.00,sec,1.43,MBytes,12,Mbits/sec,1036
71.00-72.00,sec,1.43,MBytes,12,Mbits/sec,1036
72.00-73.00,sec,1.43,MBytes,12,Mbits/sec,1036
73.00-74.00,sec,1.43,MBytes,12,Mbits/sec,1036
74.00-75.00,sec,1.43,MBytes,12,Mbits/sec,1036
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,107,MBytes,12,Mbits/sec,0.000 ms  0/77693 (0%)  sender
0.00-75.00,sec,107,MBytes,12,Mbits/sec,0.261 ms  0/77693 (0%)  receiver
,,,,,,
Done.,,,,,,
