Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.53,MBytes,21.2,Mbits/sec,1831
1.00-2.00,sec,3.63,MBytes,30.4,Mbits/sec,2626
2.00-3.00,sec,3.53,MBytes,29.6,Mbits/sec,2553
3.00-4.00,sec,3.46,MBytes,29,Mbits/sec,2504
4.00-5.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
5.00-6.00,sec,3.27,MBytes,27.4,Mbits/sec,2366
6.00-7.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
7.00-8.00,sec,3.27,MBytes,27.4,Mbits/sec,2366
8.00-9.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
9.00-10.00,sec,3.11,MBytes,26.1,Mbits/sec,2249
10.00-11.00,sec,3.12,MBytes,26.2,Mbits/sec,2262
11.00-12.00,sec,2.85,MBytes,23.9,Mbits/sec,2067
12.00-13.00,sec,3.14,MBytes,26.4,Mbits/sec,2275
13.00-14.00,sec,2.98,MBytes,25,Mbits/sec,2158
14.00-15.00,sec,3.02,MBytes,25.3,Mbits/sec,2184
15.00-16.00,sec,3.18,MBytes,26.7,Mbits/sec,2301
16.00-17.00,sec,2.91,MBytes,24.4,Mbits/sec,2104
17.00-18.00,sec,2.93,MBytes,24.6,Mbits/sec,2121
18.00-19.00,sec,2.83,MBytes,23.7,Mbits/sec,2050
19.00-20.00,sec,2.84,MBytes,23.8,Mbits/sec,2059
20.00-21.00,sec,2.85,MBytes,23.9,Mbits/sec,2062
21.00-22.00,sec,2.94,MBytes,24.6,Mbits/sec,2126
22.00-23.00,sec,2.81,MBytes,23.6,Mbits/sec,2038
23.00-24.00,sec,2.85,MBytes,23.9,Mbits/sec,2067
24.00-25.00,sec,2.67,MBytes,22.4,Mbits/sec,1937
25.00-26.00,sec,2.84,MBytes,23.8,Mbits/sec,2054
26.00-27.00,sec,2.96,MBytes,24.8,Mbits/sec,2145
27.00-28.00,sec,3.16,MBytes,26.5,Mbits/sec,2288
