Interval,,Transfer,,Bitrate,,Total Datagrams
38.00-39.00,sec,3.54,MBytes,29.7,Mbits/sec,2563
39.00-40.00,sec,3.14,MBytes,26.4,Mbits/sec,2275
40.00-41.00,sec,3.03,MBytes,25.5,Mbits/sec,2197
41.00-42.00,sec,3.27,MBytes,27.4,Mbits/sec,2366
42.00-43.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
43.00-44.00,sec,3.37,MBytes,28.3,Mbits/sec,2444
44.00-45.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
45.00-46.00,sec,3.57,MBytes,30,Mbits/sec,2587
46.00-47.00,sec,3.56,MBytes,29.8,Mbits/sec,2575
47.00-48.00,sec,3.32,MBytes,27.8,Mbits/sec,2404
48.00-49.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
49.00-50.00,sec,3.59,MBytes,30.1,Mbits/sec,2600
50.00-51.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
51.00-52.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
52.00-53.00,sec,3.03,MBytes,25.4,Mbits/sec,2197
53.00-54.00,sec,3.46,MBytes,29.1,Mbits/sec,2509
54.00-55.00,sec,3.27,MBytes,27.4,Mbits/sec,2366
55.00-56.00,sec,3.61,MBytes,30.3,Mbits/sec,2613
56.00-57.00,sec,2.89,MBytes,24.2,Mbits/sec,2093
57.00-58.00,sec,3.42,MBytes,28.7,Mbits/sec,2475
58.00-59.00,sec,2.92,MBytes,24.5,Mbits/sec,2114
59.00-60.00,sec,3.11,MBytes,26.1,Mbits/sec,2249
60.00-61.00,sec,2.98,MBytes,25,Mbits/sec,2158
61.00-62.00,sec,2.94,MBytes,24.7,Mbits/sec,2132
62.00-63.00,sec,3.26,MBytes,27.4,Mbits/sec,2363
63.00-64.00,sec,3.49,MBytes,29.2,Mbits/sec,2524
64.00-65.00,sec,3.16,MBytes,26.5,Mbits/sec,2289
65.00-66.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
66.00-67.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
67.00-68.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
68.00-69.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
69.00-70.00,sec,3.35,MBytes,28.1,Mbits/sec,2426
70.00-71.00,sec,3.38,MBytes,28.4,Mbits/sec,2449
71.00-72.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
72.00-73.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
73.00-74.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
74.00-75.00,sec,3.59,MBytes,30.1,Mbits/sec,2600
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Transfer,,Bitrate,,Jitter    Lost/Total Datagrams
0.00-75.00,sec,243,MBytes,27.2,Mbits/sec,0.000 ms  0/176054 (0%)  sender
0.00-75.04,sec,243,MBytes,27.2,Mbits/sec,0.468 ms  0/176052 (0%)  receiver
,,,,,,
Done.,,,,,,
