Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,3.2,MBytes,26.8,Mbits/sec,2316
1.00-2.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
2.00-3.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
3.00-4.00,sec,3.32,MBytes,27.9,Mbits/sec,2405
4.00-5.00,sec,3.33,MBytes,27.9,Mbits/sec,2410
5.00-6.00,sec,3.51,MBytes,29.5,Mbits/sec,2543
6.00-7.00,sec,3.45,MBytes,28.9,Mbits/sec,2496
7.00-8.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
8.00-9.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
9.00-10.00,sec,3.23,MBytes,27.1,Mbits/sec,2340
10.00-11.00,sec,2.76,MBytes,23.2,Mbits/sec,2002
11.00-12.00,sec,3.55,MBytes,29.8,Mbits/sec,2572
12.00-13.00,sec,2.79,MBytes,23.4,Mbits/sec,2017
13.00-14.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
14.00-15.00,sec,3.57,MBytes,30,Mbits/sec,2587
15.00-16.00,sec,3.29,MBytes,27.6,Mbits/sec,2379
16.00-17.00,sec,3.54,MBytes,29.7,Mbits/sec,2561
17.00-18.00,sec,3.64,MBytes,30.6,Mbits/sec,2639
18.00-19.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
19.00-20.00,sec,3.48,MBytes,29.2,Mbits/sec,2522
20.00-21.00,sec,3.75,MBytes,31.5,Mbits/sec,2717
21.00-22.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
22.00-23.00,sec,3.57,MBytes,30,Mbits/sec,2587
23.00-24.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
24.00-25.00,sec,3.41,MBytes,28.6,Mbits/sec,2467
25.00-26.00,sec,3.33,MBytes,27.9,Mbits/sec,2409
26.00-27.00,sec,3.5,MBytes,29.4,Mbits/sec,2534
27.00-28.00,sec,3.43,MBytes,28.8,Mbits/sec,2484
28.00-29.00,sec,3.36,MBytes,28.1,Mbits/sec,2430
29.00-30.00,sec,3.43,MBytes,28.8,Mbits/sec,2486
30.00-31.00,sec,3.51,MBytes,29.5,Mbits/sec,2545
31.00-32.00,sec,3.55,MBytes,29.8,Mbits/sec,2574
32.00-33.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
33.00-34.00,sec,3.41,MBytes,28.6,Mbits/sec,2470
34.00-35.00,sec,3.21,MBytes,27,Mbits/sec,2327
35.00-36.00,sec,3.25,MBytes,27.3,Mbits/sec,2353
36.00-37.00,sec,3.63,MBytes,30.4,Mbits/sec,2626
37.00-38.00,sec,3.3,MBytes,27.7,Mbits/sec,2392
38.00-39.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
39.00-40.00,sec,3.5,MBytes,29.4,Mbits/sec,2535
40.00-41.00,sec,3.43,MBytes,28.8,Mbits/sec,2483
41.00-42.00,sec,3.68,MBytes,30.9,Mbits/sec,2666
42.00-43.00,sec,3.73,MBytes,31.3,Mbits/sec,2704
43.00-44.00,sec,3.39,MBytes,28.4,Mbits/sec,2456
44.00-45.00,sec,3.52,MBytes,29.5,Mbits/sec,2548
45.00-46.00,sec,3.27,MBytes,27.4,Mbits/sec,2366
46.00-47.00,sec,2.75,MBytes,23,Mbits/sec,1989
47.00-48.00,sec,2.91,MBytes,24.4,Mbits/sec,2106
48.00-49.00,sec,3.12,MBytes,26.2,Mbits/sec,2262
49.00-50.00,sec,3.39,MBytes,28.5,Mbits/sec,2457
50.00-51.00,sec,3.11,MBytes,26.1,Mbits/sec,2249
51.00-52.00,sec,3.07,MBytes,25.8,Mbits/sec,2223
52.00-53.00,sec,3.2,MBytes,26.8,Mbits/sec,2314
