edge_name,unix_timestamp,percentage_cpu_utilisation
edge2,1631643331.86924,23.5
edge2,1631643334.87612,22
edge2,1631643337.89189,23.5
edge2,1631643340.90114,23.1
edge2,1631643343.91936,24.8
edge2,1631643346.93275,24.1
edge2,1631643349.96825,25.1
edge2,1631643352.98836,23.2
edge2,1631643355.99918,23.7
edge2,1631643359.01157,23.6
edge2,1631643362.02074,25.7
edge2,1631643365.03201,25.2
edge2,1631643368.06236,25.2
edge2,1631643371.0711,24.3
edge2,1631643374.07938,24.9
edge2,1631643377.13507,22.8
edge2,1631643380.18923,26.6
edge2,1631643383.19952,24
edge2,1631643386.20623,26.2
edge2,1631643389.21355,25.3
