edge_name,unix_timestamp,percentage_cpu_utilisation
edge2,1631641728.06098,7.3
edge2,1631641731.07619,9.2
edge2,1631641734.09785,9.4
edge2,1631641737.1048,8.9
edge2,1631641740.11647,9.6
edge2,1631641743.12425,8.9
edge2,1631641746.15202,9.8
edge2,1631641749.16828,7.5
edge2,1631641752.17556,9.2
edge2,1631641755.1825,9.8
edge2,1631641758.19348,10.1
edge2,1631641761.22586,10.5
edge2,1631641764.23281,10.3
edge2,1631641767.25293,10.5
edge2,1631641770.26381,10.6
edge2,1631641773.27128,9.8
edge2,1631641776.27873,8.7
edge2,1631641779.31539,9.8
edge2,1631641782.33274,9.6
edge2,1631641785.36966,9.2
