edge_name,unix_timestamp,percentage_cpu_utilisation
edge2,1631643497.8849,24
edge2,1631643500.89388,26.1
edge2,1631643503.90341,26.6
edge2,1631643506.93617,26.4
edge2,1631643509.95749,26.3
edge2,1631643512.96403,25.3
edge2,1631643515.9716,25.8
edge2,1631643518.9902,24.3
edge2,1631643522.0364,24.8
edge2,1631643525.0451,25.8
edge2,1631643528.0544,27.9
edge2,1631643531.09063,25.1
edge2,1631643534.1029,25.5
edge2,1631643537.11967,25.8
edge2,1631643540.12937,26.3
edge2,1631643543.19285,24.5
edge2,1631643546.2206,25.7
edge2,1631643549.23403,26.6
edge2,1631643552.29934,26
edge2,1631643555.32722,25.8
