-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 43216
[  5] local 192.168.2.5 port 5201 connected to 192.168.2.4 port 60192
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.39 MBytes  11.6 Mbits/sec  2.142 ms  0/1005 (0%)  
[  5]   1.00-2.00   sec  1.11 MBytes  9.28 Mbits/sec  2.708 ms  0/801 (0%)  
[  5]   2.00-3.00   sec  1.03 MBytes  8.64 Mbits/sec  2.783 ms  0/746 (0%)  
[  5]   3.00-4.00   sec  1.05 MBytes  8.82 Mbits/sec  2.003 ms  0/761 (0%)  
[  5]   4.00-5.00   sec  1.43 MBytes  12.0 Mbits/sec  2.535 ms  0/1033 (0%)  
[  5]   5.00-6.00   sec  1.08 MBytes  9.08 Mbits/sec  3.068 ms  0/784 (0%)  
[  5]   6.00-7.00   sec  1.11 MBytes  9.29 Mbits/sec  1.829 ms  0/802 (0%)  
[  5]   7.00-8.00   sec  1.08 MBytes  9.04 Mbits/sec  1.858 ms  0/780 (0%)  
[  5]   8.00-9.00   sec  1011 KBytes  8.28 Mbits/sec  2.099 ms  0/715 (0%)  
[  5]   9.00-10.00  sec   994 KBytes  8.14 Mbits/sec  2.561 ms  0/703 (0%)  
[  5]  10.00-11.00  sec  1.02 MBytes  8.53 Mbits/sec  2.383 ms  0/736 (0%)  
[  5]  11.00-12.00  sec  1.06 MBytes  8.91 Mbits/sec  2.684 ms  0/769 (0%)  
[  5]  12.00-13.00  sec  1.19 MBytes  9.96 Mbits/sec  1.113 ms  0/860 (0%)  
[  5]  13.00-14.00  sec  1.15 MBytes  9.64 Mbits/sec  1.752 ms  0/832 (0%)  
[  5]  14.00-15.00  sec  1.29 MBytes  10.8 Mbits/sec  1.271 ms  0/936 (0%)  
[  5]  15.00-16.00  sec  1.30 MBytes  10.9 Mbits/sec  1.454 ms  0/944 (0%)  
[  5]  16.00-17.00  sec  1.10 MBytes  9.22 Mbits/sec  2.025 ms  0/796 (0%)  
[  5]  17.00-18.00  sec  1.05 MBytes  8.84 Mbits/sec  2.809 ms  0/763 (0%)  
[  5]  18.00-19.00  sec  1.10 MBytes  9.27 Mbits/sec  1.704 ms  0/800 (0%)  
[  5]  19.00-20.00  sec  1.04 MBytes  8.76 Mbits/sec  1.919 ms  0/756 (0%)  
[  5]  20.00-21.00  sec  1.13 MBytes  9.44 Mbits/sec  2.206 ms  0/815 (0%)  
[  5]  21.00-22.00  sec  1.06 MBytes  8.87 Mbits/sec  2.035 ms  0/766 (0%)  
[  5]  22.00-23.00  sec  1.05 MBytes  8.77 Mbits/sec  1.859 ms  0/757 (0%)  
[  5]  23.00-24.00  sec  1.01 MBytes  8.46 Mbits/sec  2.198 ms  0/730 (0%)  
[  5]  24.00-25.00  sec  1.20 MBytes  10.1 Mbits/sec  2.329 ms  0/871 (0%)  
[  5]  25.00-26.00  sec  1.02 MBytes  8.56 Mbits/sec  1.942 ms  0/739 (0%)  
[  5]  26.00-27.00  sec  1011 KBytes  8.28 Mbits/sec  1.892 ms  0/715 (0%)  
[  5]  27.00-28.00  sec  1.08 MBytes  9.05 Mbits/sec  1.906 ms  0/781 (0%)  
[  5]  28.00-29.00  sec  1.06 MBytes  8.93 Mbits/sec  2.669 ms  0/771 (0%)  
[  5]  29.00-30.00  sec  1.04 MBytes  8.69 Mbits/sec  1.767 ms  0/750 (0%)  
[  5]  30.00-31.00  sec  1.17 MBytes  9.80 Mbits/sec  1.980 ms  0/846 (0%)  
[  5]  31.00-32.00  sec  1004 KBytes  8.22 Mbits/sec  1.831 ms  0/710 (0%)  
[  5]  32.00-33.00  sec  1.17 MBytes  9.80 Mbits/sec  1.109 ms  0/846 (0%)  
[  5]  33.00-34.00  sec  1.08 MBytes  9.09 Mbits/sec  2.134 ms  0/785 (0%)  
[  5]  34.00-35.00  sec  1.23 MBytes  10.3 Mbits/sec  1.393 ms  0/893 (0%)  
[  5]  35.00-36.00  sec  1.10 MBytes  9.22 Mbits/sec  2.310 ms  0/796 (0%)  
[  5]  36.00-37.00  sec  1.19 MBytes  9.96 Mbits/sec  1.605 ms  0/860 (0%)  
[  5]  37.00-38.00  sec  1.27 MBytes  10.7 Mbits/sec  1.804 ms  0/920 (0%)  
[  5]  38.00-39.00  sec  1.23 MBytes  10.3 Mbits/sec  1.973 ms  0/888 (0%)  
[  5]  39.00-40.00  sec  1.25 MBytes  10.5 Mbits/sec  2.822 ms  0/907 (0%)  
[  5]  40.00-41.00  sec  1024 KBytes  8.39 Mbits/sec  2.097 ms  0/724 (0%)  
[  5]  41.00-42.00  sec  1.19 MBytes  9.99 Mbits/sec  2.478 ms  0/862 (0%)  
[  5]  42.00-43.00  sec  1.15 MBytes  9.61 Mbits/sec  1.693 ms  0/830 (0%)  
[  5]  43.00-44.00  sec  1.10 MBytes  9.19 Mbits/sec  1.719 ms  0/793 (0%)  
[  5]  44.00-45.00  sec  1.05 MBytes  8.77 Mbits/sec  2.816 ms  0/757 (0%)  
[  5]  45.00-46.00  sec  1.03 MBytes  8.62 Mbits/sec  2.984 ms  0/744 (0%)  
