-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 42410
[  5] local 192.168.2.5 port 5201 connected to 192.168.2.4 port 47880
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec   981 KBytes  8.04 Mbits/sec  1.637 ms  0/694 (0%)  
[  5]   1.00-2.00   sec  1.00 MBytes  8.42 Mbits/sec  1.616 ms  0/727 (0%)  
[  5]   2.00-3.00   sec  1.04 MBytes  8.70 Mbits/sec  2.523 ms  0/751 (0%)  
[  5]   3.00-4.00   sec  1.31 MBytes  11.0 Mbits/sec  1.805 ms  0/951 (0%)  
[  5]   4.00-5.00   sec  1.03 MBytes  8.66 Mbits/sec  2.800 ms  0/748 (0%)  
[  5]   5.00-6.00   sec  1.05 MBytes  8.84 Mbits/sec  1.849 ms  0/763 (0%)  
[  5]   6.00-7.00   sec  1.13 MBytes  9.46 Mbits/sec  1.875 ms  0/817 (0%)  
[  5]   7.00-8.00   sec  1.07 MBytes  8.98 Mbits/sec  2.237 ms  0/775 (0%)  
[  5]   8.00-9.00   sec  1.07 MBytes  8.98 Mbits/sec  1.500 ms  0/775 (0%)  
[  5]   9.00-10.00  sec   915 KBytes  7.49 Mbits/sec  1.930 ms  0/647 (0%)  
[  5]  10.00-11.00  sec  1.05 MBytes  8.82 Mbits/sec  2.668 ms  0/761 (0%)  
[  5]  11.00-12.00  sec  1.07 MBytes  8.94 Mbits/sec  2.297 ms  0/772 (0%)  
[  5]  12.00-13.00  sec  1.35 MBytes  11.3 Mbits/sec  2.015 ms  0/977 (0%)  
[  5]  13.00-14.00  sec  1.24 MBytes  10.4 Mbits/sec  2.947 ms  0/900 (0%)  
[  5]  14.00-15.00  sec  1008 KBytes  8.26 Mbits/sec  2.723 ms  0/713 (0%)  
[  5]  15.00-16.00  sec  1.05 MBytes  8.79 Mbits/sec  1.574 ms  0/759 (0%)  
[  5]  16.00-17.00  sec  1.06 MBytes  8.90 Mbits/sec  1.511 ms  0/768 (0%)  
