edge_name,unix_timestamp,percentage_cpu_utilisation
edge4,1631656107.5678778,4.2
edge4,1631656110.6049342,5.4
edge4,1631656113.6241183,6.5
edge4,1631656116.6462948,5.2
edge4,1631656119.7234724,5.7
edge4,1631656122.7336779,5.9
edge4,1631656125.7471578,5.9
edge4,1631656128.7753978,4.7
edge4,1631656131.7932723,6.6
edge4,1631656134.8205848,4.5
edge4,1631656137.8520937,5.7
edge4,1631656140.8696542,6.0
edge4,1631656143.9096587,6.6
edge4,1631656146.9461758,3.9
edge4,1631656149.9723907,6.7
edge4,1631656152.990397,4.4
edge4,1631656156.0074286,6.4
edge4,1631656159.0182948,4.4
edge4,1631656162.0355766,3.2
edge4,1631656165.0656395,3.6
edge4,1631656168.0735807,4.9
edge4,1631656171.1071515,4.2
edge4,1631656174.1256917,4.1
edge4,1631656177.154509,5.6
edge4,1631656180.1632826,3.4
edge4,1631656183.1727874,0.2
edge4,1631656186.17974,0.5
edge4,1631656189.1873264,0.5
