edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631651008.20483,5.1
edge1,1631651011.28585,5.3
edge1,1631651014.33451,7
edge1,1631651017.34422,5.6
edge1,1631651020.37775,5.9
edge1,1631651023.38741,5.6
edge1,1631651026.42851,5.3
edge1,1631651029.4385,5.9
edge1,1631651032.4474,4.3
edge1,1631651035.45853,5.6
edge1,1631651038.48328,4.3
edge1,1631651041.49366,3.1
edge1,1631651044.59333,4.8
edge1,1631651047.6728,3.4
edge1,1631651050.67837,7.8
edge1,1631651053.68957,7.2
edge1,1631651056.72807,5.3
edge1,1631651059.79661,3.1
edge1,1631651062.80627,6.6
edge1,1631651065.81615,4.8
