edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631649607.14675,0.5
edge1,1631649610.15869,1.6
edge1,1631649613.16792,4.2
edge1,1631649616.17679,0.5
edge1,1631649619.28024,0.8
edge1,1631649622.2888,0.8
edge1,1631649625.30277,2.7
edge1,1631649628.31061,1.1
edge1,1631649631.32118,1.1
edge1,1631649634.33159,1.1
edge1,1631649637.34172,0.8
edge1,1631649640.3547,1.6
edge1,1631649643.42264,0.3
edge1,1631649646.43063,3.2
edge1,1631649649.44063,0
edge1,1631649652.45172,0.8
edge1,1631649655.49073,2.1
edge1,1631649658.49748,1.6
edge1,1631649661.51543,2.1
edge1,1631649664.52235,0.3
