edge_name,unix_timestamp,percentage_cpu_utilisation
edge1,1631650044.64049,0.3
edge1,1631650047.65656,0.8
edge1,1631650050.67669,1.1
edge1,1631650053.68345,2.2
edge1,1631650056.69145,0
edge1,1631650059.76274,2.6
edge1,1631650062.78462,5.3
edge1,1631650065.7995,0.5
edge1,1631650068.80657,0.8
edge1,1631650071.84879,1.1
edge1,1631650074.86934,2.2
edge1,1631650077.87774,0.8
edge1,1631650080.88439,1.1
edge1,1631650083.94546,2.4
edge1,1631650086.9642,0.3
edge1,1631650089.97701,0.5
edge1,1631650092.99966,0.5
edge1,1631650096.00705,3
edge1,1631650099.03184,3.6
edge1,1631650102.04158,0.5
