edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632156837.4802313, 27.2
edge1, 1632156841.6748955, 26.6
edge1, 1632156844.6936352, 26.1
edge1, 1632156847.7061388, 26.5
edge1, 1632156850.7187345, 25.9
edge1, 1632156853.7797465, 26.8
edge1, 1632156856.7925806, 28.8
edge1, 1632156867.0256565, 27.3
edge1, 1632156871.1129906, 26.9
edge1, 1632156874.1255782, 23.8
edge1, 1632156877.138836, 26.9
edge1, 1632156880.1507814, 26.2
edge1, 1632156883.1613412, 25.3
edge1, 1632156886.1804564, 26.6
edge1, 1632156889.1920624, 30.3
edge1, 1632156956.7851703, 1.0
edge1, 1632156959.7946427, 0.8
