edge_name,unix_timestamp,percentage_cpu_utilisation
edge4,1631656750.144711,4.1
edge4,1631656753.155628,4.6
edge4,1631656756.1701133,4.7
edge4,1631656759.1961503,6.4
edge4,1631656762.2098594,6.7
edge4,1631656765.3835645,3.9
edge4,1631656768.412844,4.4
edge4,1631656771.4253485,3.4
edge4,1631656774.4428113,5.7
edge4,1631656777.4488404,6.1
edge4,1631656780.465419,5.2
edge4,1631656783.5349236,5.9
edge4,1631656786.5722334,3.9
edge4,1631656789.584926,3.1
edge4,1631656792.606429,4.9
edge4,1631656795.6175215,6.6
edge4,1631656798.632816,7.1
edge4,1631656801.6443436,5.1
edge4,1631656804.814059,5.4
edge4,1631656807.8276153,3.1
edge4,1631656810.850205,4.9
edge4,1631656813.8676255,5.9
edge4,1631656816.8814816,2.6
edge4,1631656819.898529,4.9
edge4,1631656822.9174068,3.6
edge4,1631656825.9242036,1.2
edge4,1631656828.931071,1.0
edge4,1631656831.9380379,0.8
