edge_name,unix_timestamp,percentage_cpu_utilisation
edge4, 1631497056.9994977, 27.2
edge4, 1631497060.0122185, 30.6
edge4, 1631497063.024508, 29.1
edge4, 1631497066.0428731, 26.6
edge4, 1631497069.0555224, 27.7
edge4, 1631497072.0666735, 31.1
edge4, 1631497075.079468, 26.8
edge4, 1631497078.09051, 26.4
edge4, 1631497081.101406, 28.8
edge4, 1631497084.1145756, 29.7
edge4, 1631497087.1306973, 26.2
edge4, 1631497090.1419816, 26.6
edge4, 1631497093.1521397, 28.9
edge4, 1631497096.1633437, 29.4
edge4, 1631497099.1739545, 26.8
edge4, 1631497102.1893592, 27.5
edge4, 1631497105.2033463, 30.4
edge4, 1631497108.2179925, 28.0
edge4, 1631497111.232259, 26.8
edge4, 1631497114.2455802, 27.8
edge4, 1631497117.2601457, 31.2
edge4, 1631497120.2740426, 26.4
edge4, 1631497123.2865498, 26.9
edge4, 1631497126.3083549, 26.8
edge4, 1631497129.3254428, 30.6
edge4, 1631497132.3360894, 0.3
edge4, 1631497135.360683, 1.0
