edge_name,unix_timestamp,percentage_cpu_utilisation
edge5,1631686318.9592867,6.3
edge5,1631686321.9875195,26.1
edge5,1631686324.9942915,25.6
edge5,1631686328.006817,24.9
edge5,1631686331.0163057,25.5
edge5,1631686334.0257778,25.0
edge5,1631686337.0333126,27.2
edge5,1631686340.0491486,26.6
edge5,1631686343.056627,26.6
edge5,1631686346.0632405,26.0
edge5,1631686349.685532,26.3
edge5,1631686352.7114127,26.7
edge5,1631686355.7315023,27.0
edge5,1631686358.7437172,27.8
edge5,1631686361.7812238,26.3
edge5,1631686364.788902,26.7
edge5,1631686367.8169234,25.7
edge5,1631686370.829166,24.8
edge5,1631686373.8379447,23.3
edge5,1631686376.8491821,22.3
edge5,1631686379.857338,22.7
edge5,1631686382.8658078,21.5
edge5,1631686385.8793266,22.0
edge5,1631686388.891724,20.2
edge5,1631686391.898499,18.6
edge5,1631686394.9036827,1.2
edge5,1631686397.9115186,1.2
edge5,1631686400.9256048,0.8
