-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 35014
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 46882
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.27 MBytes  10.6 Mbits/sec  1.940 ms  0/917 (0%)  
[  5]   1.00-2.00   sec  1.34 MBytes  11.2 Mbits/sec  1.279 ms  0/969 (0%)  
[  5]   2.00-3.00   sec  1.31 MBytes  11.0 Mbits/sec  1.487 ms  0/950 (0%)  
[  5]   3.00-4.00   sec  1.32 MBytes  11.1 Mbits/sec  2.001 ms  0/955 (0%)  
[  5]   4.00-5.00   sec  1.34 MBytes  11.2 Mbits/sec  1.748 ms  0/967 (0%)  
[  5]   5.00-6.00   sec  1.30 MBytes  10.9 Mbits/sec  1.661 ms  0/938 (0%)  
[  5]   6.00-7.00   sec  1.29 MBytes  10.9 Mbits/sec  1.821 ms  0/937 (0%)  
[  5]   7.00-8.00   sec  1.33 MBytes  11.1 Mbits/sec  1.622 ms  0/961 (0%)  
[  5]   8.00-9.00   sec  1.29 MBytes  10.8 Mbits/sec  1.892 ms  0/935 (0%)  
[  5]   9.00-10.00  sec  1.31 MBytes  11.0 Mbits/sec  1.664 ms  0/949 (0%)  
[  5]  10.00-11.00  sec  1.35 MBytes  11.3 Mbits/sec  1.600 ms  0/975 (0%)  
[  5]  11.00-12.00  sec  1.30 MBytes  10.9 Mbits/sec  1.801 ms  0/945 (0%)  
[  5]  12.00-13.00  sec  1.28 MBytes  10.7 Mbits/sec  1.783 ms  0/927 (0%)  
[  5]  13.00-14.00  sec  1.29 MBytes  10.8 Mbits/sec  1.421 ms  0/935 (0%)  
[  5]  14.00-15.00  sec  1.31 MBytes  11.0 Mbits/sec  1.432 ms  0/949 (0%)  
[  5]  15.00-16.00  sec  1.29 MBytes  10.9 Mbits/sec  1.654 ms  0/937 (0%)  
[  5]  16.00-17.00  sec  1.25 MBytes  10.5 Mbits/sec  1.694 ms  0/903 (0%)  
[  5]  17.00-18.00  sec  1.30 MBytes  10.9 Mbits/sec  1.593 ms  0/943 (0%)  
[  5]  18.00-19.00  sec  1.31 MBytes  11.0 Mbits/sec  1.430 ms  0/949 (0%)  
[  5]  19.00-20.00  sec  1.29 MBytes  10.8 Mbits/sec  1.705 ms  0/932 (0%)  
[  5]  20.00-21.00  sec  1.32 MBytes  11.0 Mbits/sec  1.387 ms  0/953 (0%)  
[  5]  21.00-22.00  sec  1.31 MBytes  11.0 Mbits/sec  1.374 ms  0/949 (0%)  
[  5]  22.00-23.00  sec  1.33 MBytes  11.1 Mbits/sec  1.527 ms  0/960 (0%)  
[  5]  23.00-24.00  sec  1.32 MBytes  11.1 Mbits/sec  1.894 ms  0/956 (0%)  
[  5]  24.00-25.00  sec  1.31 MBytes  11.0 Mbits/sec  2.140 ms  0/951 (0%)  
[  5]  25.00-26.00  sec  1.27 MBytes  10.6 Mbits/sec  1.666 ms  0/918 (0%)  
[  5]  26.00-27.00  sec  1.31 MBytes  11.0 Mbits/sec  1.690 ms  0/946 (0%)  
[  5]  27.00-28.00  sec  1.31 MBytes  11.0 Mbits/sec  1.572 ms  0/950 (0%)  
[  5]  28.00-29.00  sec  1.29 MBytes  10.8 Mbits/sec  1.449 ms  0/936 (0%)  
[  5]  29.00-30.00  sec  1.33 MBytes  11.2 Mbits/sec  1.680 ms  0/964 (0%)  
[  5]  30.00-31.00  sec  1.31 MBytes  11.0 Mbits/sec  1.688 ms  0/949 (0%)  
[  5]  31.00-32.00  sec  1.36 MBytes  11.4 Mbits/sec  1.491 ms  0/983 (0%)  
[  5]  32.00-33.00  sec  1.31 MBytes  11.0 Mbits/sec  1.604 ms  0/950 (0%)  
[  5]  33.00-34.00  sec  1.28 MBytes  10.8 Mbits/sec  2.348 ms  0/930 (0%)  
[  5]  34.00-35.00  sec  1.29 MBytes  10.8 Mbits/sec  1.789 ms  0/931 (0%)  
[  5]  35.00-36.00  sec  1.31 MBytes  11.0 Mbits/sec  1.610 ms  0/948 (0%)  
[  5]  36.00-37.00  sec  1.27 MBytes  10.7 Mbits/sec  1.673 ms  0/921 (0%)  
[  5]  37.00-38.00  sec  1.32 MBytes  11.1 Mbits/sec  2.136 ms  0/957 (0%)  
[  5]  38.00-39.00  sec  1.30 MBytes  10.9 Mbits/sec  1.613 ms  0/941 (0%)  
[  5]  39.00-40.00  sec  1.31 MBytes  11.0 Mbits/sec  1.705 ms  0/951 (0%)  
[  5]  40.00-41.00  sec  1.35 MBytes  11.3 Mbits/sec  1.755 ms  0/974 (0%)  
[  5]  41.00-42.00  sec  1.26 MBytes  10.6 Mbits/sec  1.625 ms  0/912 (0%)  
[  5]  42.00-43.00  sec  1.27 MBytes  10.6 Mbits/sec  1.895 ms  0/918 (0%)  
[  5]  43.00-44.00  sec  1.28 MBytes  10.7 Mbits/sec  1.678 ms  0/928 (0%)  
[  5]  44.00-45.00  sec  1.32 MBytes  11.0 Mbits/sec  2.434 ms  0/953 (0%)  
[  5]  45.00-46.00  sec  1.28 MBytes  10.8 Mbits/sec  1.543 ms  0/929 (0%)  
[  5]  46.00-47.00  sec  1.30 MBytes  10.9 Mbits/sec  2.232 ms  0/942 (0%)  
[  5]  47.00-48.00  sec  1.32 MBytes  11.1 Mbits/sec  1.613 ms  0/959 (0%)  
[  5]  48.00-49.00  sec  1.29 MBytes  10.8 Mbits/sec  1.751 ms  0/933 (0%)  
[  5]  49.00-50.00  sec  1.30 MBytes  10.9 Mbits/sec  1.700 ms  0/940 (0%)  
[  5]  50.00-51.00  sec  1.29 MBytes  10.8 Mbits/sec  1.885 ms  0/935 (0%)  
[  5]  51.00-52.00  sec  1.27 MBytes  10.7 Mbits/sec  1.776 ms  0/923 (0%)  
[  5]  52.00-53.00  sec  1.32 MBytes  11.0 Mbits/sec  2.211 ms  0/953 (0%)  
[  5]  53.00-54.00  sec  1.24 MBytes  10.4 Mbits/sec  1.821 ms  0/899 (0%)  
[  5]  54.00-55.00  sec  1.32 MBytes  11.1 Mbits/sec  1.457 ms  0/957 (0%)  
[  5]  55.00-56.00  sec  1.30 MBytes  10.9 Mbits/sec  2.478 ms  0/940 (0%)  
[  5]  56.00-57.00  sec  1.26 MBytes  10.6 Mbits/sec  1.736 ms  0/911 (0%)  
[  5]  57.00-58.00  sec  1.32 MBytes  11.0 Mbits/sec  1.615 ms  0/953 (0%)  
[  5]  58.00-59.00  sec  1.31 MBytes  11.0 Mbits/sec  1.670 ms  0/947 (0%)  
[  5]  59.00-60.00  sec  1.28 MBytes  10.7 Mbits/sec  1.564 ms  0/926 (0%)  
[  5]  60.00-61.00  sec  1.26 MBytes  10.6 Mbits/sec  1.640 ms  0/912 (0%)  
[  5]  61.00-62.00  sec  1.27 MBytes  10.7 Mbits/sec  1.395 ms  0/923 (0%)  
[  5]  62.00-63.00  sec  1.32 MBytes  11.1 Mbits/sec  1.772 ms  0/958 (0%)  
[  5]  63.00-64.00  sec  1.33 MBytes  11.2 Mbits/sec  1.747 ms  0/966 (0%)  
[  5]  64.00-65.00  sec  1.29 MBytes  10.8 Mbits/sec  1.323 ms  0/936 (0%)  
[  5]  65.00-66.00  sec  1.31 MBytes  11.0 Mbits/sec  1.348 ms  0/948 (0%)  
[  5]  66.00-67.00  sec  1.29 MBytes  10.9 Mbits/sec  1.825 ms  0/937 (0%)  
[  5]  66.00-67.00  sec  1.29 MBytes  10.9 Mbits/sec  1.825 ms  0/937 (0%)  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-67.00  sec  87.6 MBytes  11.0 Mbits/sec  1.442 ms  0/63456 (0%)  receiver
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
