-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.2.4, port 36028
[  5] local 192.168.2.1 port 5201 connected to 192.168.2.4 port 39195
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  1.03 MBytes  8.66 Mbits/sec  1.838 ms  0/748 (0%)  
[  5]   1.00-2.00   sec  1.06 MBytes  8.91 Mbits/sec  1.883 ms  0/769 (0%)  
[  5]   2.00-3.00   sec  1.21 MBytes  10.2 Mbits/sec  2.351 ms  0/878 (0%)  
[  5]   3.00-4.00   sec  1.08 MBytes  9.09 Mbits/sec  1.493 ms  0/785 (0%)  
[  5]   4.00-5.00   sec   905 KBytes  7.41 Mbits/sec  3.032 ms  0/640 (0%)  
[  5]   5.00-6.00   sec  1.03 MBytes  8.62 Mbits/sec  2.218 ms  0/744 (0%)  
[  5]   6.00-7.00   sec  1.05 MBytes  8.82 Mbits/sec  1.518 ms  0/761 (0%)  
[  5]   7.00-8.00   sec  1.10 MBytes  9.19 Mbits/sec  2.263 ms  0/793 (0%)  
[  5]   8.00-9.00   sec  1.08 MBytes  9.04 Mbits/sec  1.623 ms  0/780 (0%)  
[  5]   9.00-10.00  sec  1.02 MBytes  8.58 Mbits/sec  2.034 ms  0/741 (0%)  
[  5]  10.00-11.00  sec  1014 KBytes  8.31 Mbits/sec  2.467 ms  0/717 (0%)  
[  5]  11.00-12.00  sec   935 KBytes  7.66 Mbits/sec  1.790 ms  0/661 (0%)  
[  5]  12.00-13.00  sec  1.10 MBytes  9.23 Mbits/sec  2.598 ms  0/797 (0%)  
[  5]  13.00-14.00  sec   974 KBytes  7.98 Mbits/sec  2.482 ms  0/689 (0%)  
[  5]  14.00-15.00  sec  1.04 MBytes  8.75 Mbits/sec  2.947 ms  0/755 (0%)  
[  5]  15.00-16.00  sec  1.05 MBytes  8.83 Mbits/sec  2.128 ms  0/762 (0%)  
[  5]  16.00-17.00  sec  1.03 MBytes  8.64 Mbits/sec  3.004 ms  0/746 (0%)  
