[,ID],Interval,,Tran,sfer,Bitr,ate,Jitte,r,Lost/,Total Datagrams
[,5],64.00-65.00,sec,626,KBytes,5.13,Mbits/sec,2.951,ms,0/443,0%
[,5],65.00-66.00,sec,676,KBytes,5.54,Mbits/sec,2.681,ms,0/478,0%
[,5],66.00-67.00,sec,1001,KBytes,8.2,Mbits/sec,1.564,ms,0/708,0%
[,5],67.00-68.00,sec,1.06,MBytes,8.87,Mbits/sec,2.139,ms,0/766,0%
[,5],68.00-69.00,sec,1021,KBytes,8.36,Mbits/sec,2.943,ms,0/722,0%
[,5],69.00-70.00,sec,962,KBytes,7.88,Mbits/sec,2.606,ms,0/680,0%
[,5],70.00-71.00,sec,570,KBytes,4.67,Mbits/sec,2.53,ms,0/403,0%
[,5],71.00-72.00,sec,942,KBytes,7.72,Mbits/sec,2.723,ms,0/666,0%
[,5],72.00-73.00,sec,758,KBytes,6.21,Mbits/sec,4.65,ms,0/536,0%
[,5],72.00-73.00,sec,758,KBytes,6.21,Mbits/sec,4.65,ms,0/536,0%
-,- -,- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
[,ID],Interval,,Tran,sfer,Bitr,ate,Jitte,r,Lost/,Total Datagrams
[,5],0.00-73.00,sec,63.6,MBytes,7.3,Mbits/sec,6.146,ms,0/460,22 (0%)  receiver
-,----,---------------,---,------,---------,----,----------,-------,,,
S,erve,r listening on,520,1,,,,,,,
-,----,---------------,---,------,---------,----,----------,-------,,,
