edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632151437.1919076, 27.6
edge1, 1632151440.203695, 27.9
edge1, 1632151443.2167902, 26.5
edge1, 1632151446.2444556, 30.1
edge1, 1632151449.2585497, 28.7
edge1, 1632151452.2673838, 28.0
edge1, 1632151455.279505, 28.7
edge1, 1632151458.2900512, 30.4
edge1, 1632151461.3000438, 28.5
edge1, 1632151464.3101187, 28.7
edge1, 1632151467.3186471, 27.9
edge1, 1632151470.3279197, 28.4
edge1, 1632151473.3416665, 28.1
edge1, 1632151476.3532934, 27.8
edge1, 1632151479.3804452, 27.8
edge1, 1632151482.3923554, 27.7
edge1, 1632151485.4055746, 28.0
edge1, 1632151488.4150927, 27.9
edge1, 1632151491.471343, 29.0
edge1, 1632151494.484776, 29.4
edge1, 1632151497.496732, 28.1
edge1, 1632151500.5062628, 26.4
edge1, 1632151503.5160937, 27.9
edge1, 1632151506.5300338, 29.2
edge1, 1632151509.5405874, 28.7
edge1, 1632151512.5511477, 26.4
edge1, 1632151515.5624988, 27.3
edge1, 1632151518.576947, 27.3
edge1, 1632151521.6109772, 27.1
edge1, 1632151524.619722, 27.9
edge1, 1632151527.6297174, 1.5
edge1, 1632151530.6457586, 0.8
