Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.84,MBytes,23.8,Mbits/sec,2054
1.00-2.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
2.00-3.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
3.00-4.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
4.00-5.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
5.00-6.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
6.00-7.00,sec,1.97,MBytes,16.5,Mbits/sec,1427
7.00-8.00,sec,1.97,MBytes,16.5,Mbits/sec,1427
8.00-9.00,sec,1.95,MBytes,16.3,Mbits/sec,1410
9.00-10.00,sec,1.96,MBytes,16.4,Mbits/sec,1418
10.00-11.00,sec,1.97,MBytes,16.6,Mbits/sec,1429
11.00-12.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
12.00-13.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
13.00-14.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
14.00-15.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
15.00-16.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
16.00-17.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
17.00-18.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
18.00-19.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
19.00-20.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
20.00-21.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
21.00-22.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
22.00-23.00,sec,1.81,MBytes,15.2,Mbits/sec,1313
23.00-24.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
24.00-25.00,sec,1.85,MBytes,15.5,Mbits/sec,1339
25.00-26.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
26.00-27.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
27.00-28.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
28.00-29.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
29.00-30.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
30.00-31.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
31.00-32.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
32.00-33.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
33.00-34.00,sec,1.95,MBytes,16.4,Mbits/sec,1414
34.00-35.00,sec,1.94,MBytes,16.3,Mbits/sec,1407
35.00-36.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
36.00-37.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
37.00-38.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
38.00-39.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
39.00-40.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
40.00-41.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
41.00-42.00,sec,1.72,MBytes,14.5,Mbits/sec,1248
42.00-43.00,sec,1.78,MBytes,14.9,Mbits/sec,1287
43.00-44.00,sec,1.9,MBytes,16,Mbits/sec,1378
44.00-45.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
45.00-46.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
46.00-47.00,sec,1.9,MBytes,16,Mbits/sec,1378
47.00-48.00,sec,1.8,MBytes,15.1,Mbits/sec,1300
48.00-49.00,sec,1.81,MBytes,15.2,Mbits/sec,1313
49.00-50.00,sec,1.31,MBytes,11,Mbits/sec,949
50.00-51.00,sec,1.78,MBytes,14.9,Mbits/sec,1287
51.00-52.00,sec,1.72,MBytes,14.5,Mbits/sec,1248
52.00-53.00,sec,1.63,MBytes,13.7,Mbits/sec,1183
53.00-54.00,sec,1.58,MBytes,13.3,Mbits/sec,1144
54.00-55.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
55.00-56.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
56.00-57.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
57.00-58.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
58.00-59.00,sec,1.54,MBytes,13,Mbits/sec,1118
59.00-60.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
60.00-61.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
61.00-62.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
62.00-63.00,sec,1.44,MBytes,12,Mbits/sec,1040
63.00-64.00,sec,1.38,MBytes,11.6,Mbits/sec,1001
64.00-65.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
65.00-66.00,sec,1.44,MBytes,12.1,Mbits/sec,1046
66.00-67.00,sec,1.45,MBytes,12.1,Mbits/sec,1047
67.00-68.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
68.00-69.00,sec,1.29,MBytes,10.8,Mbits/sec,936
69.00-70.00,sec,1.38,MBytes,11.6,Mbits/sec,1001
70.00-71.00,sec,1.33,MBytes,11.1,Mbits/sec,962
71.00-72.00,sec,1.35,MBytes,11.3,Mbits/sec,975
72.00-73.00,sec,1.32,MBytes,11.1,Mbits/sec,957
73.00-74.00,sec,1.28,MBytes,10.7,Mbits/sec,928
74.00-75.00,sec,1.29,MBytes,10.8,Mbits/sec,936
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,133,MBytes,14.9,Mbits/sec,0.000 ms  0/96447 (0%)  sender
0.00-75.08,sec,133,MBytes,14.9,Mbits/sec,1.384 ms  0/96445 (0%)  receiver
,,,,,,
Done.,,,,,,
