Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.46,MBytes,20.7,Mbits/sec,1783
1.00-2.00,sec,1.99,MBytes,16.7,Mbits/sec,1444
2.00-3.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
3.00-4.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
4.00-5.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
5.00-6.00,sec,1.99,MBytes,16.7,Mbits/sec,1444
6.00-7.00,sec,2.01,MBytes,16.9,Mbits/sec,1455
7.00-8.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
8.00-9.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
9.00-10.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
10.00-11.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
11.00-12.00,sec,1.83,MBytes,15.3,Mbits/sec,1325
12.00-13.00,sec,1.96,MBytes,16.4,Mbits/sec,1418
13.00-14.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
14.00-15.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
15.00-16.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
16.00-17.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
17.00-18.00,sec,2.01,MBytes,16.9,Mbits/sec,1457
18.00-19.00,sec,1.99,MBytes,16.7,Mbits/sec,1442
19.00-20.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
20.00-21.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
21.00-22.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
22.00-23.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
23.00-24.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
24.00-25.00,sec,2.01,MBytes,16.9,Mbits/sec,1455
25.00-26.00,sec,2,MBytes,16.8,Mbits/sec,1451
26.00-27.00,sec,1.97,MBytes,16.5,Mbits/sec,1423
27.00-28.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
28.00-29.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
29.00-30.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
30.00-31.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
31.00-32.00,sec,2.03,MBytes,17,Mbits/sec,1469
32.00-33.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
33.00-34.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
34.00-35.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
35.00-36.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
36.00-37.00,sec,1.9,MBytes,16,Mbits/sec,1378
37.00-38.00,sec,1.97,MBytes,16.5,Mbits/sec,1425
38.00-39.00,sec,1.96,MBytes,16.5,Mbits/sec,1422
39.00-40.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
40.00-41.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
41.00-42.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
42.00-43.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
43.00-44.00,sec,2.01,MBytes,16.9,Mbits/sec,1456
44.00-45.00,sec,1.89,MBytes,15.9,Mbits/sec,1371
45.00-46.00,sec,1.91,MBytes,16,Mbits/sec,1385
46.00-47.00,sec,1.8,MBytes,15.1,Mbits/sec,1300
47.00-48.00,sec,1.78,MBytes,14.9,Mbits/sec,1287
48.00-49.00,sec,1.76,MBytes,14.8,Mbits/sec,1274
49.00-50.00,sec,1.62,MBytes,13.6,Mbits/sec,1170
50.00-51.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
51.00-52.00,sec,1.63,MBytes,13.7,Mbits/sec,1183
52.00-53.00,sec,1.72,MBytes,14.5,Mbits/sec,1248
53.00-54.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
54.00-55.00,sec,1.6,MBytes,13.4,Mbits/sec,1157
55.00-56.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
56.00-57.00,sec,1.54,MBytes,13,Mbits/sec,1118
57.00-58.00,sec,1.56,MBytes,13.1,Mbits/sec,1131
58.00-59.00,sec,1.49,MBytes,12.5,Mbits/sec,1079
59.00-60.00,sec,1.49,MBytes,12.5,Mbits/sec,1079
60.00-61.00,sec,1.51,MBytes,12.6,Mbits/sec,1092
61.00-62.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
62.00-63.00,sec,1.44,MBytes,12,Mbits/sec,1040
63.00-64.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
64.00-65.00,sec,1.38,MBytes,11.6,Mbits/sec,1001
65.00-66.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
66.00-67.00,sec,1.54,MBytes,13,Mbits/sec,1118
67.00-68.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
68.00-69.00,sec,1.54,MBytes,13,Mbits/sec,1118
69.00-70.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
70.00-71.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
71.00-72.00,sec,1.4,MBytes,11.7,Mbits/sec,1014
72.00-73.00,sec,1.54,MBytes,13,Mbits/sec,1118
73.00-74.00,sec,1.4,MBytes,11.8,Mbits/sec,1015
74.00-75.00,sec,1.42,MBytes,11.9,Mbits/sec,1026
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,137,MBytes,15.3,Mbits/sec,0.000 ms  0/98894 (0%)  sender
0.00-75.18,sec,137,MBytes,15.2,Mbits/sec,3.716 ms  0/98894 (0%)  receiver
,,,,,,
Done.,,,,,,
