Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,732,KBytes,6,Mbits/sec,518
1.00-2.00,sec,732,KBytes,6,Mbits/sec,518
2.00-3.00,sec,732,KBytes,6,Mbits/sec,518
3.00-4.00,sec,732,KBytes,6,Mbits/sec,518
4.00-5.00,sec,732,KBytes,6,Mbits/sec,518
5.00-6.00,sec,732,KBytes,6,Mbits/sec,518
6.00-7.00,sec,732,KBytes,6,Mbits/sec,518
7.00-8.00,sec,732,KBytes,6,Mbits/sec,518
8.00-9.00,sec,732,KBytes,6,Mbits/sec,518
9.00-10.00,sec,732,KBytes,6,Mbits/sec,518
10.00-11.00,sec,732,KBytes,6,Mbits/sec,518
11.00-12.00,sec,731,KBytes,5.99,Mbits/sec,517
12.00-13.00,sec,732,KBytes,6,Mbits/sec,518
13.00-14.00,sec,732,KBytes,6,Mbits/sec,518
14.00-15.00,sec,732,KBytes,6,Mbits/sec,518
15.00-16.00,sec,732,KBytes,6,Mbits/sec,518
16.00-17.00,sec,732,KBytes,6,Mbits/sec,518
17.00-18.00,sec,732,KBytes,6,Mbits/sec,518
18.00-19.00,sec,732,KBytes,6,Mbits/sec,518
19.00-20.00,sec,732,KBytes,6,Mbits/sec,518
20.00-21.00,sec,732,KBytes,6,Mbits/sec,518
21.00-22.00,sec,732,KBytes,6,Mbits/sec,518
22.00-23.00,sec,732,KBytes,6,Mbits/sec,518
23.00-24.00,sec,732,KBytes,6,Mbits/sec,518
24.00-25.00,sec,732,KBytes,6,Mbits/sec,518
25.00-26.00,sec,732,KBytes,6,Mbits/sec,518
26.00-27.00,sec,732,KBytes,6,Mbits/sec,518
27.00-28.00,sec,732,KBytes,6,Mbits/sec,518
28.00-29.00,sec,732,KBytes,6,Mbits/sec,518
29.00-30.00,sec,732,KBytes,6,Mbits/sec,518
30.00-31.00,sec,732,KBytes,6,Mbits/sec,518
31.00-32.00,sec,732,KBytes,6,Mbits/sec,518
32.00-33.00,sec,732,KBytes,6,Mbits/sec,518
33.00-34.00,sec,732,KBytes,6,Mbits/sec,518
34.00-35.00,sec,731,KBytes,5.99,Mbits/sec,517
35.00-36.00,sec,732,KBytes,6,Mbits/sec,518
36.00-37.00,sec,732,KBytes,6,Mbits/sec,518
37.00-38.00,sec,732,KBytes,6,Mbits/sec,518
38.00-39.00,sec,732,KBytes,6,Mbits/sec,518
39.00-40.00,sec,732,KBytes,6,Mbits/sec,518
40.00-41.00,sec,732,KBytes,6,Mbits/sec,518
41.00-42.00,sec,732,KBytes,6,Mbits/sec,518
42.00-43.00,sec,732,KBytes,6,Mbits/sec,518
43.00-44.00,sec,732,KBytes,6,Mbits/sec,518
44.00-45.00,sec,732,KBytes,6,Mbits/sec,518
45.00-46.00,sec,732,KBytes,6,Mbits/sec,518
46.00-47.00,sec,732,KBytes,6,Mbits/sec,518
47.00-48.00,sec,732,KBytes,6,Mbits/sec,518
48.00-49.00,sec,732,KBytes,6,Mbits/sec,518
49.00-50.00,sec,732,KBytes,6,Mbits/sec,518
50.00-51.00,sec,732,KBytes,6,Mbits/sec,518
51.00-52.00,sec,732,KBytes,6,Mbits/sec,518
52.00-53.00,sec,732,KBytes,6,Mbits/sec,518
53.00-54.00,sec,732,KBytes,6,Mbits/sec,518
54.00-55.00,sec,732,KBytes,6,Mbits/sec,518
55.00-56.00,sec,732,KBytes,6,Mbits/sec,518
56.00-57.00,sec,732,KBytes,6,Mbits/sec,518
57.00-58.00,sec,731,KBytes,5.99,Mbits/sec,517
58.00-59.00,sec,732,KBytes,6,Mbits/sec,518
59.00-60.00,sec,732,KBytes,6,Mbits/sec,518
60.00-61.00,sec,732,KBytes,6,Mbits/sec,518
61.00-62.00,sec,732,KBytes,6,Mbits/sec,518
62.00-63.00,sec,732,KBytes,6,Mbits/sec,518
63.00-64.00,sec,732,KBytes,6,Mbits/sec,518
64.00-65.00,sec,732,KBytes,6,Mbits/sec,518
65.00-66.00,sec,732,KBytes,6,Mbits/sec,518
66.00-67.00,sec,732,KBytes,6,Mbits/sec,518
67.00-68.00,sec,732,KBytes,6,Mbits/sec,518
68.00-69.00,sec,732,KBytes,6,Mbits/sec,518
69.00-70.00,sec,732,KBytes,6,Mbits/sec,518
70.00-71.00,sec,732,KBytes,6,Mbits/sec,518
71.00-72.00,sec,732,KBytes,6,Mbits/sec,518
72.00-73.00,sec,732,KBytes,6,Mbits/sec,518
73.00-74.00,sec,732,KBytes,6,Mbits/sec,518
74.00-75.00,sec,732,KBytes,6,Mbits/sec,518
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,53.6,MBytes,6,Mbits/sec,0.000 ms  0/38847 (0%)  sender
0.00-75.00,sec,53.6,MBytes,6,Mbits/sec,0.101 ms  0/38846 (0%)  receiver
,,,,,,
Done.,,,,,,
