Interval,,Tran,sfer,Bitr,ate,Total Datagrams
68.00-69.00,sec,1.63,MBytes,13.7,Mbits/sec,1183
69.00-70.00,sec,1.67,MBytes,14,Mbits/sec,1209
70.00-71.00,sec,1.62,MBytes,13.6,Mbits/sec,1170
71.00-72.00,sec,1.65,MBytes,13.9,Mbits/sec,1196
72.00-73.00,sec,1.58,MBytes,13.3,Mbits/sec,1144
73.00-74.00,sec,1.58,MBytes,13.3,Mbits/sec,1144
74.00-75.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,143,MBytes,15.9,Mbits/sec,0.000 ms  0/103216 (0%)  sender
0.00-75.06,sec,143,MBytes,15.9,Mbits/sec,1.992 ms  0/103215 (0%)  receiver
,,,,,,
Done.,,,,,,
