Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,2.61,MBytes,21.9,Mbits/sec,1892
1.00-2.00,sec,1.88,MBytes,15.8,Mbits/sec,1365
2.00-3.00,sec,1.94,MBytes,16.3,Mbits/sec,1403
3.00-4.00,sec,1.92,MBytes,16.1,Mbits/sec,1393
4.00-5.00,sec,1.97,MBytes,16.6,Mbits/sec,1429
5.00-6.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
6.00-7.00,sec,1.8,MBytes,15.1,Mbits/sec,1300
7.00-8.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
8.00-9.00,sec,1.82,MBytes,15.3,Mbits/sec,1318
9.00-10.00,sec,1.97,MBytes,16.5,Mbits/sec,1425
10.00-11.00,sec,1.9,MBytes,16,Mbits/sec,1378
11.00-12.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
12.00-13.00,sec,1.9,MBytes,16,Mbits/sec,1378
13.00-14.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
14.00-15.00,sec,1.67,MBytes,14,Mbits/sec,1209
15.00-16.00,sec,1.87,MBytes,15.7,Mbits/sec,1352
16.00-17.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
17.00-18.00,sec,1.83,MBytes,15.4,Mbits/sec,1326
18.00-19.00,sec,1.85,MBytes,15.5,Mbits/sec,1339
19.00-20.00,sec,1.85,MBytes,15.5,Mbits/sec,1339
20.00-21.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
21.00-22.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
22.00-23.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
23.00-24.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
24.00-25.00,sec,1.9,MBytes,16,Mbits/sec,1378
25.00-26.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
26.00-27.00,sec,1.81,MBytes,15.2,Mbits/sec,1314
27.00-28.00,sec,1.99,MBytes,16.7,Mbits/sec,1442
28.00-29.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
29.00-30.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
30.00-31.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
31.00-32.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
32.00-33.00,sec,1.92,MBytes,16.1,Mbits/sec,1391
33.00-34.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
34.00-35.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
35.00-36.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
36.00-37.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
37.00-38.00,sec,1.98,MBytes,16.6,Mbits/sec,1431
38.00-39.00,sec,1.96,MBytes,16.4,Mbits/sec,1416
39.00-40.00,sec,1.97,MBytes,16.6,Mbits/sec,1430
40.00-41.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
41.00-42.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
42.00-43.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
43.00-44.00,sec,1.96,MBytes,16.4,Mbits/sec,1417
44.00-45.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
45.00-46.00,sec,1.99,MBytes,16.7,Mbits/sec,1443
46.00-47.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
47.00-48.00,sec,1.94,MBytes,16.3,Mbits/sec,1404
48.00-49.00,sec,1.85,MBytes,15.5,Mbits/sec,1339
49.00-50.00,sec,1.74,MBytes,14.6,Mbits/sec,1261
50.00-51.00,sec,1.74,MBytes,14.6,Mbits/sec,1261
51.00-52.00,sec,1.71,MBytes,14.3,Mbits/sec,1235
52.00-53.00,sec,1.74,MBytes,14.6,Mbits/sec,1261
53.00-54.00,sec,1.68,MBytes,14.1,Mbits/sec,1220
54.00-55.00,sec,1.47,MBytes,12.4,Mbits/sec,1068
55.00-56.00,sec,1.58,MBytes,13.3,Mbits/sec,1144
56.00-57.00,sec,1.53,MBytes,12.8,Mbits/sec,1105
57.00-58.00,sec,1.42,MBytes,11.9,Mbits/sec,1027
58.00-59.00,sec,1.45,MBytes,12.2,Mbits/sec,1053
59.00-60.00,sec,1.62,MBytes,13.6,Mbits/sec,1170
60.00-61.00,sec,1.62,MBytes,13.6,Mbits/sec,1170
61.00-62.00,sec,1.47,MBytes,12.3,Mbits/sec,1066
62.00-63.00,sec,1.38,MBytes,11.6,Mbits/sec,1001
63.00-64.00,sec,1.44,MBytes,12,Mbits/sec,1040
