Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,976,KBytes,7.99,Mbits/sec,690
1.00-2.00,sec,977,KBytes,8,Mbits/sec,691
2.00-3.00,sec,977,KBytes,8,Mbits/sec,691
3.00-4.00,sec,976,KBytes,7.99,Mbits/sec,690
4.00-5.00,sec,977,KBytes,8,Mbits/sec,691
5.00-6.00,sec,977,KBytes,8,Mbits/sec,691
6.00-7.00,sec,976,KBytes,7.99,Mbits/sec,690
7.00-8.00,sec,977,KBytes,8,Mbits/sec,691
8.00-9.00,sec,976,KBytes,7.99,Mbits/sec,690
9.00-10.00,sec,977,KBytes,8,Mbits/sec,691
10.00-11.00,sec,977,KBytes,8,Mbits/sec,691
11.00-12.00,sec,976,KBytes,7.99,Mbits/sec,690
12.00-13.00,sec,977,KBytes,8,Mbits/sec,691
13.00-14.00,sec,976,KBytes,7.99,Mbits/sec,690
14.00-15.00,sec,977,KBytes,8,Mbits/sec,691
15.00-16.00,sec,977,KBytes,8,Mbits/sec,691
16.00-17.00,sec,976,KBytes,7.99,Mbits/sec,690
17.00-18.00,sec,977,KBytes,8,Mbits/sec,691
18.00-19.00,sec,976,KBytes,7.99,Mbits/sec,690
19.00-20.00,sec,977,KBytes,8,Mbits/sec,691
20.00-21.00,sec,977,KBytes,8,Mbits/sec,691
21.00-22.00,sec,976,KBytes,7.99,Mbits/sec,690
22.00-23.00,sec,977,KBytes,8,Mbits/sec,691
23.00-24.00,sec,976,KBytes,7.99,Mbits/sec,690
24.00-25.00,sec,977,KBytes,8,Mbits/sec,691
25.00-26.00,sec,977,KBytes,8,Mbits/sec,691
26.00-27.00,sec,976,KBytes,7.99,Mbits/sec,690
27.00-28.00,sec,977,KBytes,8,Mbits/sec,691
28.00-29.00,sec,976,KBytes,7.99,Mbits/sec,690
29.00-30.00,sec,977,KBytes,8,Mbits/sec,691
30.00-31.00,sec,977,KBytes,8,Mbits/sec,691
31.00-32.00,sec,976,KBytes,7.99,Mbits/sec,690
32.00-33.00,sec,977,KBytes,8,Mbits/sec,691
33.00-34.00,sec,977,KBytes,8,Mbits/sec,691
34.00-35.00,sec,976,KBytes,7.99,Mbits/sec,690
35.00-36.00,sec,977,KBytes,8,Mbits/sec,691
36.00-37.00,sec,976,KBytes,7.99,Mbits/sec,690
37.00-38.00,sec,977,KBytes,8,Mbits/sec,691
38.00-39.00,sec,977,KBytes,8,Mbits/sec,691
39.00-40.00,sec,976,KBytes,7.99,Mbits/sec,690
40.00-41.00,sec,977,KBytes,8,Mbits/sec,691
41.00-42.00,sec,976,KBytes,7.99,Mbits/sec,690
42.00-43.00,sec,977,KBytes,8,Mbits/sec,691
43.00-44.00,sec,977,KBytes,8,Mbits/sec,691
44.00-45.00,sec,976,KBytes,7.99,Mbits/sec,690
45.00-46.00,sec,977,KBytes,8,Mbits/sec,691
46.00-47.00,sec,976,KBytes,7.99,Mbits/sec,690
47.00-48.00,sec,977,KBytes,8,Mbits/sec,691
48.00-49.00,sec,977,KBytes,8,Mbits/sec,691
49.00-50.00,sec,976,KBytes,7.99,Mbits/sec,690
50.00-51.00,sec,977,KBytes,8,Mbits/sec,691
51.00-52.00,sec,976,KBytes,7.99,Mbits/sec,690
52.00-53.00,sec,977,KBytes,8,Mbits/sec,691
53.00-54.00,sec,977,KBytes,8,Mbits/sec,691
54.00-55.00,sec,976,KBytes,7.99,Mbits/sec,690
55.00-56.00,sec,977,KBytes,8,Mbits/sec,691
56.00-57.00,sec,977,KBytes,8,Mbits/sec,691
57.00-58.00,sec,976,KBytes,7.99,Mbits/sec,690
58.00-59.00,sec,977,KBytes,8,Mbits/sec,691
59.00-60.00,sec,976,KBytes,7.99,Mbits/sec,690
60.00-61.00,sec,977,KBytes,8,Mbits/sec,691
61.00-62.00,sec,977,KBytes,8,Mbits/sec,691
62.00-63.00,sec,976,KBytes,7.99,Mbits/sec,690
63.00-64.00,sec,977,KBytes,8,Mbits/sec,691
64.00-65.00,sec,976,KBytes,7.99,Mbits/sec,690
65.00-66.00,sec,977,KBytes,8,Mbits/sec,691
66.00-67.00,sec,977,KBytes,8,Mbits/sec,691
67.00-68.00,sec,976,KBytes,7.99,Mbits/sec,690
68.00-69.00,sec,977,KBytes,8,Mbits/sec,691
69.00-70.00,sec,976,KBytes,7.99,Mbits/sec,690
70.00-71.00,sec,977,KBytes,8,Mbits/sec,691
71.00-72.00,sec,977,KBytes,8,Mbits/sec,691
72.00-73.00,sec,976,KBytes,7.99,Mbits/sec,690
73.00-74.00,sec,977,KBytes,8,Mbits/sec,691
74.00-75.00,sec,976,KBytes,7.99,Mbits/sec,690
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,71.5,MBytes,8,Mbits/sec,0.000 ms  0/51795 (0%)  sender
0.00-75.00,sec,71.5,MBytes,8,Mbits/sec,0.453 ms  0/51795 (0%)  receiver
,,,,,,
Done.,,,,,,
