Interval,,Tran,sfer,Bitr,ate,Total Datagrams
0.00-1.00,sec,488,KBytes,4,Mbits/sec,345
1.00-2.00,sec,489,KBytes,4.01,Mbits/sec,346
2.00-3.00,sec,488,KBytes,4,Mbits/sec,345
3.00-4.00,sec,488,KBytes,4,Mbits/sec,345
4.00-5.00,sec,489,KBytes,4.01,Mbits/sec,346
5.00-6.00,sec,488,KBytes,4,Mbits/sec,345
6.00-7.00,sec,488,KBytes,4,Mbits/sec,345
7.00-8.00,sec,489,KBytes,4.01,Mbits/sec,346
8.00-9.00,sec,488,KBytes,4,Mbits/sec,345
9.00-10.00,sec,488,KBytes,4,Mbits/sec,345
10.00-11.00,sec,489,KBytes,4.01,Mbits/sec,346
11.00-12.00,sec,488,KBytes,4,Mbits/sec,345
12.00-13.00,sec,488,KBytes,4,Mbits/sec,345
13.00-14.00,sec,488,KBytes,4,Mbits/sec,345
14.00-15.00,sec,489,KBytes,4.01,Mbits/sec,346
15.00-16.00,sec,488,KBytes,4,Mbits/sec,345
16.00-17.00,sec,488,KBytes,4,Mbits/sec,345
17.00-18.00,sec,489,KBytes,4.01,Mbits/sec,346
18.00-19.00,sec,488,KBytes,4,Mbits/sec,345
19.00-20.00,sec,488,KBytes,4,Mbits/sec,345
20.00-21.00,sec,489,KBytes,4.01,Mbits/sec,346
21.00-22.00,sec,488,KBytes,4,Mbits/sec,345
22.00-23.00,sec,488,KBytes,4,Mbits/sec,345
23.00-24.00,sec,488,KBytes,4,Mbits/sec,345
24.00-25.00,sec,489,KBytes,4.01,Mbits/sec,346
25.00-26.00,sec,488,KBytes,4,Mbits/sec,345
26.00-27.00,sec,488,KBytes,4,Mbits/sec,345
27.00-28.00,sec,489,KBytes,4.01,Mbits/sec,346
28.00-29.00,sec,488,KBytes,4,Mbits/sec,345
29.00-30.00,sec,488,KBytes,4,Mbits/sec,345
30.00-31.00,sec,489,KBytes,4.01,Mbits/sec,346
31.00-32.00,sec,488,KBytes,4,Mbits/sec,345
32.00-33.00,sec,488,KBytes,4,Mbits/sec,345
33.00-34.00,sec,489,KBytes,4.01,Mbits/sec,346
34.00-35.00,sec,488,KBytes,4,Mbits/sec,345
35.00-36.00,sec,488,KBytes,4,Mbits/sec,345
36.00-37.00,sec,488,KBytes,4,Mbits/sec,345
37.00-38.00,sec,489,KBytes,4.01,Mbits/sec,346
38.00-39.00,sec,488,KBytes,4,Mbits/sec,345
39.00-40.00,sec,488,KBytes,4,Mbits/sec,345
40.00-41.00,sec,489,KBytes,4.01,Mbits/sec,346
41.00-42.00,sec,488,KBytes,4,Mbits/sec,345
42.00-43.00,sec,488,KBytes,4,Mbits/sec,345
43.00-44.00,sec,489,KBytes,4.01,Mbits/sec,346
44.00-45.00,sec,488,KBytes,4,Mbits/sec,345
45.00-46.00,sec,488,KBytes,4,Mbits/sec,345
46.00-47.00,sec,488,KBytes,4,Mbits/sec,345
47.00-48.00,sec,489,KBytes,4.01,Mbits/sec,346
48.00-49.00,sec,488,KBytes,4,Mbits/sec,345
49.00-50.00,sec,488,KBytes,4,Mbits/sec,345
50.00-51.00,sec,489,KBytes,4.01,Mbits/sec,346
51.00-52.00,sec,488,KBytes,4,Mbits/sec,345
52.00-53.00,sec,488,KBytes,4,Mbits/sec,345
53.00-54.00,sec,489,KBytes,4.01,Mbits/sec,346
54.00-55.00,sec,488,KBytes,4,Mbits/sec,345
55.00-56.00,sec,488,KBytes,4,Mbits/sec,345
56.00-57.00,sec,489,KBytes,4.01,Mbits/sec,346
57.00-58.00,sec,488,KBytes,4,Mbits/sec,345
58.00-59.00,sec,488,KBytes,4,Mbits/sec,345
59.00-60.00,sec,488,KBytes,4,Mbits/sec,345
60.00-61.00,sec,489,KBytes,4.01,Mbits/sec,346
61.00-62.00,sec,488,KBytes,4,Mbits/sec,345
62.00-63.00,sec,488,KBytes,4,Mbits/sec,345
63.00-64.00,sec,489,KBytes,4.01,Mbits/sec,346
64.00-65.00,sec,488,KBytes,4,Mbits/sec,345
65.00-66.00,sec,488,KBytes,4,Mbits/sec,345
66.00-67.00,sec,489,KBytes,4.01,Mbits/sec,346
67.00-68.00,sec,488,KBytes,4,Mbits/sec,345
68.00-69.00,sec,488,KBytes,4,Mbits/sec,345
69.00-70.00,sec,488,KBytes,4,Mbits/sec,345
70.00-71.00,sec,489,KBytes,4.01,Mbits/sec,346
71.00-72.00,sec,488,KBytes,4,Mbits/sec,345
72.00-73.00,sec,488,KBytes,4,Mbits/sec,345
73.00-74.00,sec,489,KBytes,4.01,Mbits/sec,346
74.00-75.00,sec,488,KBytes,4,Mbits/sec,345
- - - - - - -,- -,- - -,- - - -,- -,- - - -,
Interval,,Tran,sfer,Bitr,ate,Jitter    Lost/Total Datagrams
0.00-75.00,sec,35.8,MBytes,4,Mbits/sec,0.000 ms  0/25898 (0%)  sender
0.00-75.00,sec,35.8,MBytes,4,Mbits/sec,0.139 ms  0/25898 (0%)  receiver
,,,,,,
Done.,,,,,,
