Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.2.4 port 49955 connected to 192.168.2.5 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]   0.00-1.00   sec  2.01 MBytes  16.9 Mbits/sec  1458  
[  5]   1.00-2.00   sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]   2.00-3.00   sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]   3.00-4.00   sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]   4.00-5.00   sec  1.99 MBytes  16.7 Mbits/sec  1442  
[  5]   5.00-6.00   sec  1.96 MBytes  16.4 Mbits/sec  1418  
[  5]   6.00-7.00   sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]   7.00-8.00   sec  1.97 MBytes  16.5 Mbits/sec  1423  
[  5]   8.00-9.00   sec  1.98 MBytes  16.6 Mbits/sec  1437  
[  5]   9.00-10.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  10.00-11.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  11.00-12.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  12.00-13.00  sec  1.97 MBytes  16.5 Mbits/sec  1427  
[  5]  13.00-14.00  sec  1.98 MBytes  16.6 Mbits/sec  1433  
[  5]  14.00-15.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  15.00-16.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  16.00-17.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  17.00-18.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  18.00-19.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  19.00-20.00  sec  1.81 MBytes  15.2 Mbits/sec  1313  
[  5]  20.00-21.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  21.00-22.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  22.00-23.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  23.00-24.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  24.00-25.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  25.00-26.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  26.00-27.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  27.00-28.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  28.00-29.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  29.00-30.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  30.00-31.00  sec  1.83 MBytes  15.4 Mbits/sec  1326  
[  5]  31.00-32.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  32.00-33.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  33.00-34.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  34.00-35.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  35.00-36.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  36.00-37.00  sec  1.96 MBytes  16.4 Mbits/sec  1417  
[  5]  37.00-38.00  sec  1.87 MBytes  15.7 Mbits/sec  1352  
[  5]  38.00-39.00  sec  1.74 MBytes  14.6 Mbits/sec  1261  
[  5]  39.00-40.00  sec  1.72 MBytes  14.5 Mbits/sec  1248  
[  5]  40.00-41.00  sec  1.58 MBytes  13.3 Mbits/sec  1144  
[  5]  41.00-42.00  sec  1.69 MBytes  14.2 Mbits/sec  1222  
[  5]  42.00-43.00  sec  1.60 MBytes  13.4 Mbits/sec  1157  
[  5]  43.00-44.00  sec  1.54 MBytes  13.0 Mbits/sec  1118  
[  5]  44.00-45.00  sec  1.61 MBytes  13.5 Mbits/sec  1168  
[  5]  45.00-46.00  sec  1.55 MBytes  13.0 Mbits/sec  1120  
[  5]  46.00-47.00  sec  1.54 MBytes  12.9 Mbits/sec  1118  
[  5]  47.00-48.00  sec  1.42 MBytes  11.9 Mbits/sec  1027  
[  5]  48.00-49.00  sec  1.47 MBytes  12.3 Mbits/sec  1066  
[  5]  49.00-50.00  sec  1.40 MBytes  11.7 Mbits/sec  1014  
[  5]  50.00-51.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  51.00-52.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  52.00-53.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  53.00-54.00  sec  1.18 MBytes  9.94 Mbits/sec  858  
[  5]  54.00-55.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  55.00-56.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  56.00-57.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  57.00-58.00  sec  1.20 MBytes  10.1 Mbits/sec  871  
[  5]  58.00-59.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  59.00-60.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  60.00-61.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  61.00-62.00  sec  1.11 MBytes  9.34 Mbits/sec  806  
[  5]  62.00-63.00  sec  1.10 MBytes  9.27 Mbits/sec  800  
[  5]  63.00-64.00  sec  1.10 MBytes  9.25 Mbits/sec  799  
[  5]  64.00-65.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  65.00-66.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  66.00-67.00  sec  1.06 MBytes  8.88 Mbits/sec  767  
[  5]  67.00-68.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  68.00-69.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  69.00-70.00  sec  1.10 MBytes  9.19 Mbits/sec  793  
[  5]  70.00-71.00  sec  1.01 MBytes  8.43 Mbits/sec  728  
[  5]  71.00-72.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  72.00-73.00  sec  1.02 MBytes  8.58 Mbits/sec  741  
[  5]  73.00-74.00  sec  1.04 MBytes  8.73 Mbits/sec  754  
[  5]  74.00-75.00  sec  1.38 MBytes  11.6 Mbits/sec  1001  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.00  sec   121 MBytes  13.6 Mbits/sec  0.000 ms  0/87791 (0%)  sender
[  5]   0.00-75.07  sec   121 MBytes  13.5 Mbits/sec  1.040 ms  0/87789 (0%)  receiver

iperf Done.
