edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632174086.678712, 4.4
edge1, 1632174089.6924193, 5.9
edge1, 1632174092.7043793, 6.2
edge1, 1632174095.7173574, 4.4
edge1, 1632174098.7268667, 4.7
edge1, 1632174101.7541783, 5.4
edge1, 1632174104.8033495, 5.7
edge1, 1632174107.8164375, 2.6
edge1, 1632174110.8254898, 6.2
edge1, 1632174113.8405252, 4.9
edge1, 1632174116.8554332, 4.0
edge1, 1632174119.8686578, 5.2
edge1, 1632174122.8795457, 4.7
edge1, 1632174125.8911002, 2.3
edge1, 1632174128.9039693, 5.7
edge1, 1632174131.9126563, 4.7
edge1, 1632174134.9271836, 5.4
edge1, 1632174137.9378395, 2.6
edge1, 1632174140.9481177, 5.2
edge1, 1632174143.958279, 6.4
edge1, 1632174146.9661958, 4.9
edge1, 1632174149.9781296, 4.1
edge1, 1632174152.986994, 6.2
edge1, 1632174155.998972, 6.1
edge1, 1632174159.0115583, 2.3
edge1, 1632174162.0200694, 0.3
edge1, 1632174165.0292938, 0.8
