edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632174685.5526614, 1.3
edge1, 1632174688.5640132, 5.3
edge1, 1632174691.5765972, 4.1
edge1, 1632174694.5879333, 4.5
edge1, 1632174697.5999658, 4.5
edge1, 1632174700.6116116, 4.0
edge1, 1632174703.6349468, 3.8
edge1, 1632174706.6468015, 5.2
edge1, 1632174709.66009, 3.1
edge1, 1632174712.6722038, 3.0
edge1, 1632174715.6859465, 3.6
edge1, 1632174718.6977162, 5.0
edge1, 1632174721.7242322, 5.3
edge1, 1632174724.7353323, 4.3
edge1, 1632174727.747419, 3.3
edge1, 1632174730.8122222, 3.3
edge1, 1632174733.838014, 4.5
edge1, 1632174736.8525686, 5.2
edge1, 1632174739.8645785, 4.0
edge1, 1632174742.8727407, 3.1
edge1, 1632174745.8867462, 3.6
edge1, 1632174748.898402, 4.1
edge1, 1632174751.912307, 5.0
edge1, 1632174754.9260213, 2.8
edge1, 1632174757.937781, 4.3
edge1, 1632174760.9475524, 0.7
edge1, 1632174763.9562864, 1.0
edge1, 1632174766.9651139, 0.5
