edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632179297.6310277, 11.0
edge1, 1632179300.6403198, 12.0
edge1, 1632179303.6502378, 11.5
edge1, 1632179306.6582422, 10.5
edge1, 1632179309.6671185, 11.9
edge1, 1632179312.6756148, 11.9
edge1, 1632179315.695508, 11.4
edge1, 1632179318.7080708, 11.5
edge1, 1632179321.7170868, 11.5
edge1, 1632179324.7258267, 11.0
edge1, 1632179327.7324424, 11.4
edge1, 1632179330.742449, 11.2
edge1, 1632179333.7507162, 12.0
edge1, 1632179336.7591236, 10.3
edge1, 1632179339.7746816, 12.0
edge1, 1632179342.7839613, 13.1
edge1, 1632179345.792817, 12.8
edge1, 1632179348.8014495, 11.5
edge1, 1632179351.8110237, 11.7
edge1, 1632179354.8203332, 12.2
edge1, 1632179357.8304913, 11.4
edge1, 1632179360.838652, 11.9
edge1, 1632179363.8473353, 11.9
edge1, 1632179366.9064558, 10.9
edge1, 1632179369.9164598, 11.6
edge1, 1632179372.9271967, 1.0
edge1, 1632179375.9520354, 0.5
edge1, 1632179378.962942, 1.3
edge1, 1632179381.9742486, 1.3
edge1, 1632179384.9900527, 0.8
