edge_name,unix_timestamp,percentage_cpu_utilisation
edge1, 1632180011.4325607, 25.2
edge1, 1632180014.4461532, 24.6
edge1, 1632180017.4550905, 23.7
edge1, 1632180020.4624474, 23.6
edge1, 1632180023.4713323, 24.1
edge1, 1632180026.4790285, 24.6
edge1, 1632180029.4893827, 23.1
edge1, 1632180032.499021, 23.1
edge1, 1632180035.5125177, 24.9
edge1, 1632180038.5216284, 23.5
edge1, 1632180041.531309, 23.4
edge1, 1632180044.539923, 24.0
edge1, 1632180047.548639, 24.0
edge1, 1632180050.5611694, 23.5
edge1, 1632180053.5713854, 23.1
edge1, 1632180056.578919, 23.1
edge1, 1632180059.5862687, 24.1
edge1, 1632180062.5972836, 24.7
edge1, 1632180065.6055639, 23.5
edge1, 1632180068.616228, 23.1
edge1, 1632180071.622158, 23.2
edge1, 1632180074.630537, 24.4
edge1, 1632180077.6383936, 23.7
edge1, 1632180080.6474378, 23.6
edge1, 1632180083.6532555, 23.3
edge1, 1632180086.6627498, 0.8
