Connecting to host 192.168.2.5, port 5201
[  5] local 192.168.2.4 port 54929 connected to 192.168.2.5 port 5201
[ ID] Interval           Transfer     Bitrate         Total Datagrams
[  5]  31.00-32.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  32.00-33.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  33.00-34.00  sec  1.97 MBytes  16.6 Mbits/sec  1430  
[  5]  34.00-35.00  sec  1.99 MBytes  16.7 Mbits/sec  1443  
[  5]  35.00-36.00  sec  2.01 MBytes  16.9 Mbits/sec  1456  
[  5]  36.00-37.00  sec  2.00 MBytes  16.7 Mbits/sec  1445  
[  5]  37.00-38.00  sec  1.97 MBytes  16.5 Mbits/sec  1428  
[  5]  38.00-39.00  sec  1.76 MBytes  14.8 Mbits/sec  1274  
[  5]  39.00-40.00  sec  1.88 MBytes  15.8 Mbits/sec  1365  
[  5]  40.00-41.00  sec  1.92 MBytes  16.1 Mbits/sec  1388  
[  5]  41.00-42.00  sec  1.87 MBytes  15.7 Mbits/sec  1355  
[  5]  42.00-43.00  sec  1.90 MBytes  16.0 Mbits/sec  1378  
[  5]  43.00-44.00  sec  1.90 MBytes  16.0 Mbits/sec  1378  
[  5]  44.00-45.00  sec  1.89 MBytes  15.8 Mbits/sec  1368  
[  5]  45.00-46.00  sec  1.88 MBytes  15.8 Mbits/sec  1362  
[  5]  46.00-47.00  sec  1.76 MBytes  14.8 Mbits/sec  1274  
[  5]  47.00-48.00  sec  1.63 MBytes  13.7 Mbits/sec  1183  
[  5]  48.00-49.00  sec  1.62 MBytes  13.5 Mbits/sec  1170  
[  5]  49.00-50.00  sec  1.45 MBytes  12.2 Mbits/sec  1053  
[  5]  50.00-51.00  sec  1.63 MBytes  13.7 Mbits/sec  1183  
[  5]  51.00-52.00  sec  1.56 MBytes  13.1 Mbits/sec  1131  
[  5]  52.00-53.00  sec  1.54 MBytes  13.0 Mbits/sec  1118  
[  5]  53.00-54.00  sec  1.60 MBytes  13.4 Mbits/sec  1157  
[  5]  54.00-55.00  sec  1.58 MBytes  13.3 Mbits/sec  1144  
[  5]  55.00-56.00  sec  1.54 MBytes  13.0 Mbits/sec  1118  
[  5]  56.00-57.00  sec  1.45 MBytes  12.2 Mbits/sec  1053  
[  5]  57.00-58.00  sec  1.53 MBytes  12.8 Mbits/sec  1105  
[  5]  58.00-59.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  59.00-60.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  60.00-61.00  sec  1.45 MBytes  12.2 Mbits/sec  1053  
[  5]  61.00-62.00  sec  1.53 MBytes  12.8 Mbits/sec  1105  
[  5]  62.00-63.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  63.00-64.00  sec  1.49 MBytes  12.5 Mbits/sec  1079  
[  5]  64.00-65.00  sec  1.47 MBytes  12.3 Mbits/sec  1066  
[  5]  65.00-66.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  66.00-67.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  67.00-68.00  sec  1.44 MBytes  12.0 Mbits/sec  1040  
[  5]  68.00-69.00  sec  1.40 MBytes  11.7 Mbits/sec  1014  
[  5]  69.00-70.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  70.00-71.00  sec  1.45 MBytes  12.2 Mbits/sec  1053  
[  5]  71.00-72.00  sec  1.31 MBytes  11.0 Mbits/sec  949  
[  5]  72.00-73.00  sec  1.35 MBytes  11.3 Mbits/sec  975  
[  5]  73.00-74.00  sec  1.38 MBytes  11.6 Mbits/sec  1001  
[  5]  74.00-75.00  sec  1.88 MBytes  15.8 Mbits/sec  1365  
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-75.00  sec   134 MBytes  15.0 Mbits/sec  0.000 ms  0/97229 (0%)  sender
[  5]   0.00-75.06  sec   134 MBytes  15.0 Mbits/sec  0.624 ms  0/97229 (0%)  receiver

iperf Done.
