Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.95,MBytes,24.7,Mbits/sec,0.968,ms,0/2134,0%
1.00-2.00,sec,3.12,MBytes,26.2,Mbits/sec,0.65,ms,0/2261,0%
2.00-3.00,sec,3.6,MBytes,30.2,Mbits/sec,0.569,ms,0/2605,0%
3.00-4.00,sec,3.49,MBytes,29.3,Mbits/sec,0.669,ms,0/2530,0%
4.00-5.00,sec,3.7,MBytes,31,Mbits/sec,0.694,ms,0/2676,0%
5.00-6.00,sec,3.63,MBytes,30.5,Mbits/sec,0.67,ms,0/2631,0%
6.00-7.00,sec,3.7,MBytes,31,Mbits/sec,0.648,ms,0/2679,0%
7.00-8.00,sec,3.65,MBytes,30.7,Mbits/sec,0.758,ms,0/2646,0%
8.00-9.00,sec,3.58,MBytes,30,Mbits/sec,0.553,ms,0/2590,0%
9.00-10.00,sec,3.7,MBytes,31,Mbits/sec,0.763,ms,0/2677,0%
10.00-11.00,sec,3.54,MBytes,29.7,Mbits/sec,0.642,ms,0/2563,0%
11.00-12.00,sec,3.68,MBytes,30.9,Mbits/sec,0.557,ms,0/2664,0%
12.00-13.00,sec,3.52,MBytes,29.5,Mbits/sec,0.63,ms,0/2546,0%
13.00-14.00,sec,3.54,MBytes,29.7,Mbits/sec,0.61,ms,0/2563,0%
14.00-15.00,sec,3.49,MBytes,29.3,Mbits/sec,0.513,ms,0/2530,0%
15.00-16.00,sec,3.58,MBytes,30,Mbits/sec,0.761,ms,0/2590,0%
16.00-17.00,sec,3.48,MBytes,29.2,Mbits/sec,0.468,ms,0/2518,0%
17.00-18.00,sec,3.57,MBytes,30,Mbits/sec,0.55,ms,0/2587,0%
18.00-19.00,sec,3.44,MBytes,28.9,Mbits/sec,0.514,ms,0/2493,0%
19.00-20.00,sec,3.5,MBytes,29.4,Mbits/sec,0.68,ms,0/2534,0%
20.00-21.00,sec,3.45,MBytes,29,Mbits/sec,0.548,ms,0/2500,0%
21.00-22.00,sec,3.48,MBytes,29.2,Mbits/sec,0.612,ms,0/2523,0%
22.00-23.00,sec,3.49,MBytes,29.3,Mbits/sec,0.57,ms,0/2528,0%
23.00-24.00,sec,3.63,MBytes,30.4,Mbits/sec,0.569,ms,0/2628,0%
24.00-25.00,sec,3.45,MBytes,28.9,Mbits/sec,1.075,ms,0/2498,0%
25.00-26.00,sec,3.37,MBytes,28.3,Mbits/sec,0.724,ms,0/2439,0%
26.00-27.00,sec,3.55,MBytes,29.8,Mbits/sec,0.735,ms,0/2571,0%
27.00-28.00,sec,3.52,MBytes,29.5,Mbits/sec,0.681,ms,0/2550,0%
28.00-29.00,sec,3.43,MBytes,28.8,Mbits/sec,1.235,ms,0/2485,0%
29.00-30.00,sec,3.44,MBytes,28.9,Mbits/sec,0.761,ms,0/2493,0%
30.00-31.00,sec,3.43,MBytes,28.8,Mbits/sec,1.177,ms,0/2486,0%
31.00-32.00,sec,3.38,MBytes,28.4,Mbits/sec,0.559,ms,0/2449,0%
32.00-33.00,sec,3.3,MBytes,27.7,Mbits/sec,0.632,ms,0/2390,0%
33.00-34.00,sec,3.22,MBytes,27,Mbits/sec,0.693,ms,0/2331,0%
34.00-35.00,sec,3.55,MBytes,29.8,Mbits/sec,0.673,ms,0/2572,0%
35.00-36.00,sec,3.51,MBytes,29.5,Mbits/sec,0.657,ms,0/2544,0%
