Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,973,KBytes,7.97,Mbits/sec,1.072,ms,0/688,0%
1.00-2.00,sec,973,KBytes,7.97,Mbits/sec,1.203,ms,0/688,0%
2.00-3.00,sec,981,KBytes,8.04,Mbits/sec,1.164,ms,0/694,0%
3.00-4.00,sec,976,KBytes,7.99,Mbits/sec,1.053,ms,0/690,0%
4.00-5.00,sec,979,KBytes,8.02,Mbits/sec,1.154,ms,0/692,0%
5.00-6.00,sec,974,KBytes,7.98,Mbits/sec,1.293,ms,0/689,0%
6.00-7.00,sec,979,KBytes,8.02,Mbits/sec,1.057,ms,0/692,0%
7.00-8.00,sec,976,KBytes,7.99,Mbits/sec,0.953,ms,0/690,0%
8.00-9.00,sec,977,KBytes,8,Mbits/sec,0.329,ms,0/691,0%
9.00-10.00,sec,976,KBytes,7.99,Mbits/sec,0.948,ms,0/690,0%
10.00-11.00,sec,977,KBytes,8,Mbits/sec,1.148,ms,0/691,0%
11.00-12.00,sec,969,KBytes,7.93,Mbits/sec,1.53,ms,0/685,0%
12.00-13.00,sec,984,KBytes,8.06,Mbits/sec,0.655,ms,0/696,0%
13.00-14.00,sec,970,KBytes,7.95,Mbits/sec,1.011,ms,0/686,0%
14.00-15.00,sec,976,KBytes,7.99,Mbits/sec,1.283,ms,0/690,0%
15.00-16.00,sec,984,KBytes,8.06,Mbits/sec,1.054,ms,0/696,0%
16.00-17.00,sec,974,KBytes,7.98,Mbits/sec,1.031,ms,0/689,0%
17.00-18.00,sec,977,KBytes,8,Mbits/sec,1.364,ms,0/691,0%
18.00-19.00,sec,979,KBytes,8.02,Mbits/sec,0.802,ms,0/692,0%
19.00-20.00,sec,974,KBytes,7.98,Mbits/sec,1.3,ms,0/689,0%
20.00-21.00,sec,979,KBytes,8.02,Mbits/sec,1.134,ms,0/692,0%
21.00-22.00,sec,976,KBytes,7.99,Mbits/sec,1.063,ms,0/690,0%
22.00-23.00,sec,977,KBytes,8,Mbits/sec,1.452,ms,0/691,0%
23.00-24.00,sec,970,KBytes,7.95,Mbits/sec,0.827,ms,0/686,0%
24.00-25.00,sec,983,KBytes,8.05,Mbits/sec,1.129,ms,0/695,0%
25.00-26.00,sec,977,KBytes,8,Mbits/sec,0.945,ms,0/691,0%
26.00-27.00,sec,973,KBytes,7.97,Mbits/sec,1.22,ms,0/688,0%
27.00-28.00,sec,973,KBytes,7.97,Mbits/sec,0.971,ms,0/688,0%
28.00-29.00,sec,983,KBytes,8.05,Mbits/sec,0.969,ms,0/695,0%
29.00-30.00,sec,976,KBytes,7.99,Mbits/sec,1.17,ms,0/690,0%
30.00-31.00,sec,979,KBytes,8.02,Mbits/sec,1.264,ms,0/692,0%
31.00-32.00,sec,977,KBytes,8,Mbits/sec,0.915,ms,0/691,0%
32.00-33.00,sec,973,KBytes,7.97,Mbits/sec,1.622,ms,0/688,0%
33.00-34.00,sec,977,KBytes,8,Mbits/sec,1.21,ms,0/691,0%
34.00-35.00,sec,980,KBytes,8.03,Mbits/sec,1.065,ms,0/693,0%
35.00-36.00,sec,976,KBytes,7.99,Mbits/sec,1.265,ms,0/690,0%
36.00-37.00,sec,976,KBytes,7.99,Mbits/sec,1.079,ms,0/690,0%
37.00-38.00,sec,971,KBytes,7.96,Mbits/sec,1.052,ms,0/687,0%
38.00-39.00,sec,983,KBytes,8.05,Mbits/sec,1.091,ms,0/695,0%
39.00-40.00,sec,974,KBytes,7.98,Mbits/sec,1.276,ms,0/689,0%
40.00-41.00,sec,974,KBytes,7.98,Mbits/sec,1.064,ms,0/689,0%
41.00-42.00,sec,981,KBytes,8.04,Mbits/sec,1.114,ms,0/694,0%
42.00-43.00,sec,974,KBytes,7.98,Mbits/sec,1.141,ms,0/689,0%
43.00-44.00,sec,976,KBytes,7.99,Mbits/sec,1.235,ms,0/690,0%
44.00-45.00,sec,979,KBytes,8.02,Mbits/sec,1.361,ms,0/692,0%
45.00-46.00,sec,971,KBytes,7.96,Mbits/sec,0.985,ms,0/687,0%
46.00-47.00,sec,980,KBytes,8.03,Mbits/sec,1.143,ms,0/693,0%
47.00-48.00,sec,980,KBytes,8.03,Mbits/sec,1.354,ms,0/693,0%
48.00-49.00,sec,976,KBytes,7.99,Mbits/sec,1.134,ms,0/690,0%
49.00-50.00,sec,977,KBytes,8,Mbits/sec,0.959,ms,0/691,0%
50.00-51.00,sec,974,KBytes,7.98,Mbits/sec,1.188,ms,0/689,0%
51.00-52.00,sec,977,KBytes,8,Mbits/sec,1.144,ms,0/691,0%
52.00-53.00,sec,976,KBytes,7.99,Mbits/sec,0.876,ms,0/690,0%
53.00-54.00,sec,973,KBytes,7.97,Mbits/sec,1.405,ms,0/688,0%
54.00-55.00,sec,983,KBytes,8.05,Mbits/sec,1.192,ms,0/695,0%
55.00-56.00,sec,976,KBytes,7.99,Mbits/sec,0.765,ms,0/690,0%
56.00-57.00,sec,976,KBytes,7.99,Mbits/sec,1.258,ms,0/690,0%
57.00-58.00,sec,979,KBytes,8.02,Mbits/sec,1.302,ms,0/692,0%
58.00-59.00,sec,976,KBytes,7.99,Mbits/sec,1.03,ms,0/690,0%
59.00-60.00,sec,977,KBytes,8,Mbits/sec,1.167,ms,0/691,0%
60.00-61.00,sec,976,KBytes,7.99,Mbits/sec,1.172,ms,0/690,0%
61.00-62.00,sec,974,KBytes,7.98,Mbits/sec,1.232,ms,0/689,0%
62.00-63.00,sec,974,KBytes,7.98,Mbits/sec,1.315,ms,0/689,0%
63.00-64.00,sec,981,KBytes,8.04,Mbits/sec,0.627,ms,0/694,0%
64.00-65.00,sec,977,KBytes,8,Mbits/sec,1.296,ms,0/691,0%
65.00-66.00,sec,971,KBytes,7.96,Mbits/sec,1.444,ms,0/687,0%
66.00-67.00,sec,981,KBytes,8.04,Mbits/sec,0.344,ms,0/694,0%
67.00-68.00,sec,976,KBytes,7.99,Mbits/sec,1.364,ms,0/690,0%
68.00-69.00,sec,977,KBytes,8,Mbits/sec,1.294,ms,0/691,0%
69.00-70.00,sec,976,KBytes,7.99,Mbits/sec,1.007,ms,0/690,0%
70.00-70.01,sec,1.41,KBytes,1.58,Mbits/sec,1.446,ms,0/1 (,0%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-70.01,sec,66.8,MBytes,8,Mbits/sec,1.446,ms,0/483,41 (0%)  receiver
