Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,1.89,MBytes,15.9,Mbits/sec,0.612,ms,0/1371,0%
1.00-2.00,sec,1.91,MBytes,16,Mbits/sec,0.494,ms,0/1381,0%
2.00-3.00,sec,1.9,MBytes,16,Mbits/sec,0.592,ms,0/1379,0%
3.00-4.00,sec,1.89,MBytes,15.9,Mbits/sec,0.693,ms,0/1372,0%
4.00-5.00,sec,1.92,MBytes,16.1,Mbits/sec,0.313,ms,0/1389,0%
5.00-6.00,sec,1.91,MBytes,16,Mbits/sec,0.421,ms,0/1381,0%
6.00-7.00,sec,1.9,MBytes,15.9,Mbits/sec,0.64,ms,0/1375,0%
7.00-8.00,sec,1.88,MBytes,15.8,Mbits/sec,1.322,ms,0/1365,0%
8.00-9.00,sec,1.94,MBytes,16.3,Mbits/sec,0.431,ms,0/1403,0%
9.00-10.00,sec,1.91,MBytes,16,Mbits/sec,0.275,ms,0/1384,0%
10.00-11.00,sec,1.88,MBytes,15.8,Mbits/sec,1.096,ms,0/1363,0%
11.00-12.00,sec,1.93,MBytes,16.2,Mbits/sec,0.304,ms,0/1401,0%
12.00-13.00,sec,1.91,MBytes,16,Mbits/sec,0.485,ms,0/1381,0%
13.00-14.00,sec,1.9,MBytes,16,Mbits/sec,0.369,ms,0/1379,0%
14.00-15.00,sec,1.91,MBytes,16,Mbits/sec,0.395,ms,0/1380,0%
15.00-16.00,sec,1.91,MBytes,16,Mbits/sec,0.369,ms,0/1385,0%
16.00-17.00,sec,1.87,MBytes,15.7,Mbits/sec,1.109,ms,0/1356,0%
17.00-18.00,sec,1.94,MBytes,16.3,Mbits/sec,0.347,ms,0/1403,0%
18.00-19.00,sec,1.91,MBytes,16,Mbits/sec,0.272,ms,0/1382,0%
19.00-20.00,sec,1.88,MBytes,15.8,Mbits/sec,0.652,ms,0/1362,0%
20.00-21.00,sec,1.91,MBytes,16,Mbits/sec,1.134,ms,0/1382,0%
21.00-22.00,sec,1.94,MBytes,16.2,Mbits/sec,0.229,ms,0/1402,0%
22.00-23.00,sec,1.91,MBytes,16,Mbits/sec,0.291,ms,0/1382,0%
23.00-24.00,sec,1.89,MBytes,15.9,Mbits/sec,0.786,ms,0/1370,0%
24.00-25.00,sec,1.92,MBytes,16.1,Mbits/sec,0.502,ms,0/1392,0%
25.00-26.00,sec,1.91,MBytes,16,Mbits/sec,0.604,ms,0/1381,0%
26.00-27.00,sec,1.91,MBytes,16,Mbits/sec,0.271,ms,0/1381,0%
27.00-28.00,sec,1.91,MBytes,16,Mbits/sec,0.21,ms,0/1382,0%
28.00-29.00,sec,1.91,MBytes,16,Mbits/sec,0.391,ms,0/1381,0%
29.00-30.00,sec,1.88,MBytes,15.7,Mbits/sec,0.836,ms,0/1359,0%
30.00-31.00,sec,1.94,MBytes,16.2,Mbits/sec,0.446,ms,0/1402,0%
31.00-32.00,sec,1.91,MBytes,16,Mbits/sec,0.361,ms,0/1382,0%
32.00-33.00,sec,1.86,MBytes,15.6,Mbits/sec,1.17,ms,0/1350,0%
33.00-34.00,sec,1.95,MBytes,16.4,Mbits/sec,0.356,ms,0/1413,0%
34.00-35.00,sec,1.91,MBytes,16,Mbits/sec,0.521,ms,0/1381,0%
35.00-36.00,sec,1.91,MBytes,16,Mbits/sec,0.263,ms,0/1381,0%
36.00-37.00,sec,1.91,MBytes,16,Mbits/sec,0.22,ms,0/1382,0%
37.00-38.00,sec,1.91,MBytes,16,Mbits/sec,0.253,ms,0/1380,0%
38.00-39.00,sec,1.91,MBytes,16,Mbits/sec,0.243,ms,0/1382,0%
39.00-40.00,sec,1.89,MBytes,15.8,Mbits/sec,0.922,ms,0/1366,0%
40.00-41.00,sec,1.92,MBytes,16.1,Mbits/sec,0.362,ms,0/1393,0%
41.00-42.00,sec,1.89,MBytes,15.9,Mbits/sec,0.606,ms,0/1370,0%
42.00-43.00,sec,1.93,MBytes,16.2,Mbits/sec,0.364,ms,0/1395,0%
43.00-44.00,sec,1.91,MBytes,16,Mbits/sec,0.234,ms,0/1382,0%
44.00-45.00,sec,1.89,MBytes,15.9,Mbits/sec,0.636,ms,0/1372,0%
45.00-46.00,sec,1.9,MBytes,16,Mbits/sec,0.684,ms,0/1379,0%
46.00-47.00,sec,1.92,MBytes,16.1,Mbits/sec,0.46,ms,0/1389,0%
47.00-48.00,sec,1.91,MBytes,16,Mbits/sec,0.318,ms,0/1385,0%
48.00-49.00,sec,1.91,MBytes,16,Mbits/sec,0.454,ms,0/1381,0%
49.00-50.00,sec,1.91,MBytes,16,Mbits/sec,0.209,ms,0/1380,0%
50.00-51.00,sec,1.91,MBytes,16,Mbits/sec,0.346,ms,0/1383,0%
51.00-52.00,sec,1.89,MBytes,15.8,Mbits/sec,0.914,ms,0/1368,0%
52.00-53.00,sec,1.9,MBytes,16,Mbits/sec,0.889,ms,0/1379,0%
53.00-54.00,sec,1.93,MBytes,16.2,Mbits/sec,0.461,ms,0/1396,0%
54.00-55.00,sec,1.87,MBytes,15.7,Mbits/sec,1.024,ms,0/1353,0%
55.00-56.00,sec,1.94,MBytes,16.3,Mbits/sec,0.509,ms,0/1406,0%
56.00-57.00,sec,1.91,MBytes,16,Mbits/sec,0.177,ms,0/1385,0%
57.00-58.00,sec,1.89,MBytes,15.9,Mbits/sec,0.663,ms,0/1369,0%
58.00-59.00,sec,1.92,MBytes,16.1,Mbits/sec,0.589,ms,0/1390,0%
