Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.11,MBytes,17.7,Mbits/sec,0.765,ms,0/1525,0%
1.00-2.00,sec,2.17,MBytes,18.2,Mbits/sec,0.211,ms,0/1569,0%
2.00-3.00,sec,2.15,MBytes,18,Mbits/sec,0.203,ms,0/1557,0%
3.00-4.00,sec,2.13,MBytes,17.8,Mbits/sec,0.895,ms,0/1539,0%
4.00-5.00,sec,2.17,MBytes,18.2,Mbits/sec,0.186,ms,0/1569,0%
5.00-6.00,sec,2.15,MBytes,18,Mbits/sec,0.213,ms,0/1554,0%
6.00-7.00,sec,2.1,MBytes,17.6,Mbits/sec,0.798,ms,0/1520,0%
7.00-8.00,sec,2.17,MBytes,18.2,Mbits/sec,0.802,ms,0/1570,0%
8.00-9.00,sec,2.17,MBytes,18.2,Mbits/sec,0.337,ms,0/1573,0%
9.00-10.00,sec,2.14,MBytes,18,Mbits/sec,0.326,ms,0/1552,0%
10.00-11.00,sec,2.15,MBytes,18,Mbits/sec,0.303,ms,0/1554,0%
11.00-12.00,sec,2.13,MBytes,17.9,Mbits/sec,0.887,ms,0/1543,0%
12.00-13.00,sec,2.13,MBytes,17.8,Mbits/sec,1.218,ms,0/1539,0%
13.00-14.00,sec,2.18,MBytes,18.3,Mbits/sec,0.32,ms,0/1580,0%
14.00-15.00,sec,2.15,MBytes,18,Mbits/sec,0.302,ms,0/1554,0%
15.00-16.00,sec,2.15,MBytes,18,Mbits/sec,0.307,ms,0/1554,0%
16.00-17.00,sec,2.15,MBytes,18,Mbits/sec,0.356,ms,0/1555,0%
17.00-18.00,sec,2.14,MBytes,18,Mbits/sec,0.199,ms,0/1550,0%
18.00-19.00,sec,2.15,MBytes,18,Mbits/sec,0.375,ms,0/1556,0%
19.00-20.00,sec,2.15,MBytes,18,Mbits/sec,0.339,ms,0/1554,0%
20.00-21.00,sec,2.14,MBytes,18,Mbits/sec,0.771,ms,0/1553,0%
21.00-22.00,sec,2.15,MBytes,18,Mbits/sec,0.21,ms,0/1555,0%
22.00-23.00,sec,2.11,MBytes,17.7,Mbits/sec,0.879,ms,0/1526,0%
23.00-24.00,sec,2.17,MBytes,18.2,Mbits/sec,0.672,ms,0/1573,0%
24.00-25.00,sec,2.13,MBytes,17.9,Mbits/sec,0.509,ms,0/1545,0%
25.00-26.00,sec,2.15,MBytes,18,Mbits/sec,0.682,ms,0/1557,0%
26.00-27.00,sec,2.16,MBytes,18.1,Mbits/sec,0.667,ms,0/1563,0%
27.00-28.00,sec,2.15,MBytes,18.1,Mbits/sec,0.235,ms,0/1559,0%
28.00-29.00,sec,2.14,MBytes,18,Mbits/sec,0.576,ms,0/1552,0%
29.00-30.00,sec,2.13,MBytes,17.9,Mbits/sec,0.68,ms,0/1543,0%
30.00-31.00,sec,2.16,MBytes,18.1,Mbits/sec,0.353,ms,0/1565,0%
31.00-32.00,sec,2.14,MBytes,18,Mbits/sec,0.559,ms,0/1551,0%
32.00-33.00,sec,2.15,MBytes,18,Mbits/sec,0.566,ms,0/1558,0%
33.00-34.00,sec,2.15,MBytes,18,Mbits/sec,0.314,ms,0/1554,0%
34.00-35.00,sec,2.15,MBytes,18,Mbits/sec,0.312,ms,0/1554,0%
35.00-36.00,sec,2.13,MBytes,17.8,Mbits/sec,0.852,ms,0/1540,0%
36.00-37.00,sec,2.16,MBytes,18.1,Mbits/sec,0.278,ms,0/1563,0%
37.00-38.00,sec,2.15,MBytes,18,Mbits/sec,0.6,ms,0/1555,0%
38.00-39.00,sec,2.15,MBytes,18,Mbits/sec,0.233,ms,0/1558,0%
39.00-40.00,sec,2.15,MBytes,18,Mbits/sec,0.293,ms,0/1554,0%
40.00-41.00,sec,2.13,MBytes,17.9,Mbits/sec,0.587,ms,0/1546,0%
41.00-42.00,sec,2.16,MBytes,18.1,Mbits/sec,0.348,ms,0/1561,0%
42.00-43.00,sec,2.12,MBytes,17.8,Mbits/sec,0.923,ms,0/1534,0%
43.00-44.00,sec,2.17,MBytes,18.2,Mbits/sec,0.389,ms,0/1574,0%
44.00-45.00,sec,2.13,MBytes,17.9,Mbits/sec,0.635,ms,0/1544,0%
45.00-46.00,sec,2.13,MBytes,17.8,Mbits/sec,0.803,ms,0/1540,0%
46.00-47.00,sec,2.18,MBytes,18.3,Mbits/sec,0.221,ms,0/1577,0%
47.00-48.00,sec,2.15,MBytes,18,Mbits/sec,0.306,ms,0/1554,0%
48.00-49.00,sec,2.12,MBytes,17.8,Mbits/sec,0.783,ms,0/1534,0%
49.00-50.00,sec,2.17,MBytes,18.2,Mbits/sec,0.602,ms,0/1574,0%
50.00-51.00,sec,2.13,MBytes,17.9,Mbits/sec,0.587,ms,0/1544,0%
51.00-52.00,sec,2.16,MBytes,18.1,Mbits/sec,0.218,ms,0/1564,0%
52.00-53.00,sec,2.14,MBytes,17.9,Mbits/sec,0.163,ms,0/1549,0%
53.00-54.00,sec,2.15,MBytes,18.1,Mbits/sec,0.329,ms,0/1559,0%
54.00-55.00,sec,2.11,MBytes,17.7,Mbits/sec,1.14,ms,0/1530,0%
55.00-56.00,sec,2.15,MBytes,18,Mbits/sec,0.841,ms,0/1557,0%
56.00-57.00,sec,2.17,MBytes,18.2,Mbits/sec,0.309,ms,0/1574,0%
57.00-58.00,sec,2.13,MBytes,17.9,Mbits/sec,0.512,ms,0/1546,0%
58.00-59.00,sec,2.13,MBytes,17.9,Mbits/sec,1.024,ms,0/1542,0%
59.00-60.00,sec,2.17,MBytes,18.2,Mbits/sec,0.399,ms,0/1570,0%
60.00-61.00,sec,2.14,MBytes,17.9,Mbits/sec,0.618,ms,0/1549,0%
61.00-62.00,sec,2.16,MBytes,18.1,Mbits/sec,0.494,ms,0/1564,0%
62.00-63.00,sec,2.14,MBytes,17.9,Mbits/sec,0.48,ms,0/1549,0%
63.00-64.00,sec,2.15,MBytes,18,Mbits/sec,0.586,ms,0/1557,0%
64.00-65.00,sec,2.12,MBytes,17.8,Mbits/sec,0.993,ms,0/1537,0%
65.00-66.00,sec,2.17,MBytes,18.2,Mbits/sec,0.252,ms,0/1572,0%
66.00-67.00,sec,2.14,MBytes,17.9,Mbits/sec,0.596,ms,0/1548,0%
67.00-68.00,sec,2.11,MBytes,17.7,Mbits/sec,1.414,ms,0/1530,0%
68.00-69.00,sec,2.19,MBytes,18.3,Mbits/sec,0.323,ms,0/1583,0%
69.00-70.00,sec,2.15,MBytes,18,Mbits/sec,0.475,ms,0/1554,0%
70.00-71.00,sec,2.12,MBytes,17.8,Mbits/sec,0.892,ms,0/1537,0%
71.00-72.00,sec,2.15,MBytes,18,Mbits/sec,0.856,ms,0/1556,0%
72.00-73.00,sec,2.16,MBytes,18.1,Mbits/sec,0.595,ms,0/1564,0%
73.00-74.00,sec,2.13,MBytes,17.9,Mbits/sec,0.577,ms,0/1545,0%
74.00-75.00,sec,2.16,MBytes,18.2,Mbits/sec,0.434,ms,0/1567,0%
75.00-75.01,sec,11.3,KBytes,7.29,Mbits/sec,0.804,ms,0/8 (0,%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,161,MBytes,18,Mbits/sec,0.804,ms,0/1165,38 (0%)  receiver
