Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.78,MBytes,23.3,Mbits/sec,0.801,ms,0/2011,0%
1.00-2.00,sec,3.43,MBytes,28.7,Mbits/sec,0.668,ms,0/2481,0%
2.00-3.00,sec,3.66,MBytes,30.7,Mbits/sec,0.579,ms,0/2653,0%
3.00-4.00,sec,3.58,MBytes,30.1,Mbits/sec,0.548,ms,0/2595,0%
4.00-5.00,sec,3.52,MBytes,29.5,Mbits/sec,0.509,ms,0/2551,0%
5.00-6.00,sec,3.66,MBytes,30.7,Mbits/sec,0.558,ms,0/2653,0%
6.00-7.00,sec,3.64,MBytes,30.5,Mbits/sec,0.663,ms,0/2634,0%
7.00-8.00,sec,3.65,MBytes,30.6,Mbits/sec,0.523,ms,0/2642,0%
8.00-9.00,sec,3.59,MBytes,30.1,Mbits/sec,0.607,ms,0/2602,0%
9.00-10.00,sec,3.47,MBytes,29.1,Mbits/sec,0.783,ms,0/2514,0%
10.00-11.00,sec,3.64,MBytes,30.5,Mbits/sec,0.493,ms,0/2637,0%
11.00-12.00,sec,3.62,MBytes,30.3,Mbits/sec,0.701,ms,0/2619,0%
12.00-13.00,sec,3.59,MBytes,30.1,Mbits/sec,0.623,ms,0/2602,0%
13.00-14.00,sec,3.73,MBytes,31.3,Mbits/sec,0.78,ms,0/2698,0%
14.00-15.00,sec,3.67,MBytes,30.8,Mbits/sec,0.604,ms,0/2656,0%
15.00-16.00,sec,3.49,MBytes,29.3,Mbits/sec,0.606,ms,0/2526,0%
16.00-17.00,sec,3.72,MBytes,31.2,Mbits/sec,0.496,ms,0/2695,0%
17.00-18.00,sec,3.62,MBytes,30.3,Mbits/sec,0.757,ms,0/2618,0%
18.00-19.00,sec,3.57,MBytes,30,Mbits/sec,0.541,ms,0/2586,0%
19.00-20.00,sec,3.57,MBytes,29.9,Mbits/sec,1.101,ms,0/2583,0%
20.00-21.00,sec,3.69,MBytes,31,Mbits/sec,0.596,ms,0/2675,0%
21.00-22.00,sec,3.62,MBytes,30.4,Mbits/sec,0.701,ms,0/2625,0%
22.00-23.00,sec,3.52,MBytes,29.5,Mbits/sec,0.52,ms,0/2549,0%
23.00-24.00,sec,3.62,MBytes,30.3,Mbits/sec,0.769,ms,0/2620,0%
24.00-25.00,sec,3.52,MBytes,29.5,Mbits/sec,0.661,ms,0/2547,0%
25.00-26.00,sec,3.55,MBytes,29.8,Mbits/sec,0.599,ms,0/2569,0%
26.00-27.00,sec,3.39,MBytes,28.4,Mbits/sec,0.654,ms,0/2455,0%
27.00-28.00,sec,3.55,MBytes,29.8,Mbits/sec,0.575,ms,0/2574,0%
28.00-29.00,sec,3.47,MBytes,29.1,Mbits/sec,0.565,ms,0/2512,0%
29.00-30.00,sec,3.64,MBytes,30.5,Mbits/sec,0.625,ms,0/2636,0%
30.00-31.00,sec,3.63,MBytes,30.4,Mbits/sec,0.51,ms,0/2628,0%
31.00-32.00,sec,3.43,MBytes,28.8,Mbits/sec,0.639,ms,0/2485,0%
32.00-33.00,sec,3.46,MBytes,29,Mbits/sec,0.827,ms,0/2504,0%
33.00-34.00,sec,3.6,MBytes,30.2,Mbits/sec,0.654,ms,0/2607,0%
34.00-35.00,sec,3.54,MBytes,29.7,Mbits/sec,0.781,ms,0/2560,0%
35.00-36.00,sec,3.38,MBytes,28.4,Mbits/sec,0.783,ms,0/2448,0%
36.00-37.00,sec,3.12,MBytes,26.1,Mbits/sec,0.585,ms,0/2257,0%
37.00-38.00,sec,3.35,MBytes,28.1,Mbits/sec,0.484,ms,0/2428,0%
38.00-39.00,sec,3.63,MBytes,30.5,Mbits/sec,0.499,ms,0/2632,0%
39.00-40.00,sec,3.69,MBytes,30.9,Mbits/sec,0.539,ms,0/2671,0%
40.00-41.00,sec,3.54,MBytes,29.7,Mbits/sec,0.55,ms,0/2560,0%
41.00-42.00,sec,3.54,MBytes,29.7,Mbits/sec,0.516,ms,0/2560,0%
42.00-43.00,sec,3.51,MBytes,29.4,Mbits/sec,0.623,ms,0/2540,0%
43.00-44.00,sec,3.25,MBytes,27.3,Mbits/sec,0.786,ms,0/2356,0%
44.00-45.00,sec,3.46,MBytes,29,Mbits/sec,0.425,ms,0/2505,0%
45.00-46.00,sec,3.6,MBytes,30.2,Mbits/sec,0.678,ms,0/2609,0%
46.00-47.00,sec,3.63,MBytes,30.4,Mbits/sec,0.655,ms,0/2627,0%
47.00-48.01,sec,3.63,MBytes,30.3,Mbits/sec,1.232,ms,0/2626,0%
48.01-49.00,sec,3.66,MBytes,30.8,Mbits/sec,0.542,ms,0/2648,0%
49.00-50.00,sec,3.59,MBytes,30.1,Mbits/sec,0.855,ms,0/2597,0%
50.00-51.00,sec,3.53,MBytes,29.6,Mbits/sec,0.489,ms,0/2557,0%
51.00-52.00,sec,3.25,MBytes,27.2,Mbits/sec,0.864,ms,0/2350,0%
52.00-53.00,sec,3.68,MBytes,30.9,Mbits/sec,0.585,ms,0/2667,0%
53.00-54.00,sec,3.58,MBytes,30,Mbits/sec,0.975,ms,0/2592,0%
54.00-55.00,sec,3.51,MBytes,29.4,Mbits/sec,0.605,ms,0/2539,0%
55.00-56.00,sec,3.59,MBytes,30.1,Mbits/sec,0.641,ms,0/2598,0%
56.00-57.00,sec,3.59,MBytes,30.2,Mbits/sec,0.614,ms,0/2603,0%
57.00-58.00,sec,3.17,MBytes,26.6,Mbits/sec,1.207,ms,0/2293,0%
58.00-59.00,sec,3.32,MBytes,27.9,Mbits/sec,0.523,ms,0/2405,0%
59.00-60.00,sec,3.34,MBytes,28,Mbits/sec,0.655,ms,0/2416,0%
60.00-61.00,sec,3.44,MBytes,28.8,Mbits/sec,0.678,ms,0/2490,0%
61.00-62.00,sec,3.45,MBytes,28.9,Mbits/sec,0.672,ms,0/2495,0%
62.00-63.00,sec,3.28,MBytes,27.5,Mbits/sec,0.642,ms,0/2377,0%
63.00-64.00,sec,2.91,MBytes,24.4,Mbits/sec,3.14,ms,0/2108,0%
64.00-65.00,sec,3.24,MBytes,27.2,Mbits/sec,0.517,ms,0/2349,0%
65.00-66.00,sec,3.58,MBytes,30,Mbits/sec,0.716,ms,0/2590,0%
66.00-67.00,sec,3.59,MBytes,30.1,Mbits/sec,0.523,ms,0/2598,0%
67.00-68.00,sec,3.54,MBytes,29.7,Mbits/sec,0.817,ms,0/2564,0%
68.00-69.00,sec,3.22,MBytes,27,Mbits/sec,0.599,ms,0/2334,0%
69.00-70.00,sec,3.49,MBytes,29.3,Mbits/sec,0.679,ms,0/2527,0%
70.00-71.00,sec,3.59,MBytes,30.1,Mbits/sec,0.539,ms,0/2599,0%
71.00-72.00,sec,3.61,MBytes,30.3,Mbits/sec,0.693,ms,0/2616,0%
72.00-73.00,sec,3.63,MBytes,30.4,Mbits/sec,0.72,ms,0/2626,0%
73.00-74.00,sec,3.36,MBytes,28.1,Mbits/sec,1.438,ms,0/2430,0%
74.00-75.01,sec,3.59,MBytes,29.9,Mbits/sec,1.048,ms,0/2598,0%
75.01-75.05,sec,198,KBytes,37.4,Mbits/sec,0.486,ms,0/140,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.05,sec,263,MBytes,29.4,Mbits/sec,0.486,ms,0/1906,27 (0%)  receiver
