Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
67.00-68.00,sec,3.5,MBytes,29.4,Mbits/sec,0.648,ms,0/2536,0%
68.00-69.00,sec,3.24,MBytes,27.2,Mbits/sec,1.219,ms,0/2349,0%
69.00-70.00,sec,3.16,MBytes,26.5,Mbits/sec,0.79,ms,0/2286,0%
70.00-71.00,sec,3.62,MBytes,30.4,Mbits/sec,0.719,ms,0/2623,0%
71.00-72.00,sec,3.08,MBytes,25.9,Mbits/sec,0.84,ms,0/2232,0%
72.00-73.00,sec,2.99,MBytes,25.1,Mbits/sec,0.65,ms,0/2164,0%
73.00-74.00,sec,3,MBytes,25.1,Mbits/sec,0.771,ms,0/2169,0%
74.00-75.00,sec,3.77,MBytes,31.7,Mbits/sec,0.623,ms,0/2733,0%
75.00-75.04,sec,160,KBytes,30.8,Mbits/sec,0.547,ms,0/113,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.04,sec,245,MBytes,27.3,Mbits/sec,0.547,ms,0/1771,36 (0%)  receiver
