Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,3.03,MBytes,25.4,Mbits/sec,0.928,ms,0/2196,0%
1.00-2.00,sec,3.34,MBytes,28,Mbits/sec,0.614,ms,0/2418,0%
2.00-3.00,sec,3.51,MBytes,29.5,Mbits/sec,0.655,ms,0/2545,0%
3.00-4.00,sec,3.32,MBytes,27.9,Mbits/sec,0.675,ms,0/2405,0%
4.00-5.00,sec,3.33,MBytes,28,Mbits/sec,0.71,ms,0/2414,0%
5.00-6.00,sec,3.5,MBytes,29.4,Mbits/sec,0.637,ms,0/2538,0%
6.00-7.00,sec,3.45,MBytes,28.9,Mbits/sec,0.658,ms,0/2499,0%
7.00-8.00,sec,3.24,MBytes,27.2,Mbits/sec,0.538,ms,0/2344,0%
8.00-9.00,sec,3.41,MBytes,28.6,Mbits/sec,0.749,ms,0/2471,0%
9.00-10.00,sec,3.24,MBytes,27.2,Mbits/sec,0.647,ms,0/2345,0%
10.00-11.00,sec,2.75,MBytes,23,Mbits/sec,0.548,ms,0/1989,0%
11.00-12.00,sec,3.55,MBytes,29.8,Mbits/sec,0.587,ms,0/2572,0%
12.00-13.00,sec,2.79,MBytes,23.4,Mbits/sec,0.916,ms,0/2017,0%
13.00-14.00,sec,3.48,MBytes,29.2,Mbits/sec,0.612,ms,0/2522,0%
14.00-15.00,sec,3.59,MBytes,30.1,Mbits/sec,0.745,ms,0/2597,0%
15.00-16.00,sec,3.28,MBytes,27.5,Mbits/sec,0.577,ms,0/2372,0%
16.00-17.00,sec,3.54,MBytes,29.7,Mbits/sec,0.816,ms,0/2561,0%
17.00-18.00,sec,3.65,MBytes,30.6,Mbits/sec,0.531,ms,0/2643,0%
18.00-19.00,sec,3.29,MBytes,27.6,Mbits/sec,0.691,ms,0/2385,0%
19.00-20.00,sec,3.49,MBytes,29.3,Mbits/sec,0.506,ms,0/2528,0%
20.00-21.00,sec,3.75,MBytes,31.5,Mbits/sec,0.65,ms,0/2715,0%
21.00-22.00,sec,3.39,MBytes,28.4,Mbits/sec,0.606,ms,0/2453,0%
22.00-23.00,sec,3.57,MBytes,30,Mbits/sec,0.633,ms,0/2587,0%
23.00-24.00,sec,3.44,MBytes,28.9,Mbits/sec,0.649,ms,0/2492,0%
24.00-25.00,sec,3.4,MBytes,28.5,Mbits/sec,0.725,ms,0/2459,0%
25.00-26.00,sec,3.34,MBytes,28,Mbits/sec,0.649,ms,0/2417,0%
26.00-27.00,sec,3.49,MBytes,29.2,Mbits/sec,0.645,ms,0/2524,0%
27.00-28.00,sec,3.44,MBytes,28.9,Mbits/sec,0.823,ms,0/2493,0%
28.00-29.01,sec,3.35,MBytes,27.9,Mbits/sec,1.808,ms,0/2429,0%
29.01-30.00,sec,3.43,MBytes,29,Mbits/sec,0.567,ms,0/2487,0%
30.00-31.00,sec,3.52,MBytes,29.5,Mbits/sec,0.683,ms,0/2547,0%
31.00-32.00,sec,3.54,MBytes,29.7,Mbits/sec,0.872,ms,0/2564,0%
32.00-33.00,sec,3.32,MBytes,27.8,Mbits/sec,0.684,ms,0/2402,0%
33.00-34.00,sec,3.41,MBytes,28.6,Mbits/sec,0.76,ms,0/2468,0%
34.00-35.00,sec,3.21,MBytes,26.9,Mbits/sec,0.624,ms,0/2321,0%
35.00-36.00,sec,3.26,MBytes,27.4,Mbits/sec,0.682,ms,0/2361,0%
36.00-37.00,sec,3.62,MBytes,30.4,Mbits/sec,0.718,ms,0/2624,0%
37.00-38.00,sec,3.3,MBytes,27.7,Mbits/sec,0.703,ms,0/2391,0%
38.00-39.00,sec,3.52,MBytes,29.5,Mbits/sec,0.534,ms,0/2547,0%
39.00-40.00,sec,3.5,MBytes,29.4,Mbits/sec,0.69,ms,0/2538,0%
40.00-41.00,sec,3.43,MBytes,28.7,Mbits/sec,1.134,ms,0/2481,0%
41.00-42.00,sec,3.68,MBytes,30.9,Mbits/sec,0.766,ms,0/2667,0%
42.00-43.00,sec,3.73,MBytes,31.3,Mbits/sec,0.742,ms,0/2704,0%
43.00-44.00,sec,3.38,MBytes,28.4,Mbits/sec,0.659,ms,0/2448,0%
44.00-45.00,sec,3.53,MBytes,29.6,Mbits/sec,0.958,ms,0/2554,0%
45.00-46.00,sec,3.28,MBytes,27.5,Mbits/sec,1.336,ms,0/2372,0%
46.00-47.00,sec,2.74,MBytes,23,Mbits/sec,0.617,ms,0/1984,0%
47.00-48.00,sec,2.91,MBytes,24.4,Mbits/sec,0.78,ms,0/2106,0%
48.00-49.00,sec,3.12,MBytes,26.2,Mbits/sec,0.536,ms,0/2258,0%
49.00-50.00,sec,3.39,MBytes,28.4,Mbits/sec,0.576,ms,0/2455,0%
50.00-51.00,sec,3.12,MBytes,26.1,Mbits/sec,1.147,ms,0/2257,0%
51.00-52.00,sec,3.06,MBytes,25.7,Mbits/sec,0.627,ms,0/2216,0%
52.00-53.00,sec,3.2,MBytes,26.8,Mbits/sec,0.732,ms,0/2314,0%
53.00-54.00,sec,3.41,MBytes,28.6,Mbits/sec,0.518,ms,0/2471,0%
54.00-55.00,sec,3.65,MBytes,30.6,Mbits/sec,0.524,ms,0/2640,0%
55.00-56.00,sec,3.42,MBytes,28.7,Mbits/sec,0.603,ms,0/2480,0%
56.00-57.00,sec,3.52,MBytes,29.6,Mbits/sec,0.556,ms,0/2551,0%
57.00-58.00,sec,3.33,MBytes,27.9,Mbits/sec,0.451,ms,0/2408,0%
58.00-59.00,sec,3.02,MBytes,25.3,Mbits/sec,0.559,ms,0/2184,0%
59.00-60.00,sec,3.21,MBytes,26.9,Mbits/sec,1.069,ms,0/2325,0%
60.00-61.00,sec,3.33,MBytes,27.9,Mbits/sec,0.656,ms,0/2410,0%
61.00-62.01,sec,3.42,MBytes,28.5,Mbits/sec,1.101,ms,0/2475,0%
