Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.94,MBytes,24.7,Mbits/sec,1.517,ms,0/2129,0%
1.00-2.00,sec,3.01,MBytes,25.2,Mbits/sec,0.748,ms,0/2179,0%
2.00-3.00,sec,3.18,MBytes,26.7,Mbits/sec,0.526,ms,0/2302,0%
3.00-4.00,sec,2.71,MBytes,22.7,Mbits/sec,0.621,ms,0/1961,0%
4.00-5.00,sec,3.04,MBytes,25.5,Mbits/sec,0.67,ms,0/2200,0%
5.00-6.00,sec,3.51,MBytes,29.4,Mbits/sec,0.653,ms,0/2540,0%
6.00-7.00,sec,2.85,MBytes,23.9,Mbits/sec,0.526,ms,0/2063,0%
7.00-8.00,sec,2.91,MBytes,24.4,Mbits/sec,0.863,ms,0/2105,0%
8.00-9.00,sec,2.83,MBytes,23.8,Mbits/sec,0.843,ms,0/2051,0%
9.00-10.00,sec,3,MBytes,25.2,Mbits/sec,1.182,ms,0/2176,0%
10.00-11.00,sec,2.92,MBytes,24.5,Mbits/sec,0.616,ms,0/2114,0%
11.00-12.00,sec,3.08,MBytes,25.9,Mbits/sec,0.928,ms,0/2234,0%
12.00-13.00,sec,2.93,MBytes,24.5,Mbits/sec,0.598,ms,0/2119,0%
13.00-14.00,sec,3.26,MBytes,27.3,Mbits/sec,0.588,ms,0/2359,0%
14.00-15.00,sec,3.11,MBytes,26.1,Mbits/sec,1.522,ms,0/2255,0%
15.00-16.00,sec,2.87,MBytes,24,Mbits/sec,0.723,ms,0/2076,0%
16.00-17.00,sec,3.43,MBytes,28.7,Mbits/sec,1.078,ms,0/2484,0%
17.00-18.00,sec,3.69,MBytes,31,Mbits/sec,0.797,ms,0/2669,0%
18.00-19.00,sec,3.19,MBytes,26.8,Mbits/sec,0.704,ms,0/2310,0%
19.00-20.00,sec,3.08,MBytes,25.8,Mbits/sec,1.014,ms,0/2227,0%
20.00-21.00,sec,2.46,MBytes,20.6,Mbits/sec,1.046,ms,0/1779,0%
21.00-22.00,sec,3.46,MBytes,29.1,Mbits/sec,0.795,ms,0/2508,0%
22.00-23.00,sec,2.88,MBytes,24.2,Mbits/sec,0.508,ms,0/2086,0%
23.00-24.00,sec,3.32,MBytes,27.8,Mbits/sec,0.545,ms,0/2403,0%
24.00-25.00,sec,3.23,MBytes,27.1,Mbits/sec,1.558,ms,0/2338,0%
25.00-26.00,sec,3.03,MBytes,25.4,Mbits/sec,1.114,ms,0/2196,0%
26.00-27.00,sec,3.55,MBytes,29.8,Mbits/sec,1.384,ms,0/2571,0%
27.00-28.00,sec,3.47,MBytes,29.1,Mbits/sec,0.634,ms,0/2515,0%
28.00-29.00,sec,3.33,MBytes,27.9,Mbits/sec,0.775,ms,0/2411,0%
29.00-30.00,sec,3.41,MBytes,28.6,Mbits/sec,0.689,ms,0/2470,0%
30.00-31.00,sec,3.29,MBytes,27.6,Mbits/sec,0.891,ms,0/2380,0%
31.00-32.00,sec,3.16,MBytes,26.5,Mbits/sec,0.703,ms,0/2288,0%
32.00-33.00,sec,3.3,MBytes,27.7,Mbits/sec,0.732,ms,0/2391,0%
33.00-34.00,sec,3.13,MBytes,26.3,Mbits/sec,0.815,ms,0/2268,0%
34.00-35.00,sec,3.33,MBytes,28,Mbits/sec,0.739,ms,0/2414,0%
35.00-36.00,sec,3.29,MBytes,27.6,Mbits/sec,0.607,ms,0/2385,0%
36.00-37.00,sec,3.18,MBytes,26.7,Mbits/sec,0.825,ms,0/2302,0%
37.00-38.00,sec,3.14,MBytes,26.2,Mbits/sec,1.152,ms,0/2273,0%
38.00-39.00,sec,3.56,MBytes,30,Mbits/sec,0.514,ms,0/2576,0%
39.00-40.00,sec,3.14,MBytes,26.3,Mbits/sec,0.589,ms,0/2272,0%
40.00-41.00,sec,3.04,MBytes,25.5,Mbits/sec,0.612,ms,0/2204,0%
41.00-42.00,sec,3.26,MBytes,27.4,Mbits/sec,0.542,ms,0/2363,0%
42.00-43.00,sec,3.19,MBytes,26.8,Mbits/sec,0.505,ms,0/2313,0%
43.00-44.00,sec,3.37,MBytes,28.3,Mbits/sec,0.877,ms,0/2442,0%
44.00-45.00,sec,3.54,MBytes,29.7,Mbits/sec,0.506,ms,0/2563,0%
45.00-46.00,sec,3.58,MBytes,30,Mbits/sec,0.607,ms,0/2590,0%
46.00-47.00,sec,3.56,MBytes,29.8,Mbits/sec,0.659,ms,0/2576,0%
47.00-48.00,sec,3.32,MBytes,27.8,Mbits/sec,0.753,ms,0/2404,0%
48.00-49.00,sec,3.49,MBytes,29.3,Mbits/sec,0.53,ms,0/2529,0%
49.00-50.00,sec,3.6,MBytes,30.2,Mbits/sec,0.73,ms,0/2608,0%
50.00-51.00,sec,3.52,MBytes,29.5,Mbits/sec,0.66,ms,0/2546,0%
51.00-52.00,sec,3.4,MBytes,28.5,Mbits/sec,0.755,ms,0/2464,0%
52.00-53.00,sec,3.04,MBytes,25.5,Mbits/sec,0.522,ms,0/2202,0%
