Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,2.99,MBytes,25.1,Mbits/sec,1.054,ms,0/2167,0%
1.00-2.00,sec,3.07,MBytes,25.8,Mbits/sec,0.478,ms,0/2224,0%
2.00-3.00,sec,3.21,MBytes,27,Mbits/sec,0.38,ms,0/2327,0%
3.00-4.00,sec,3.1,MBytes,26,Mbits/sec,0.35,ms,0/2245,0%
4.00-5.00,sec,3.1,MBytes,26,Mbits/sec,0.359,ms,0/2244,0%
5.00-6.00,sec,3.05,MBytes,25.6,Mbits/sec,0.532,ms,0/2212,0%
6.00-7.00,sec,3.12,MBytes,26.2,Mbits/sec,0.603,ms,0/2259,0%
7.00-8.00,sec,3.09,MBytes,25.9,Mbits/sec,0.559,ms,0/2237,0%
8.00-9.00,sec,3.11,MBytes,26.1,Mbits/sec,0.387,ms,0/2254,0%
9.00-10.00,sec,3.12,MBytes,26.2,Mbits/sec,0.357,ms,0/2259,0%
10.00-11.00,sec,3.09,MBytes,25.9,Mbits/sec,0.345,ms,0/2239,0%
11.00-12.00,sec,3.08,MBytes,25.9,Mbits/sec,0.565,ms,0/2233,0%
12.00-13.00,sec,3.13,MBytes,26.2,Mbits/sec,0.387,ms,0/2263,0%
13.00-14.00,sec,3,MBytes,25.1,Mbits/sec,0.611,ms,0/2169,0%
14.00-15.00,sec,3.04,MBytes,25.5,Mbits/sec,0.554,ms,0/2198,0%
15.00-16.00,sec,3.27,MBytes,27.4,Mbits/sec,0.447,ms,0/2367,0%
16.00-17.00,sec,3.07,MBytes,25.7,Mbits/sec,0.45,ms,0/2222,0%
17.00-18.00,sec,3.05,MBytes,25.6,Mbits/sec,0.902,ms,0/2209,0%
18.00-19.00,sec,2.9,MBytes,24.3,Mbits/sec,0.518,ms,0/2101,0%
19.00-20.00,sec,3.16,MBytes,26.5,Mbits/sec,0.538,ms,0/2288,0%
20.00-21.00,sec,3.32,MBytes,27.8,Mbits/sec,0.332,ms,0/2402,0%
