Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
21.00-22.00,sec,3.07,MBytes,25.8,Mbits/sec,0.684,ms,0/2223,0%
22.00-23.00,sec,3.11,MBytes,26.1,Mbits/sec,0.498,ms,0/2251,0%
23.00-24.00,sec,3.12,MBytes,26.2,Mbits/sec,0.308,ms,0/2259,0%
24.00-25.00,sec,3.1,MBytes,26,Mbits/sec,0.508,ms,0/2242,0%
25.00-26.00,sec,3.09,MBytes,25.9,Mbits/sec,0.403,ms,0/2240,0%
26.00-27.00,sec,3.04,MBytes,25.5,Mbits/sec,0.58,ms,0/2205,0%
27.00-28.00,sec,3.15,MBytes,26.4,Mbits/sec,0.426,ms,0/2280,0%
28.00-29.00,sec,3.07,MBytes,25.8,Mbits/sec,0.44,ms,0/2224,0%
29.00-30.00,sec,3.14,MBytes,26.4,Mbits/sec,0.333,ms,0/2276,0%
30.00-31.00,sec,3.1,MBytes,26,Mbits/sec,0.415,ms,0/2245,0%
31.00-32.00,sec,3.01,MBytes,25.2,Mbits/sec,0.466,ms,0/2177,0%
32.00-33.00,sec,3.19,MBytes,26.8,Mbits/sec,0.391,ms,0/2313,0%
33.00-34.00,sec,3.1,MBytes,26,Mbits/sec,0.334,ms,0/2243,0%
34.00-35.00,sec,3.1,MBytes,26,Mbits/sec,0.372,ms,0/2242,0%
35.00-36.00,sec,3.01,MBytes,25.3,Mbits/sec,0.674,ms,0/2182,0%
36.00-37.00,sec,3.14,MBytes,26.3,Mbits/sec,0.573,ms,0/2272,0%
37.00-38.00,sec,3.15,MBytes,26.4,Mbits/sec,0.419,ms,0/2278,0%
38.00-39.00,sec,2.93,MBytes,24.6,Mbits/sec,0.773,ms,0/2125,0%
39.00-40.00,sec,3.23,MBytes,27.1,Mbits/sec,0.485,ms,0/2336,0%
40.00-41.00,sec,3.08,MBytes,25.8,Mbits/sec,0.656,ms,0/2231,0%
41.00-42.00,sec,3.08,MBytes,25.9,Mbits/sec,0.446,ms,0/2234,0%
42.00-43.00,sec,3.18,MBytes,26.7,Mbits/sec,0.338,ms,0/2302,0%
43.00-44.00,sec,3.02,MBytes,25.4,Mbits/sec,0.494,ms,0/2190,0%
44.00-45.00,sec,3.12,MBytes,26.1,Mbits/sec,0.577,ms,0/2256,0%
45.00-46.00,sec,3.16,MBytes,26.5,Mbits/sec,0.339,ms,0/2287,0%
46.00-47.00,sec,3.1,MBytes,26,Mbits/sec,0.471,ms,0/2245,0%
47.00-48.00,sec,3.1,MBytes,26,Mbits/sec,0.306,ms,0/2244,0%
48.00-49.00,sec,3.08,MBytes,25.8,Mbits/sec,0.487,ms,0/2227,0%
49.00-50.00,sec,3.11,MBytes,26.1,Mbits/sec,0.632,ms,0/2255,0%
50.00-51.00,sec,3.1,MBytes,26,Mbits/sec,0.453,ms,0/2247,0%
51.00-52.00,sec,3.07,MBytes,25.7,Mbits/sec,0.649,ms,0/2221,0%
52.00-53.00,sec,3.14,MBytes,26.3,Mbits/sec,0.364,ms,0/2273,0%
53.00-54.00,sec,3.02,MBytes,25.3,Mbits/sec,0.404,ms,0/2184,0%
54.00-55.00,sec,3.02,MBytes,25.4,Mbits/sec,0.578,ms,0/2189,0%
55.00-56.00,sec,3.12,MBytes,26.2,Mbits/sec,1.006,ms,0/2259,0%
56.00-57.00,sec,3.21,MBytes,27,Mbits/sec,0.615,ms,0/2328,0%
57.00-58.00,sec,3.12,MBytes,26.1,Mbits/sec,0.512,ms,0/2257,0%
58.00-59.00,sec,3.06,MBytes,25.6,Mbits/sec,0.536,ms,0/2213,0%
59.00-60.00,sec,3.14,MBytes,26.4,Mbits/sec,0.492,ms,0/2276,0%
60.00-61.00,sec,2.94,MBytes,24.7,Mbits/sec,0.492,ms,0/2130,0%
61.00-62.00,sec,2.78,MBytes,23.3,Mbits/sec,0.592,ms,0/2013,0%
62.00-63.00,sec,3.2,MBytes,26.9,Mbits/sec,0.654,ms,0/2318,0%
63.00-64.00,sec,3.2,MBytes,26.9,Mbits/sec,0.766,ms,0/2318,0%
64.00-65.00,sec,3.23,MBytes,27.1,Mbits/sec,0.42,ms,0/2341,0%
65.00-66.00,sec,3.18,MBytes,26.7,Mbits/sec,0.38,ms,0/2305,0%
66.00-67.00,sec,3.11,MBytes,26.1,Mbits/sec,0.421,ms,0/2251,0%
67.00-68.00,sec,3.13,MBytes,26.2,Mbits/sec,0.507,ms,0/2264,0%
68.00-69.00,sec,3.06,MBytes,25.7,Mbits/sec,0.446,ms,0/2219,0%
69.00-70.00,sec,3.16,MBytes,26.5,Mbits/sec,0.289,ms,0/2289,0%
70.00-71.00,sec,3.1,MBytes,26,Mbits/sec,0.423,ms,0/2245,0%
71.00-72.00,sec,3.1,MBytes,26,Mbits/sec,0.412,ms,0/2245,0%
72.00-73.00,sec,3.1,MBytes,26,Mbits/sec,0.533,ms,0/2242,0%
73.00-74.00,sec,3.08,MBytes,25.8,Mbits/sec,0.606,ms,0/2227,0%
74.00-75.00,sec,3,MBytes,25.1,Mbits/sec,0.499,ms,0/2170,0%
75.00-75.04,sec,151,KBytes,32.6,Mbits/sec,0.448,ms,0/107,0%
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.04,sec,232,MBytes,26,Mbits/sec,0.448,ms,0/1683,34 (0%)  receiver
